,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of SEP 2011
S.,Name of,Installed,Located,Gas * Requirement,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,at 90% PLF,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),(MMSCMD),(MMSCMD),(MMSCMD),of Gas as reported
,Naptha,HSD,(MUs)

CENTRAL SECTOR
 43,KONDAPALLI EXTN CCPP,366.00 ANDHRA PRADESH,224.00,1.76,1.46,1.45,0.00,0.00,0.00
 44,.
,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,134.00,1.68,1.46,0.96,0.00,0.00,38.11
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,112.70,1.06,0.78,0.78,0.00,0.00,44.39
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,130.46,1.78,1.48,0.78,0.00,0.00,2.14
 47,KARUPPUR CCPP,119.80 TAMIL NADU,60.65,0.58,0.50,0.39,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,36.76,1.59,0.14,0.14,3471.62,2.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,33.75,0.25,0.28,0.27,0.00,0.00,0.57
,Sub Total (SR),3601.50,1561.35,17.32,13.25,10.35,3471.62,2.00,213.35
 50,DLF ASSAM GT,24.50 ASSAM,5.18,0.12,0.17,0.06,0.00,0.00,10.18
,Sub Total (NER),24.50,5.18,0.12,0.17,0.06,0.00,0.00,10.18
,Total (PVT IPP S),6211.50,2573.54,29.85,21.68,18.31,3471.62,2.00,336.71
,GRAND TOTAL,16676.27,7332.42,81.44,64.94,54.19,3503.07,4.21,434.45
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG

# Rithala CCPP ST (36.5 MW) has been taken on commercial operation since 4.9.2011
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

