,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of OCT 2010
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss,Remarks
No,Power Station,Capacity,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),due
,@,State,(MUs),at 90% PLF,(MMSCMD),Consumed+,to short
,(MW),(MMSCMD),(MMSCMD),Naptha,HSD,supply
,of Gas as
,reported
,(MUs)

 42,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,210.54,1.68,1.75,1.46,0.00,0.00,58.84 Short supply of gas by GAIL
 43,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,138.44,1.06,0.92,0.92,0.00,36.00,0.00
 44,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,255.28,1.78,1.54,1.54,0.00,0.00,0.00
 45,KARUPPUR CCPP,119.80 TAMIL NADU,77.27,0.58,0.48,0.52,0.00,0.00,0.00
 46,P.NALLUR CCPP,330.50 TAMIL NADU,235.33,1.59,1.10,1.10,13135.14,4.00,0.00
 47,VALANTARVY CCPP,52.80 TAMIL NADU,31.41,0.25,0.27,0.25,0.00,0.00,0.45
,Sub Total (SR),3381.50,2111.21,16.26,14.18,13.68 13135.14,40.00,81.43
 48,DLF ASSAM GT,24.50 ASSAM,4.86,0.12,0.17,0.06,0.00,0.00,10.36
,Sub Total (NER),24.50,4.86,0.12,0.17,0.06,0.00,0.00,10.36
,Total (PVT IPP S),5883.50,3393.39,28.27,23.54,22.94 13135.14 42.84,91.82
,GRAND TOTAL 16338.27,8793.72,79.81,67.35,61.58 13135.14 43.70,339.83
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
Note: (1) Barge mounted 220 MW CCPP (Tanir Bavi) of GMR Energy Ltd.under the category of liquid fuel based power stations has since been shifted to Kakinada,East Godavari Distt,Andhra Prad
,Karnataka and recommissioned on Natural Gas as primary fuel in the month of Aug 2010. (2) Gas from RIL (KG D-6) has been allocated to this plant. (3) The plant has thus
,become gas based CCPP. This station shall be included in the list of gas based GT station once the changes are made in CEA records by DMLF Div.
,* Normative gas requirement at 90% PLF taking GCV of gas =9000 k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 k. Cal/SCM) and
,Station Heat Rate- 2900 k. Cal/kWh for open cycle & 2000 k.Cal/kWh for combined cycle.
 .+,Including R-LNG
,**,Pragati CCGT-III (250 MW) commissioned on 20.10.2010.
,$,Baramura GT Ext. Unit V (21 MW) commissioned on 03.08.2010
 $$,Konaseema CCPP (ST-165 MW) commissioned on 30.06.2010.
,#,Kondapalli Ext. CCPP (ST-133 MW) commissioned on 19.07.2010.
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres

HSD,-,High Speed Diesel

