,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of DEC 2010
S. No,Name of,Installed,Located,Gas *,Gas,Gas Supplied/,Alternate,Gen Loss due,Remarks
,Power Station,Capacity @,in the,Gen@@,Requirement,Allotted,Consumed+,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),(MMSCMD),of Gas as reported
,(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 42,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,122.98,1.68,1.75,0.86,0.00,0.00,40.59 Short supply of gas by GAIL.
 43,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,113.70,1.06,0.79,0.79,0.00,0.00,276.34
 44,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,222.80,1.78,1.40,1.24,0.00,0.00,0.00
 45,KARUPPUR CCPP,119.80 TAMIL NADU,79.13,0.58,0.48,0.50,0.00,0.00,0.00
 46,P.NALLUR CCPP,330.50 TAMIL NADU,233.90,1.59,1.06,1.06,13060.81,4.00,0.00
 47,VALANTARVY CCPP,52.80 TAMIL NADU,34.47,0.25,0.27,0.26,0.00,0.00,0.38
,Sub Total (SR),3381.50,1820.62,16.26,14.03,11.79,13060.81,4.00,402.24
 48,DLF ASSAM GT,24.50 ASSAM,5.93,0.12,0.17,0.06,0.00,0.00,10.17
,Sub Total (NER),24.50,5.93,0.12,0.17,0.06,0.00,0.00,10.17
,Total (PVT IPP S),5883.50,2891.21,28.27,22.81,19.85,13060.81,4.05,412.65
,GRAND TOTAL,16098.27,7838.38,78.66,63.66,56.89,13503.39,63.10,545.65
@ Installed Capacity is as on last day of the month
@@ Generation figures are provisional based on daily generation data.
Note: (1) Barge mounted 220 MW CCPP (Tanir Bavi) of GMR Energy Ltd.under the category of liquid fuel based power stations has since been shifted to Kakinada,East Godavari Distt,Andhra Pradesh form Mangalore 
,Karnataka and recommissioned on Natural Gas as primary fuel in the month of Aug 2010. (2) Gas from RIL (KG D-6) has been allocated to this plant. (3) The plant has thus
 become gas based CCPP. This station shall be included in the list of gas based GT station once the changes are made in CEA records by DMLF Div.
* Normative gas requirement at 90% PLF taking GCV of gas =9000 k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 k. Cal/SCM) and
 Station Heat Rate- 2900 k. Cal/kWh for open cycle & 2000 k.Cal/kWh for combined cycle.
.+ Including R-LNG
** Pragati CCGT-III (250 MW) commissioned on 20.10.2010.
$ Baramura GT Ext. Unit V (21 MW) commissioned on 03.08.2010
$$ Konaseema CCPP (ST-165 MW) commissioned on 30.06.2010.
# Kondapalli Ext. CCPP (ST-133 MW) commissioned on 19.07.2010.



MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres,HSD,-,High Speed Diesel

