,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of NOV 2010
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 43,PEDDAPURAM CCPP,220 ANDHRA PRADESH,76.60,1.06,0.57,0.57,0.00,0.00,212.50
 44,VEMAGIRI CCPP,370 ANDHRA PRADESH,205.60,1.78,1.41,1.41,0.00,0.00,0.00
 45,KARUPPUR CCPP,119.8 TAMIL NADU,78.54,0.58,0.50,0.50,0.00,0.00,0.00
 46,P.NALLUR CCPP,330.5 TAMIL NADU,192.40,1.59,0.93,0.93,10282.43,4.00,0.00
 47,VALANTARVY CCPP,52.8 TAMIL NADU,23.37,0.25,0.22,0.21,0.00,0.00,1.78
,Sub Total (SR),3381.5,1746.51,16.26,13.21,11.95,10282.43,4.00,332.06
 48,DLF ASSAM GT,24.5 ASSAM,5.07,0.12,0.17,0.06,0.00,0.00,9.93
,Sub Total (NER),24.5,5.07,0.12,0.17,0.06,0.00,0.00,9.93
,Total (PVT IPP S),5883.5,2597.55,28.27,21.57,18.83,10282.43,4.03,341.99
,GRAND TOTAL,16338.27,7076.64,79.81,62.64,52.71,10296.36,42.32,556.87
@ Installed Capacity is as on last day of the month
Note: (1) Barge mounted 220 MW CCPP (Tanir Bavi) of GMR Energy Ltd.under the category of liquid fuel based power stations has since been shifted to Kakinada,East Godavari Distt,Andhra Pradesh
form Mangalore 
,Karnataka and recommissioned on Natural Gas as primary fuel in the month of Aug 2010. (2) Gas from RIL (KG D-6) has been allocated to this plant. (3) The plant has thus
 become gas based CCPP. This station shall be included in the list of gas based GT station once the changes are made in CEA records by DMLF Div.
* Normative gas requirement at 90% PLF taking GCV of gas =9000 k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 k. Cal/SCM) and
 Station Heat Rate- 2900 k. Cal/kWh for open cycle & 2000 k.Cal/kWh for combined cycle.
.+ Including R-LNG
** Pragati CCGT-III (250 MW) commissioned on 20.10.2010.
$ Baramura GT Ext. Unit V (21 MW) commissioned on 03.08.2010
$$ Konaseema CCPP (ST-165 MW) commissioned on 30.06.2010.
# Kondapalli Ext. CCPP (ST-133 MW) commissioned on 19.07.2010.

MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

