,MONTHLY REPORT ON FUEL SUPPLY/CONSUMPTION FOR GAS BASED POWER STATIONS IN THE COUNTRY
,For the month of AUG 2011
S.,Name of,Installed,Located,Gas *,Gas,Gas,Alternate,Gen Loss due,Remarks
No,Power Station,Capacity @,in the,Gen $,Requirement,Allotted,Supplied/,fuel used(KL),to short supply
,(MW),State,(MUs),at 90% PLF,(MMSCMD),Consumed+,of Gas as reported
,(MMSCMD),(MMSCMD),Naptha,HSD,(MUs)
CENTRAL SECTOR
 43,KONDAPALLI EXTN,366.00 ANDHRA PRADESH,224.86,1.76,1.42,1.42,0.00,0.00,0.00
 44,CCPP .
,KONDAPALLI CCPP,350.00 ANDHRA PRADESH,5.87,1.68,1.46,1.34,0.00,0.00,3.32
 45,PEDDAPURAM CCPP,220.00 ANDHRA PRADESH,135.95,1.06,0.90,0.90,0.00,0.00,21.53
 46,VEMAGIRI CCPP,370.00 ANDHRA PRADESH,198.75,1.78,1.24,1.24,0.00,0.00,9.56
 47,KARUPPUR CCPP,119.80 TAMIL NADU,66.40,0.58,0.48,0.41,0.00,0.00,0.00
 48,P.NALLUR CCPP,330.50 TAMIL NADU,33.23,1.59,0.25,0.25,2117.57,2.00,0.00
 49,VALANTARVY CCPP,52.80 TAMIL NADU,33.06,0.25,0.26,0.25,0.00,0.00,1.25
,Sub Total (SR),3601.50,1674.37,17.32,13.04,12.50,2117.57,2.00,140.58
 50,DLF ASSAM GT,24.50 ASSAM,4.91,0.12,0.17,0.06,0.00,0.00,10.50
,Sub Total (NER),24.50,4.91,0.12,0.17,0.06,0.00,0.00,10.50
,Total (PVT IPP S),6175.00,2742.29,29.83,21.20,20.18,2117.57,2.00,268.01
,GRAND TOTAL,16639.77,7722.77,81.42,63.89,57.03,2199.82,11.81,364.49
@ Installed Capacity is as on last day of the month
* Normative gas requirement at 90 % PLF taking GCV of gas=9000k.Cal/SCM (except for Ramgarh CCGT for which GCV is 4150 kCal/SCM),station
,heat rate - 2900 k.Cal/kWh for open cycle and 2000 k.Cal/kWh for combined cycle.
+ Including R-LNG
$ Generation data are provisional based on daily generation.
MUs,-,Million Units,KL,-,Kilo Litre
MMSCMD - Million Standard Cubic Metres
HSD,-,High Speed Diesel

