20-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
20-01-2011,State Hydro,,,5156,1840,1284,39.7,1654
20-01-2011,Regional Hydro,,,13597,6472,1790,83.7,3487
20-01-2011,,,,,,,,
21-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
21-01-2011,State Hydro,,,5156,1910,1049,37.8,1574
21-01-2011,Regional Hydro,,,13597,7108,1702,83.6,3482
21-01-2011,,,,,,,,
22-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
22-01-2011,State Hydro,,,5156,2043,1170,39.3,1636
22-01-2011,Regional Hydro,,,13597,7105,1732,86.2,3591
22-01-2011,,,,,,,,
23-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
23-01-2011,State Hydro,,,5156,1854,1338,40.2,1674
23-01-2011,Regional Hydro,,,13597,6692,2005,85.8,3574
23-01-2011,,,,,,,,
24-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
24-01-2011,State Hydro,,,5156,1879,1214,39.8,1657
24-01-2011,Regional Hydro,,,13597,6614,1731,86.9,3623
24-01-2011,,,,,,,,
25-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
25-01-2011,State Hydro,,,5156,2458,1219,42.0,1750
25-01-2011,Regional Hydro,,,13597,7750,1893,90.1,3756
25-01-2011,,,,,,,,
26-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
26-01-2011,State Hydro,,,5156,2003,1190,39.4,1640
26-01-2011,Regional Hydro,,,13597,6566,1745,87.3,3636
26-01-2011,,,,,,,,
27-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
27-01-2011,State Hydro,,,5156,2048,1405,43.7,1820
27-01-2011,Regional Hydro,,,13597,6290,1964,94.8,3949
27-01-2011,,,,,,,,
28-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
28-01-2011,State Hydro,,,5156,1999,1237,39.4,1641
28-01-2011,Regional Hydro,,,13597,7500,2386,94.2,3927
28-01-2011,,,,,,,,
29-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
29-01-2011,State Hydro,,,5156,2334,1101,43.3,1806
29-01-2011,Regional Hydro,,,13597,8046,1649,98.7,4111
29-01-2011,,,,,,,,
30-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
30-01-2011,State Hydro,,,5156,2205,1517,47.0,1958
30-01-2011,Regional Hydro,,,13597,7711,2314,100.9,4206
30-01-2011,,,,,,,,
31-01-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
31-01-2011,State Hydro,,,5156,2184,1167,46.2,1925
31-01-2011,Regional Hydro,,,13597,8047,1753,104.8,4367
31-01-2011,,,,,,,,
01-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
01-02-2011,State Hydro,,,5156,2223,1392,44.2,1844
01-02-2011,Regional Hydro,,,13597,8215,2130,103.2,4300
01-02-2011,,,,,,,,
02-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
02-02-2011,State Hydro,,,5156,1900,1309,42.7,1778
02-02-2011,Regional Hydro,,,13597,7574,1908,99.1,4128
02-02-2011,,,,,,,,
03-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
03-02-2011,State Hydro,,,5156,2035,1201,40.4,1682
03-02-2011,Regional Hydro,,,13597,7694,1876,95.1,3963
03-02-2011,,,,,,,,
04-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
04-02-2011,State Hydro,,,5156,2193,1181,43.4,1808
04-02-2011,Regional Hydro,,,13597,7818,1784,96.4,4019
04-02-2011,,,,,,,,
05-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
05-02-2011,State Hydro,,,5156,2131,1248,42.2,1759
05-02-2011,Regional Hydro,,,13597,8313,1856,96.0,4001
05-02-2011,,,,,,,,
06-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
06-02-2011,State Hydro,,,5156,2712,1484,47.9,1994
06-02-2011,Regional Hydro,,,13597,8645,2344,105.7,4402
06-02-2011,,,,,,,,
07-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
07-02-2011,State Hydro,,,5156,2000,1783,37.9,1580
07-02-2011,Regional Hydro,,,13597,8170,2841,105.8,4410
07-02-2011,,,,,,,,
08-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
08-02-2011,State Hydro,,,5156,2000,1244,37.3,1555
08-02-2011,Regional Hydro,,,13597,8456,2784,113.7,4737
08-02-2011,,,,,,,,
09-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
09-02-2011,State Hydro,,,5156,1977,1499,43.1,1797
09-02-2011,Regional Hydro,,,13597,8008,2636,109.6,4568
09-02-2011,,,,,,,,
10-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
10-02-2011,State Hydro,,,5156,1821,1051,37.9,1579
10-02-2011,Regional Hydro,,,13597,7654,2210,100.2,4176
10-02-2011,,,,,,,,
11-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
11-02-2011,State Hydro,,,5156,1740,1610,41.3,1719
11-02-2011,Regional Hydro,,,13597,7934,2906,106.0,4415
11-02-2011,,,,,,,,
12-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
12-02-2011,State Hydro,,,5156,2047,1217,32.7,1364
12-02-2011,Regional Hydro,,,13597,7665,2291,93.9,3912
12-02-2011,,,,,,,,
13-02-2011,Station/Constituents,Station/Constituents,Station/Constituents,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (MW)
13-02-2011,State Hydro,,,5156,1538,1018,29.6,1232
13-02-2011,Regional Hydro,,,13597,7226,2160,94.7,3945
13-02-2011,,,,,,,,
