01-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
01-01-2011,19.25,0.36,19.61,6.30,-5.47,2.65,14.81,0.04,0.00
01-01-2011,,,,,,,,,
01-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
01-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
01-01-2011,28.59,9.05,37.64,31.49,18.93,50.42,2.90,9.87,12.77
01-01-2011,,,,,,,,,
02-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
02-01-2011,20.89,0.44,21.33,2.01,-5.06,6.08,14.53,0.00,0.00
02-01-2011,,,,,,,,,
02-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
02-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
02-01-2011,29.42,9.18,38.60,31.92,22.28,54.20,2.50,13.10,15.60
02-01-2011,,,,,,,,,
03-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
03-01-2011,21.74,0.26,22.00,2.45,-5.43,1.90,14.48,0.00,0.00
03-01-2011,,,,,,,,,
03-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
03-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
03-01-2011,26.35,8.76,35.11,35.33,23.81,59.15,8.98,15.05,24.03
03-01-2011,,,,,,,,,
04-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
04-01-2011,20.83,0.32,21.15,6.30,-3.26,1.80,12.52,0.00,0.00
04-01-2011,,,,,,,,,
04-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
04-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
04-01-2011,29.24,8.95,38.20,44.38,30.22,74.61,15.14,21.27,36.41
04-01-2011,,,,,,,,,
05-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
05-01-2011,24.01,0.35,24.37,6.21,-3.23,2.97,18.95,0.00,0.00
05-01-2011,,,,,,,,,
05-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
05-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
05-01-2011,33.55,15.36,48.91,42.33,33.60,75.93,8.78,18.24,27.02
05-01-2011,,,,,,,,,
06-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
06-01-2011,22.72,0.32,23.03,6.38,-1.70,3.08,19.13,0.00,0.00
06-01-2011,,,,,,,,,
06-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
06-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
06-01-2011,32.49,17.00,49.49,42.97,38.05,81.02,10.48,21.05,31.52
06-01-2011,,,,,,,,,
07-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
07-01-2011,19.25,0.32,19.57,6.19,-1.18,6.54,18.73,0.00,0.00
07-01-2011,,,,,,,,,
07-01-2011,Total IR Schedule (MU),,,Total IR Actual (MU),,,Net IR UI (MU),,
07-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
