01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
20-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
20-09-2011,Sub Total (G ),1442,0,847,892,20.04,835
20-09-2011,,20625,15617,16924,14771,360.68,15028
20-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
20-09-2011,Guru Gobind Singh TPS (Ropar),,1260,760.00,615.00,13.57,565
20-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,110.00,90.00,2.01,84
20-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,818.00,474.00,11.09,462
20-09-2011,Thermal (Total),,2620,1688.00,1179.00,26.67,1111
20-09-2011,Total Hydro,,1148,901.00,759.00,18.23,760
20-09-2011,Total Punjab,,3768,2589,1938,44.90,1871
20-09-2011,Panipat TPS,,1360,787.00,842.00,19.43,810
20-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],533.00,528.00,11.91,496
20-09-2011,Grand Total Generation,Grand Total Generation,432,398.00,197.00,7.02,293
21-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
21-09-2011,ADHPL HPS(IPP),192,0,64,64,1.55,64
21-09-2011,KWHEP  HPS(IPP),1000,0,650,650,15.60,650
21-09-2011,Malana Stg-II HPS,100,0,69,61,1.39,58
21-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
21-09-2011,Sub Total (G ),1442,0,783,775,18.53,772
21-09-2011,,20625,16154,17241,14673,363.48,15145
21-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
21-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1010.00,805.00,18.52,772
21-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,102.00,95.00,2.00,83
21-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,721.00,707.00,15.55,648
21-09-2011,Thermal (Total),,2620,1833.00,1607.00,36.07,1503
21-09-2011,Total Hydro,,1148,845.00,566.00,16.98,708
21-09-2011,Total Punjab,,3768,2678,2173,53.05,2211
21-09-2011,Panipat TPS,,1360,1103.00,1075.00,26.09,1087
21-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],539.00,521.00,12.08,503
21-09-2011,Grand Total Generation,Grand Total Generation,432,399.00,301.00,8.06,336
22-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
22-09-2011,ADHPL HPS(IPP),192,0,58,58,1.40,59
22-09-2011,KWHEP  HPS(IPP),1000,0,720,650,16.49,687
22-09-2011,Malana Stg-II HPS,100,0,69,62,1.38,58
22-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
22-09-2011,Sub Total (G ),1442,0,847,770,19.28,803
22-09-2011,,20625,16213,17281,14171,362.98,15124
22-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
22-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1235.00,1026.00,23.77,991
22-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,125.00,90.00,2.12,88
22-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,945.00,883.00,20.35,848
22-09-2011,Thermal (Total),,2620,2305.00,1999.00,46.24,1927
22-09-2011,Total Hydro,,1148,736.00,395.00,13.74,572
22-09-2011,Total Punjab,,3768,3041,2394,59.98,2499
22-09-2011,Panipat TPS,,1360,1086.00,1105.00,26.40,1100
22-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],535.00,517.00,11.90,496
22-09-2011,Grand Total Generation,Grand Total Generation,432,397.00,301.00,8.73,364
23-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
23-09-2011,ADHPL HPS(IPP),192,0,56,56,1.35,56
23-09-2011,KWHEP  HPS(IPP),1000,0,670,650,15.71,655
23-09-2011,Malana Stg-II HPS,100,0,69,62,1.38,58
23-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
23-09-2011,Sub Total (G ),1442,0,795,768,18.44,768
23-09-2011,,20625,16091,17390,14704,363.50,15146
23-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
23-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1230.00,1230.00,27.19,1133
23-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,293.00,233.00,5.86,244
23-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,945.00,946.00,20.83,868
23-09-2011,Thermal (Total),,2620,2468.00,2409.00,53.88,2245
23-09-2011,Total Hydro,,1148,618.00,372.00,14.76,615
23-09-2011,Total Punjab,,3768,3086,2781,68.64,2860
23-09-2011,Panipat TPS,,1360,1086.00,1097.00,26.17,1090
23-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],503.00,532.00,11.86,494
23-09-2011,Grand Total Generation,Grand Total Generation,432,398.00,303.00,8.51,355
24-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
24-09-2011,ADHPL HPS(IPP),192,0,55,56,1.35,56
24-09-2011,KWHEP  HPS(IPP),1000,0,730,590,15.11,630
24-09-2011,Malana Stg-II HPS,100,0,75,44,1.21,50
24-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
24-09-2011,Sub Total (G ),1442,0,860,690,17.67,736
24-09-2011,,20625,15099,15477,14213,335.74,13989
24-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
24-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1235.00,1230.00,27.32,1139
24-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,287.00,282.00,5.86,244
24-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,944.00,945.00,21.03,876
24-09-2011,Thermal (Total),,2620,2466.00,2457.00,54.21,2259
24-09-2011,Total Hydro,,1148,714.00,369.00,16.42,684
24-09-2011,Total Punjab,,3768,3180,2826,70.63,2943
24-09-2011,Panipat TPS,,1360,1082.00,1100.00,26.27,1095
24-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],479.00,533.00,10.97,457
24-09-2011,Grand Total Generation,Grand Total Generation,432,398.00,344.00,9.22,384
25-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
25-09-2011,ADHPL HPS(IPP),192,0,56,56,1.35,56
25-09-2011,KWHEP  HPS(IPP),1000,0,730,590,12.48,520
25-09-2011,Malana Stg-II HPS,100,0,35,50,1.17,49
25-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
25-09-2011,Sub Total (G ),1442,0,821,696,15.00,625
25-09-2011,,20625,14495,15694,12119,311.64,12985
25-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
25-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1040.00,1245.00,24.50,1021
25-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,282.00,287.00,5.85,244
25-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,950.00,950.00,20.94,872
25-09-2011,Thermal (Total),,2620,2272.00,2482.00,51.28,2137
25-09-2011,Total Hydro,,1148,726.00,520.00,19.32,805
25-09-2011,Total Punjab,,3768,2998,3002,70.60,2942
25-09-2011,Panipat TPS,,1360,1156.00,1151.00,27.76,1157
25-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],267.00,473.00,7.67,320
25-09-2011,Grand Total Generation,Grand Total Generation,432,396.00,404.00,9.70,404
26-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
26-09-2011,ADHPL HPS(IPP),192,0,50,51,1.21,51
26-09-2011,KWHEP  HPS(IPP),1000,0,548,553,13.87,578
26-09-2011,Malana Stg-II HPS,100,0,76,40,1.13,47
26-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
26-09-2011,Sub Total (G ),1442,0,674,644,16.21,675
26-09-2011,,20625,14397,15981,11808,312.62,13026
26-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
26-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1040.00,1040.00,23.28,970
26-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,285.00,280.00,5.93,247
26-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,942.00,950.00,20.76,865
26-09-2011,Thermal (Total),,2620,2267.00,2270.00,49.96,2082
26-09-2011,Total Hydro,,1148,1029.00,871.00,21.83,910
26-09-2011,Total Punjab,,3768,3296,3141,71.80,2992
26-09-2011,Panipat TPS,,1360,1156.00,1158.00,27.91,1163
26-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],276.00,277.00,6.44,268
26-09-2011,Grand Total Generation,Grand Total Generation,432,395.00,402.00,9.56,398
27-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
27-09-2011,ADHPL HPS(IPP),192,0,50,51,1.21,51
27-09-2011,KWHEP  HPS(IPP),1000,0,550,525,13.26,552
27-09-2011,Malana Stg-II HPS,100,0,45,44,1.02,42
27-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
27-09-2011,Sub Total (G ),1442,0,645,620,15.49,645
27-09-2011,,20625,14289,15808,11905,313.96,13082
27-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
27-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1245.00,1205.00,27.35,1140
27-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,285.00,285.00,6.68,278
27-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,954.00,947.00,21.02,876
27-09-2011,Thermal (Total),,2620,2484.00,2437.00,55.06,2294
27-09-2011,Total Hydro,,1148,773.00,880.00,20.53,855
27-09-2011,Total Punjab,,3768,3257,3317,75.58,3149
27-09-2011,Panipat TPS,,1360,1151.00,1162.00,27.85,1160
27-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],275.00,280.00,6.55,273
27-09-2011,Grand Total Generation,Grand Total Generation,432,396.00,401.00,9.55,398
28-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
28-09-2011,ADHPL HPS(IPP),192,0,47,47,1.13,47
28-09-2011,KWHEP  HPS(IPP),1000,0,550,525,13.26,552
28-09-2011,Malana Stg-II HPS,100,0,45,44,1.02,42
28-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
28-09-2011,Sub Total (G ),1442,0,642,616,15.41,642
28-09-2011,,20625,14516,16060,12617,317.92,13247
28-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
28-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1030.00,1240.00,26.13,1089
28-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,280.00,275.00,5.95,248
28-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,968.00,950.00,21.30,888
28-09-2011,Thermal (Total),,2620,2278.00,2465.00,53.38,2224
28-09-2011,Total Hydro,,1148,998.00,863.00,19.07,794
28-09-2011,Total Punjab,,3768,3276,3328,72.44,3018
28-09-2011,Panipat TPS,,1360,1144.00,1146.00,27.90,1162
28-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],278.00,279.00,6.40,267
28-09-2011,Grand Total Generation,Grand Total Generation,432,398.00,399.00,9.51,396
29-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
29-09-2011,ADHPL HPS(IPP),192,0,45,45,1.13,47
29-09-2011,KWHEP  HPS(IPP),1000,0,710,450,13.48,562
29-09-2011,Malana Stg-II HPS,100,0,50,41,1.02,42
29-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
29-09-2011,Sub Total (G ),1442,0,804.5,535.5,15.63,651
29-09-2011,,20625,14325,16122,12477,318.99,13291
29-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
29-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1035.00,1030.00,22.92,955
29-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,287.00,290.00,5.94,248
29-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,960.00,958.00,21.30,887
29-09-2011,Thermal (Total),,2620,2282.00,2278.00,50.16,2090
29-09-2011,Total Hydro,,1148,840.00,757.00,19.19,800
29-09-2011,Total Punjab,,3768,3122,3035,69.35,2890
29-09-2011,Panipat TPS,,1360,999.00,1066.00,24.20,1008
29-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],261.00,281.00,6.42,267
29-09-2011,Grand Total Generation,Grand Total Generation,432,394.00,405.00,9.51,396
30-09-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
30-09-2011,ADHPL HPS(IPP),192,0,44,45,1.07,45
30-09-2011,KWHEP  HPS(IPP),1000,0,735,415,12.54,522
30-09-2011,Malana Stg-II HPS,100,0,50,42,1.02,43
30-09-2011,Shree Cement TPS,150,0,0,0,0.00,0
30-09-2011,Sub Total (G ),1442,0,829,502,14.63,609
30-09-2011,,20625,14339,16779,12058,314.17,13090
30-09-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
30-09-2011,Guru Gobind Singh TPS (Ropar),,1260,1245.00,1035.00,26.00,1083
30-09-2011,Guru Nanak Dev TPS(Bhatinda),,440,287.00,287.00,5.91,246
30-09-2011,Guru Hargobind Singh TPS(L.mbt),,920,963.00,960.00,21.29,887
30-09-2011,Thermal (Total),,2620,2495.00,2282.00,53.20,2217
30-09-2011,Total Hydro,,1148,706.00,532.00,17.26,719
30-09-2011,Total Punjab,,3768,3201,2814,70.46,2936
30-09-2011,Panipat TPS,,1360,1044.00,1044.00,25.04,1043
30-09-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],270.00,237.00,6.09,254
30-09-2011,Grand Total Generation,Grand Total Generation,432,398.00,403.00,9.44,394
01-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-10-2011,ADHPL HPS(IPP),192,0,44,45,1.07,45
01-10-2011,KWHEP  HPS(IPP),1000,0,751,282,12.34,514
01-10-2011,Malana Stg-II HPS,100,0,48,41,0.99,41
01-10-2011,Shree Cement TPS,150,0,0,0,0.00,0
01-10-2011,Sub Total (G ),1442,0,843,368,14.40,600
01-10-2011,,20625,14813,16634,11956,322.90,13454
01-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
01-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1240.00,1245.00,27.58,1149
01-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,282.00,287.00,5.88,245
01-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,954.00,962.00,21.16,882
01-10-2011,Thermal (Total),,2620,2476.00,2494.00,54.63,2276
01-10-2011,Total Hydro,,1148,1005.00,646.00,17.57,732
01-10-2011,Total Punjab,,3768,3481,3140,72.20,3008
01-10-2011,Panipat TPS,,1360,863.00,1081.00,23.98,999
01-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],279.00,271.00,6.56,273
01-10-2011,Grand Total Generation,Grand Total Generation,432,396.00,407.00,9.51,396
02-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-10-2011,ADHPL HPS(IPP),192,0,42,42,1.02,42
02-10-2011,KWHEP  HPS(IPP),1000,0,700,240,12.48,520
02-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
02-10-2011,Shree Cement TPS,150,0,0,0,0.00,0
02-10-2011,Sub Total (G ),1442,0,742,282,13.49,562
02-10-2011,,20625,14581,16273,11823,309.48,12895
02-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
02-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1265.00,1245.00,27.93,1164
02-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,278.00,286.00,5.88,245
02-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,967.00,966.00,21.41,892
02-10-2011,Thermal (Total),,2620,2510.00,2497.00,55.21,2301
02-10-2011,Total Hydro,,1148,704.00,525.00,14.55,606
02-10-2011,Total Punjab,,3768,3214,3022,69.76,2907
02-10-2011,Panipat TPS,,1360,914.00,876.00,21.93,914
02-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],272.00,282.00,6.65,277
02-10-2011,Grand Total Generation,Grand Total Generation,432,395.00,406.00,9.60,400
03-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
03-10-2011,ADHPL HPS(IPP),192,0,41,41,0.99,41
03-10-2011,KWHEP  HPS(IPP),1000,0,800,240,12.25,511
03-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
03-10-2011,Shree Cement TPS,150,0,74,69,1.77,74
03-10-2011,Sub Total (G ),1442,0,915,350,15.01,625
03-10-2011,,20625,14505,16368,11798,316.56,13190
03-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
03-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1245.00,1255.00,27.90,1163
03-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,170.00,295.00,4.42,184
03-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,953.00,964.00,21.21,884
03-10-2011,Thermal (Total),,2620,2368.00,2514.00,53.53,2230
03-10-2011,Total Hydro,,1148,1005.00,555.00,17.93,747
03-10-2011,Total Punjab,,3768,3373,3069,71.46,2977
03-10-2011,Panipat TPS,,1360,868.00,912.00,21.52,897
03-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],217.00,214.00,4.89,204
03-10-2011,Grand Total Generation,Grand Total Generation,432,390.00,404.00,9.58,399
04-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
04-10-2011,ADHPL HPS(IPP),192,0,39,40,0.96,40
04-10-2011,KWHEP  HPS(IPP),1000,0,603,301,12.31,513
04-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
04-10-2011,Shree Cement TPS,150,0,99,79,2.04,85
04-10-2011,Sub Total (G ),1442,0,741,420,15.31,638
04-10-2011,,20625,14698,16369,11721,320.49,13354
04-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
04-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1255.00,1256.00,27.80,1158
04-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,215.00,190.00,4.30,179
04-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,959.00,962.00,21.22,884
04-10-2011,Thermal (Total),,2620,2429.00,2408.00,53.31,2221
04-10-2011,Total Hydro,,1148,1027.00,704.00,18.33,764
04-10-2011,Total Punjab,,3768,3456,3112,71.65,2985
04-10-2011,Panipat TPS,,1360,890.00,865.00,22.19,925
04-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],222.00,190.00,5.77,240
04-10-2011,Grand Total Generation,Grand Total Generation,432,398.00,408.00,9.55,398
05-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
05-10-2011,ADHPL HPS(IPP),192,0,40,40,0.96,40
05-10-2011,KWHEP  HPS(IPP),1000,0,702,342,11.99,500
05-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
05-10-2011,Shree Cement TPS,150,0,103,111,2.73,114
05-10-2011,Sub Total (G ),1442,0,845,493,15.68,653
05-10-2011,,20625,14591,16976,11913,326.16,13590
05-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
05-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1255.00,1250.00,28.15,1173
05-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,295.00,295.00,5.72,238
05-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,955.00,951.00,21.14,881
05-10-2011,Thermal (Total),,2620,2505.00,2496.00,55.00,2292
05-10-2011,Total Hydro,,1148,881.00,731.00,15.84,660
05-10-2011,Total Punjab,,3768,3386,3227,70.84,2952
05-10-2011,Panipat TPS,,1360,1135.00,1141.00,27.25,1135
05-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],247.00,271.00,6.03,251
05-10-2011,Grand Total Generation,Grand Total Generation,432,397.00,406.00,9.56,398
06-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
06-10-2011,ADHPL HPS(IPP),192,0,40,40,0.96,40
06-10-2011,KWHEP  HPS(IPP),1000,0,700,300,11.95,498
06-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
06-10-2011,Shree Cement TPS,150,0,105,124,2.71,113
06-10-2011,Sub Total (G ),1442,0,845,464,15.63,651
06-10-2011,,20625,13827,15748,11490,303.76,12657
06-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
06-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1050.00,1255.00,25.54,1064
06-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,295.00,295.00,6.12,255
06-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,960.00,958.00,21.15,881
06-10-2011,Thermal (Total),,2620,2305.00,2508.00,52.81,2200
06-10-2011,Total Hydro,,1148,424.00,575.00,12.30,513
06-10-2011,Total Punjab,,3768,2729,3083,65.11,2713
06-10-2011,Panipat TPS,,1360,1082.00,1163.00,27.09,1129
06-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],248.00,252.00,6.05,252
06-10-2011,Grand Total Generation,Grand Total Generation,432,399.00,430.00,9.60,400
07-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
07-10-2011,ADHPL HPS(IPP),192,0,40,41,0.97,40
07-10-2011,KWHEP  HPS(IPP),1000,0,700,300,11.78,491
07-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
07-10-2011,Shree Cement TPS,150,0,120,0,1.52,63
07-10-2011,Sub Total (G ),1442,0,860,341,14.26,594
07-10-2011,,20625,13688,16207,10795,298.61,12442
07-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
07-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1050.00,1050.00,23.37,974
07-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,292.00,295.00,6.13,256
07-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,954.00,954.00,21.21,884
07-10-2011,Thermal (Total),,2620,2296.00,2299.00,50.71,2113
07-10-2011,Total Hydro,,1148,868.00,385.00,15.69,654
07-10-2011,Total Punjab,,3768,3164,2684,66.40,2767
07-10-2011,Panipat TPS,,1360,1161.00,1158.00,27.85,1161
07-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],248.00,269.00,5.95,248
07-10-2011,Grand Total Generation,Grand Total Generation,432,394.00,408.00,9.63,401
08-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
08-10-2011,ADHPL HPS(IPP),192,0,40,40,0.95,40
08-10-2011,KWHEP  HPS(IPP),1000,0,700,360,11.22,468
08-10-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
08-10-2011,Shree Cement TPS,150,0,138,137,3.75,156
08-10-2011,Sub Total (G ),1442,0,878,537,15.92,663
08-10-2011,,20625,13998,16390,11268,305.43,12726
08-10-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
08-10-2011,Guru Gobind Singh TPS (Ropar),,1260,1235.00,1040.00,26.16,1090
08-10-2011,Guru Nanak Dev TPS(Bhatinda),,440,292.00,287.00,6.09,254
08-10-2011,Guru Hargobind Singh TPS(L.mbt),,920,961.00,958.00,21.26,886
08-10-2011,Thermal (Total),,2620,2488.00,2285.00,53.50,2229
08-10-2011,Total Hydro,,1148,869.00,719.00,16.91,704
08-10-2011,Total Punjab,,3768,3357,3004,70.41,2934
08-10-2011,Panipat TPS,,1360,1105.00,1164.00,27.37,1140
08-10-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],247.00,204.00,5.38,224
08-10-2011,Grand Total Generation,Grand Total Generation,432,391.00,406.00,9.56,398
09-10-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
