09-01-2011,IX. System Constraints:,,,,,,,,
10-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
10-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
10-01-2011,Pong,426.72,384.05,416.33,739.01,397.18,162.32,47.60,211.47
10-01-2011,Tehri,829.79,740.04,819.70,1002.27,,,41.19,0.00
10-01-2011,Rihand,268.22,252.98,257.07,,257.92,,,
10-01-2011,RSD,527.91,487.91,,,,,,
10-01-2011,,,,,,,,,
10-01-2011,IX. System Constraints:,,,,,,,,
11-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
11-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
11-01-2011,Pong,426.72,384.05,416.17,726.24,396.99,156.39,42.79,221.35
11-01-2011,Tehri,829.79,740.04,819.80,1002.27,,,41.23,0.00
11-01-2011,Rihand,268.22,252.98,256.98,,257.74,,,
11-01-2011,RSD,527.91,487.91,,,,,,
11-01-2011,,,,,,,,,
11-01-2011,IX. System Constraints:,,,,,,,,
12-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
12-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
12-01-2011,Pong,426.72,384.05,416.08,726.24,396.89,156.39,41.26,257.00
12-01-2011,Tehri,829.79,740.04,819.85,1002.27,,,40.93,18.00
12-01-2011,Rihand,268.22,252.98,256.98,,257.74,,,
12-01-2011,RSD,527.91,487.91,,,,,,
12-01-2011,,,,,,,,,
12-01-2011,IX. System Constraints:,,,,,,,,
13-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
13-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
13-01-2011,Pong,426.72,384.05,416.33,739.01,397.18,162.32,47.60,211.47
13-01-2011,Tehri,829.79,740.04,819.70,1002.27,,,41.19,0.00
13-01-2011,Rihand,268.22,252.98,257.07,,257.92,,,
13-01-2011,RSD,527.91,487.91,,,,,,
13-01-2011,,,,,,,,,
13-01-2011,IX. System Constraints:,,,,,,,,
14-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
14-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
14-01-2011,Pong,426.72,384.05,416.04,726.24,396.68,150.49,43.07,281.13
14-01-2011,Tehri,829.79,740.04,820.00,1002.00,,,46.24,0.00
14-01-2011,Rihand,268.22,252.98,256.92,,257.65,,,
14-01-2011,RSD,527.91,487.91,,,,,,
14-01-2011,,,,,,,,,
14-01-2011,IX. System Constraints:,,,,,,,,
