05-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
05-01-2011,Punjab,44.4,10.3,,54.7,27.6,32.1,4.5,86.8,5.55
05-01-2011,Haryana,53.4,0.8,,54.2,18.8,30.8,12.0,85.0,10.62
05-01-2011,Rajasthan,72.9,5.1,4.4,78.0,46.1,60.4,14.2,138.4,3.41
05-01-2011,Delhi,29.5,0.0,,29.5,44.4,38.1,-6.3,67.7,0.03
05-01-2011,UP,78.5,5.8,,84.3,85.2,94.0,8.9,178.3,40.88
05-01-2011,Uttarakhand,,10.3,,10.3,14.8,17.4,2.6,27.7,1.92
05-01-2011,HP,,5.1,,5.1,16.8,17.3,0.4,22.3,0.12
05-01-2011,J & K,,5.5,,5.5,23.9,26.4,2.5,32.0,0.00
05-01-2011,Chandigarh,,,,0.0,3.3,4.1,0.8,4.1,0.00
05-01-2011,,,,,,,,,,
05-01-2011,Total,278.7,42.9,,321.5,280.9,320.6,39.7,642.2,62.51
06-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
06-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
06-01-2011,Punjab,45.8,8.3,,54.2,27.2,30.9,3.7,85.1,8.63
06-01-2011,Haryana,58.5,0.8,,59.2,17.6,27.4,9.7,86.6,9.93
06-01-2011,Rajasthan,78.9,4.4,3.2,83.3,45.3,56.0,10.7,139.3,1.60
06-01-2011,Delhi,29.5,0.0,,29.5,43.3,38.8,-4.5,68.3,0.04
06-01-2011,UP,70.5,5.6,,76.1,86.7,104.1,17.3,180.2,40.82
06-01-2011,Uttarakhand,,9.4,,9.4,14.9,17.7,2.8,27.1,2.09
06-01-2011,HP,,4.9,,4.9,17.2,18.0,0.8,22.9,0.00
06-01-2011,J & K,,5.5,,5.5,23.5,27.2,3.7,32.8,0.00
06-01-2011,Chandigarh,,,,0.0,3.2,4.2,0.9,4.2,0.00
06-01-2011,,,,,,,,,,
06-01-2011,Total,283.1,38.9,,322.0,279.1,324.3,45.2,646.3,63.10
07-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
07-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
07-01-2011,Punjab,49.2,9.9,,59.1,27.7,31.1,3.4,90.2,8.30
07-01-2011,Haryana,57.9,0.8,,58.7,22.3,29.6,7.3,88.4,5.80
07-01-2011,Rajasthan,81.3,4.6,1.1,86.0,48.6,60.3,11.7,146.3,1.21
07-01-2011,Delhi,29.1,0.0,,29.1,45.6,41.2,-4.4,70.2,0.14
07-01-2011,UP,81.6,4.7,,86.3,82.2,93.2,10.9,179.5,39.51
07-01-2011,Uttarakhand,,9.5,,9.5,15.3,18.2,2.9,27.7,1.75
07-01-2011,HP,,6.3,,6.3,18.0,18.5,0.5,24.8,0.00
07-01-2011,J & K,,5.5,,5.5,23.7,26.9,3.2,32.4,0.00
07-01-2011,Chandigarh,,,,0.0,3.3,4.3,0.9,4.3,0.00
07-01-2011,,,,,,,,,,
07-01-2011,Total,299.2,41.4,,340.6,286.7,323.1,36.4,663.7,56.71
08-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
08-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
08-01-2011,Punjab,49.9,9.2,,59.2,25.0,28.4,3.4,87.6,10.97
08-01-2011,Haryana,57.7,0.8,,58.5,22.6,31.1,8.6,89.6,6.01
08-01-2011,Rajasthan,82.4,4.2,1.1,86.6,50.7,56.0,5.3,142.6,1.21
08-01-2011,Delhi,24.6,0.0,,24.6,45.7,43.2,-2.5,67.8,0.062
08-01-2011,UP,83.9,4.1,,87.9,86.8,93.8,7.0,181.7,35.39
08-01-2011,Uttarakhand,,9.6,,9.6,14.9,17.5,2.6,27.2,1.86
08-01-2011,HP,,4.8,,4.8,18.3,17.3,-1.0,22.1,0.00
08-01-2011,J & K,,4.9,,4.9,23.6,26.2,2.5,31.1,0.00
08-01-2011,Chandigarh,,,,0.0,3.3,4.1,0.8,4.1,0.00
08-01-2011,,,,,,,,,,
08-01-2011,Total,298.5,37.7,,336.2,290.9,317.5,26.6,653.7,55.43
09-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
09-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
09-01-2011,Punjab,51.9,8.1,,60.0,28.1,29.9,1.8,89.9,4.03
09-01-2011,Haryana,59.3,0.7,,60.1,19.8,30.8,11.0,90.9,3.03
09-01-2011,Rajasthan,85.3,4.7,4.1,90.0,50.3,54.7,4.5,144.8,0.00
09-01-2011,Delhi,26.5,0.0,,26.5,45.7,40.4,-5.3,66.9,0.24
09-01-2011,UP,81.5,4.0,,85.5,88.8,97.1,8.3,182.6,35.28
09-01-2011,Uttarakhand,,9.6,,9.6,14.5,17.4,3.0,27.1,0.90
09-01-2011,HP,,4.8,,4.8,18.7,16.9,-1.7,21.7,0.00
09-01-2011,J & K,,4.9,,4.9,23.9,27.1,3.2,32.1,0.00
09-01-2011,Chandigarh,,,,0.0,3.3,4.0,0.7,4.0,0.00
09-01-2011,,,,,,,,,,
09-01-2011,Total,304.5,36.9,,341.4,292.9,318.4,25.5,659.9,43.47
10-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
10-01-2011,State,Thermal,Hydro,Other,Total,Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
10-01-2011,Punjab,50.7,10.3,,61.0,27.6,30.2,2.5,91.2,5.23
10-01-2011,Haryana,55.8,0.8,,56.6,20.9,34.3,13.3,90.9,7.88
10-01-2011,Rajasthan,85.4,4.7,0.9,90.0,49.7,58.5,8.8,148.5,0.12
10-01-2011,Delhi,29.0,0.0,,29.0,45.9,41.4,-4.5,70.5,0.03
10-01-2011,UP,82.2,4.4,,86.6,84.2,101.7,17.6,188.3,39.72
10-01-2011,Uttarakhand,,9.6,,9.6,14.8,18.3,3.5,27.8,2.55
10-01-2011,HP,,4.9,,4.9,17.9,18.0,0.1,22.8,0.00
10-01-2011,J & K,,5.5,,5.5,23.4,26.4,3.0,32.0,0.00
10-01-2011,Chandigarh,,,,0.0,3.3,4.3,1.1,4.3,0.00
10-01-2011,,,,,,,,,,
10-01-2011,Total,303.1,40.1,,343.2,287.6,333.0,45.4,676.3,55.52
11-01-2011,State,State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),State's Control Area Generation (Net MU),Drawal Schedule (Net MU),Actual Drawal (Net MU),UI (Net MU),Consumption (Net MU),Shortages (MU)
