"city","YR","M","D","HR","MW"
"Manila",2011,1,2,20,4876
"Manila",2011,1,2,21,4643
"Manila",2011,1,2,22,4319
"Manila",2011,1,2,23,3904
"Manila",2011,1,2,24,3855
"Manila",2011,1,3,1,3806
"Manila",2011,1,3,2,3674
"Manila",2011,1,3,3,3610
"Manila",2011,1,3,4,3580
"Manila",2011,1,3,5,3752
"Manila",2011,1,3,6,4024
"Manila",2011,1,3,7,4179
"Manila",2011,1,3,8,4418
"Manila",2011,1,3,9,5118
"Manila",2011,1,3,10,5584
"Manila",2011,1,3,11,5790
"Manila",2011,1,3,12,5711
"Manila",2011,1,3,13,5786
"Manila",2011,1,3,14,5849
"Manila",2011,1,3,15,5732
"Manila",2011,1,3,16,5660
"Manila",2011,1,3,17,5452
"Manila",2011,1,3,18,5802
"Manila",2011,1,3,19,5776
"Manila",2011,1,3,20,5518
"Manila",2011,1,3,21,5261
"Manila",2011,1,3,22,4857
"Manila",2011,1,3,23,4578
"Manila",2011,1,3,24,4406
"Manila",2011,1,4,1,4256
"Manila",2011,1,4,2,4088
"Manila",2011,1,4,3,4047
"Manila",2011,1,4,4,3997
"Manila",2011,1,4,5,4190
"Manila",2011,1,4,6,4393
"Manila",2011,1,4,7,4312
"Manila",2011,1,4,8,4839
"Manila",2011,1,4,9,5252
"Manila",2011,1,4,10,5762
"Manila",2011,1,4,11,5980
"Manila",2011,1,4,12,5849
"Manila",2011,1,4,13,5835
"Manila",2011,1,4,14,6031
"Manila",2011,1,4,15,5898
"Manila",2011,1,4,16,5769
"Manila",2011,1,4,17,5594
"Manila",2011,1,4,18,5929
"Manila",2011,1,4,19,5902
"Manila",2011,1,4,20,5688
"Manila",2011,1,4,21,5435
"Manila",2011,1,4,22,4936
"Manila",2011,1,4,23,4723
"Manila",2011,1,4,24,4543
"Manila",2011,1,5,1,4303
"Manila",2011,1,5,2,4165
"Manila",2011,1,5,3,4097
"Manila",2011,1,5,4,4061
"Manila",2011,1,5,5,4237
"Manila",2011,1,5,6,4524
"Manila",2011,1,5,7,4343
"Manila",2011,1,5,8,4682
"Manila",2011,1,5,9,5312
"Manila",2011,1,5,10,5757
"Manila",2011,1,5,11,6029
"Manila",2011,1,5,12,5885
"Manila",2011,1,5,13,5805
"Manila",2011,1,5,14,6168
"Manila",2011,1,5,15,6037
"Manila",2011,1,5,16,5953
"Manila",2011,1,5,17,5789
"Manila",2011,1,5,18,6028
"Manila",2011,1,5,19,6079
"Manila",2011,1,5,20,5865
"Manila",2011,1,5,21,5600
"Manila",2011,1,5,22,5209
