,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,01-Apr-2008,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN REGION
DELHI
1,RAIL,I.P.STATION,247.5,25,2.7,59,22
2,RAIL,RAJGHAT,135.0,25,2.3,63,27
3,RAIL,BADARPUR,720.0,30,12.7,338,27
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.8,37,13
5,RAIL,PANIPAT,1360.0,25,21.8,188,9
6,RAIL,YAMUNA NAGAR TP,600.0,25,8.3,91,11
PUNJAB
7,RAIL,GHTP (LEH.MOH.),670.0,30,12.7,51,4,*,Less Receipt
8,RAIL,GNDTP(BHATINDA),440.0,30,6.0,97,16
9,RAIL,ROPAR,1260.0,30,20.0,204,10
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.7,16,1,*,**,Less Receipt from
,SECL & Import
11,RAIL,SURATGARH,1250.0,30,20.3,129,6,*,Less Receipt from
,SECL & Import
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,22.2,442,20
13,RAIL,HARDUAGANJ B,325.0,25,2.7,9,3,*,**,Less Receipt
14,RAIL,OBRA,1482.0,20,15.0,294,20
15,RAIL,PANKI,210.0,30,4.0,13,3,*,**,Higher Generation
16,RAIL,PARICHHA,640.0,30,10.3,34,3,*,**,Less Receipt
17,RAIL,DADRI (NCTPP),840.0,30,13.3,109,8
18,PITHEAD,RIHAND STPS,2000.0,15,26.2,401,15
19,PITHEAD,SINGRAULI STPS,2000.0,15,25.0,563,23
20,RAIL,TANDA,440.0,25,7.3,119,16
21,RAIL,UNCHAHAR,1050.0,25,19.0,175,9
TOTAL OF THE REGION,18524.5,24,274.3,3431,13,6,4
WESTERN REGION
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,7.3,12,2,*,**,Unloading Constraint
23,PITHEAD,KORBA-II,440.0,15,6.7,80,12
24,PITHEAD,KORBA-WEST,840.0,15,13.3,353,26
25,PITHEAD,KORBA STPS,2100.0,15,32.7,372,11
26,RAIL,SIPAT STPS,500.0,20,6.7,280,42
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,13.3,118,9
28,RAIL,SIKKA REP.,240.0,30,3.3,44,13
29,RAIL,UKAI,850.0,30,11.7,144,12
30,RAIL,WANAKBORI,1470.0,30,26.0,92,4,*,Less Receipt
31,RAIL,TORR POWER AEC,390.0,30,5.7,49,9
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,300.0,15,4.0,86,22
33,RAIL,SANJAY GANDHI,1340.0,20,19.2,149,8
34,PITHEAD,SATPURA,1142.5,20,19.2,87,5,*,Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,41.9,542,13
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.7,85,11
37,RAIL,CHANDRAPUR,2340.0,20,41.3,65,2,*,**,Unloading Constraint
38,RAIL,KHAPARKHEDA II,840.0,20,15.0,223,15
39,RAIL,KORADI,1040.0,25,16.8,193,11
40,RAIL,NASIK,880.0,25,13.3,32,2,*,**,Linkage < Demand
41,RAIL,PARLI,920.0,25,16.6,56,3,*,**,Linkage < Demand
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,01-Apr-2008,)
 REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4
42,RAIL,PARAS,305.0,20,4.3,13,3,*,**,Higher Generation
43,RAIL,DAHANU,500.0,25,10.0,180,18
TOTAL OF THE REGION,21542.5,21,336.0,3256,10,7,5
SOUTHERN REGION
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,21.7,227,10
45,RAIL,KOTHAGUDEM,1180.0,20,15.8,206,13
46,ROAD,RAMAGUNDEM - B,62.5,20,1.0,15,15
47,RAIL,RAYALASEEMA,840.0,25,15.8,41,3,*,**,Less Receipt
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,40.0,67,2,*,**,Linkage < Demand
49,RAIL,SIMHADRI,1000.0,25,20.0,116,6,*

KARNATAKA
50,RAIL,RAICHUR,1470.0,30,28.3,208,7
TAMIL NADU
51,INTER MODAL ENNORE,450.0,30,7.7,33,4,*,Less Evacuation from
,Port
52,INTER MODAL METTUR,840.0,30,14.0,106,8
53,INTER MODAL NORTH CHENNAI,630.0,30,10.3,29,3,*,**,Less Evacuation from
,Port
54,INTER MODAL TUTICORIN,1050.0,30,19.0,156,8
TOTAL OF THE REGION,11382.5,25,193.6,1203,6,5,3
EASTERN REGION
BIHAR
55,RAIL,BARAUNI,320.0,20,1.2,26,22
56,RAIL,MUZAFFARPUR (***),220.0,20,1.0,0,0
57,PITHEAD,KAHALGAON,1340.0,15,26.2,143,5,*,Less Receipt - ECL

ORISSA
58,PITHEAD,IB VALLEY,420.0,15,8.3,123,15
59,PITHEAD,TALCHER,470.0,15,8.3,231,28
60,PITHEAD,TALCHER STPS,3000.0,15,58.3,704,12
JHARKHAND
61,RAIL,PATRATU,840.0,20,3.3,23,7,Less Receipt
62,ROAD,TENUGHAT,420.0,20,4.0,230,57
63,RAIL,BOKARO B,630.0,20,10.3,255,25
64,RAIL,CHANDRAPURA,750.0,20,5.7,62,11
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,4.5,17,4,*,Less Receipt
66,RAIL,MEJIA,1340.0,20,20.0,5,0,*,**,Unloading Constraint
67,RAIL,BAKRESWAR,840.0,25,12.0,151,13
68,RAIL,BANDEL,450.0,20,5.0,89,18
69,RAIL,D.P.L.,695.0,20,11.0,55,5,*,Less Receipt
70,RAIL,KOLAGHAT,1260.0,25,18.3,247,13
71,RAIL,SAGARDIGHI TPP,300.0,20,4.0,74,18
72,RAIL,SANTALDIH,730.0,20,5.7,106,19
73,RAIL,BUDGE BUDGE,500.0,20,7.3,85,12
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,24,18
75,RAIL,SOUTHERN REPL.,135.0,25,2.5,43,17
76,RAIL,TITAGARH,240.0,20,3.7,47,13
77,PITHEAD,FARAKKA STPS,1600.0,15,33.3,148,4,*,Less Receipt - ECL
TOTAL OF THE REGION,17000.0,18,255.2,2889,11,5,1
ALL INDIA TOTAL,68449.5,22,1059,10778,10,23,13

(*) Critical i.e. stock less than 7 days in,23,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,13,TPSs
(***) Due to long outage,2
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,02-Apr-2008,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN REGION
DELHI
1,RAIL,I.P.STATION,247.5,25,2.7,59,22
2,RAIL,RAJGHAT,135.0,25,2.3,63,27
3,RAIL,BADARPUR,720.0,30,12.7,352,28
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.8,39,14
5,RAIL,PANIPAT,1360.0,25,21.8,188,9
6,RAIL,YAMUNA NAGAR TP,600.0,25,8.3,91,11
PUNJAB
7,RAIL,GHTP (LEH.MOH.),670.0,30,12.7,42,3,*,**,Unloading Constraint
8,RAIL,GNDTP(BHATINDA),440.0,30,6.0,95,16
9,RAIL,ROPAR,1260.0,30,20.0,216,11
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.7,114,6,*,Less Receipt from
,SECL & Import
11,RAIL,SURATGARH,1250.0,30,20.3,126,6,*,Less Receipt from
,SECL & Import
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,22.2,439,20
13,RAIL,HARDUAGANJ B,325.0,25,2.7,9,4,*,Less Receipt
14,RAIL,OBRA,1482.0,20,15.0,307,20
15,RAIL,PANKI,210.0,30,4.0,14,4,*,Higher Generation
16,RAIL,PARICHHA,640.0,30,10.3,33,3,*,**,Less Receipt
17,RAIL,DADRI (NCTPP),840.0,30,13.3,107,8
18,PITHEAD,RIHAND STPS,2000.0,15,26.2,400,15
19,PITHEAD,SINGRAULI STPS,2000.0,15,25.0,562,22
20,RAIL,TANDA,440.0,25,7.3,128,17
21,RAIL,UNCHAHAR,1050.0,25,19.0,186,10
TOTAL OF THE REGION,18524.5,24,274.3,3570,13,6,2
WESTERN REGION
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,7.3,16,2,*,**,Unloading Constraint
23,PITHEAD,KORBA-II,440.0,15,6.7,80,12
24,PITHEAD,KORBA-WEST,840.0,15,13.3,352,26
25,PITHEAD,KORBA STPS,2100.0,15,32.7,366,11
26,RAIL,SIPAT STPS,500.0,20,6.7,280,42
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,13.3,135,10
28,RAIL,SIKKA REP.,240.0,30,3.3,51,15
29,RAIL,UKAI,850.0,30,11.7,136,12
30,RAIL,WANAKBORI,1470.0,30,26.0,90,3,*,**,Less Receipt
31,RAIL,TORR POWER AEC,390.0,30,5.7,47,8
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,300.0,15,4.0,86,21
33,RAIL,SANJAY GANDHI,1340.0,20,19.2,156,8
34,PITHEAD,SATPURA,1142.5,20,19.2,95,5,*,Less Receipt
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,41.9,554,13
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.7,82,11
37,RAIL,CHANDRAPUR,2340.0,20,41.3,65,2,*,**,Unloading Constraint
38,RAIL,KHAPARKHEDA II,840.0,20,15.0,222,15
39,RAIL,KORADI,1040.0,25,16.8,194,12
