,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT

COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 04-Feb-2013 ),Page 1 of 3

,REGION/,MODE OF,NAME OF,CAPACITY,NORMAT DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),IVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000 TONNES,IN,COAL STOCK,STOCK
,STATION,Reqd. TONNES,DAY
,(DAYS),S
,Indigenous,<7,< 4 DAYS
,Import,DAYS

NORTHERN
DELHI
1,RAIL,RAJGHAT TPS,135.0,20,2.8,0,1.54,1,*,**,Coal Supp. regulated
,by TPS
2,RAIL,BADARPUR TPS,705.0,30,14.5,0,29.94,2,*,**,Less Receipt - CCL
HARYANA
3,RAIL,PANIPAT TPS,1360.0,25,26.0,25,299.12,12
4,RAIL,YAMUNA NAGAR TPS,600.0,25,9.7,29,225.53,26
5,RAIL,INDIRA GANDHI STPP,1500.0,25,20.8,71,218.82,14
6,RAIL,MAHATMA GANDHI,1320.0,25,22.9,32,60.75,4,*,Inadequate coal
,TPS,availability
7,RAIL,RAJIV GANDHI TPS,1200.0,25,22.6,9,135.31,6,*,Less Receipt
PUNJAB
8,RAIL,GH TPS (LEH.MOH.),920.0,30,15.6,0,203.57,13
9,RAIL,ROPAR TPS,1260.0,25,23.5,0,217.77,9
10,RAIL,GND TPS(BHATINDA),440.0,30,6.3,0,46.99,8
RAJASTHAN
11,RAIL,KOTA TPS,1240.0,30,24.3,0,157.01,6,*,Less import
12,RAIL,SURATGARH TPS,1500.0,30,25.3,0,109.94,4,*,Less Receipt
13,RAIL,CHHABRA TPP,500.0,30,8.6,0,129.18,15
UTTAR PRADESH
14,PITHEAD,ANPARA TPS,1630.0,15,30.5,0,314.17,10
15,RAIL,HARDUAGANJ TPS,665.0,25,11.0,0,93.60,8
16,RAIL,OBRA TPS,1278.0,20,15.6,0,218.77,14
17,RAIL,PANKI TPS,210.0,30,3.5,0,100.17,29
18,RAIL,PARICHHA TPS,890.0,30,15.6,0,159.74,10
19,RAIL,DADRI (NCTPP),1820.0,30,31.9,0,23.26,1,*,**,Higher Generation
20,PITHEAD,RIHAND STPS,2500.0,15,45.1,0,347.23,8
21,PITHEAD,SINGRAULI STPS,2000.0,15,38.1,0,447.45,12
22,RAIL,TANDA TPS,440.0,25,9.0,0,272.09,30
23,RAIL,UNCHAHAR TPS,1050.0,25,20.1,0,147.52,7
24,RAIL,ROSA TPP Ph-I,1200.0,25,20.8,50,107.70,8
25,PITHEAD,ANPARA C TPS,1200.0,25,19.4,0,5.27,0,*,**,Inadequate coal
,availability
TOTAL OF N.R.,27563.0,24,483.5,215,4072.45,9,8,4
WESTERN
CHHATTISGARH
26,RAIL,DSPM TPS,500.0,15,9.7,0,32.00,3,*,**,Less Receipt
27,PITHEAD,KORBA-II,440.0,15,9.4,0,264.70,28
28,PITHEAD,KORBA-WEST TPS,840.0,15,19.8,0,635.87,32
29,PITHEAD,KORBA STPS,2600.0,15,45.1,0,74.79,2,*,**,Higher Generation
30,PITHEAD,SIPAT STPS,2980.0,20,41.6,0,42.66,1,*,**,Coal Sup.for U-2 3 yet
,to commenced
31,RAIL,PATHADI TPP,600.0,15,9.7,0,166.02,17
32,RAIL,BHILAI TPS,500.0,25,8.6,0,96.26,11
GUJARAT
33,RAIL,GANDHI NAGAR TPS,870.0,30,16.0,16,226.10,15
34,RAIL,UKAI TPS,850.0,30,18.0,0,358.69,20
35,RAIL,SIKKA REP. TPS,240.0,30,18.0,0,64.49,4,*,Coal Supp. regulated
,by TPS
36,RAIL,WANAKBORI TPS,1470.0,30,29.8,0,473.58,16
37,RAIL,SABARMATI (C,400.0,30,29.8,0,72.81,2,*,**,Less Receipt
,STATION)
MADHYA PRADESH
38,PITHEAD,AMARKANTAK EXT,450.0,15,7.0,12,49.59,9
39,RAIL,SANJAY GANDHI TPS,1340.0,20,21.5,0,171.21,8
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 04-Feb-2013 ),Page 2 of 3

 REGION/,MODE OF,NAME OF,CAPACITY,NORMAT DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),IVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000 TONNES,IN,COAL STOCK,STOCK
,STATION,Reqd. TONNES,DAY
,(DAYS),S
,Indigenous,<7,< 4 DAYS
,Import,DAYS

40,RAIL,SATPURA TPS,1080.0,20,22.9,0,111.57,5,*,Less import
41,PITHEAD,VINDHYACHAL STPS,3760.0,15,69.4,0,453.45,7
42,RAIL,BINA TPS,250.0,25,3.4,0,30.10,9
MAHARASHTRA
43,RAIL,BHUSAWAL TPS,1420.0,20,17.3,0,108.28,6,*,Less receipt - MCL
44,RAIL,CHANDRAPUR(MAHAR,2340.0,20,41.6,0,139.46,3,*,**,Less Receipt
,ASHTRA) STPS
45,RAIL,KHAPARKHEDA TPS,1340.0,25,25.0,2,18.98,1,*,**,Less receipt - MCL
46,RAIL,KORADI TPS,1040.0,25,16.7,0,83.43,5,*,Less Receipt
47,RAIL,NASIK TPS,630.0,25,16.0,0,190.36,12
48,RAIL,PARLI TPS,1130.0,25,20.8,0,90.47,4,*,Less receipt - MCL
49,RAIL,PARAS TPS,500.0,25,8.6,0,49.09,6,*,Less receipt - MCL
50,RAIL,DAHANU TPS,500.0,25,9.4,6,10.06,2,*,**,Higher Generation
51,RAIL,WARDHA WARORA,540.0,20,8.3,15,15.73,4,*,Less Receipt
52,RAIL,TIRORA TPS,660.0,20,10.4,124,0.00,12
TOTAL OF W.R.,29270.0,21,553.8,175,4029.76,8,14,7
SOUTHERN
ANDHRA PRADESH
53,RAIL,Dr. N.TATA RAO TPS,1760.0,20,29.8,0,278.92,9
54,RAIL,KOTHAGUDEM TPS,1720.0,20,34.7,0,332.46,10
55,RAIL,RAYALASEEMA TPS,1050.0,25,17.3,0,86.90,5,*,Less Receipt
56,PITHEAD,RAMAGUNDEM STPS,2600.0,15,45.7,0,363.34,8
57,RAIL,SIMHADRI,2000.0,25,34.0,0,75.36,2,*,**,Less receipt - MCL
58,PITHEAD,KAKATIYA TPS,500.0,25,7.9,0,77.36,10
KARNATAKA
59,RAIL,RAICHUR TPS,1720.0,30,27.0,43,93.33,5,*,Less Receipt
60,RAIL,BELLARY TPS,1000.0,30,13.9,2,39.12,3,*,**,Less Receipt
TAMIL NADU
61,INTER MODAL,ENNORE TPS,450.0,30,6.8,0,38.65,6,*,Less receipt - MCL
62,INTER MODAL,METTUR TPS,1440.0,30,19.1,75,57.43,7
63,INTER MODAL,NORTH CHENNAI TPS,630.0,30,20.8,38,43.30,4,*,Less receipt - MCL
64,INTER MODAL,TUTICORIN TPS,1050.0,30,20.1,39,143.80,9
65,RAIL,VALLUR TPP,500.0,30,14.2,0,114.36,8
TOTAL OF S.R.,16420.0,24,291.3,197,1744.34,7,6,2
EASTERN
BIHAR
66,RAIL,BARAUNI TPS,210.0,20,0.7,0,9.19,13,Under Shutdown
67,RAIL,MUZAFFARPUR TPS,220.0,20,1.4,0,3.31,2,Under Shutdown
68,PITHEAD,KAHALGAON TPS,2340.0,15,43.3,0,4.92,0,*,**,Less Receipt
JHARKHAND
69,RAIL,PATRATU TPS,770.0,20,2.0,0,206.22,101

70,ROAD,TENUGHAT TPS,420.0,20,5.1,0,119.58,23
71,RAIL,BOKARO `B` TPS,630.0,20,10.4,0,123.80,12
72,RAIL,CHANDRAPURA(DVC),890.0,20,17.3,0,159.20,9
,TPS
73,RAIL,MAITHON RB TPP,1050.0,20,15.6,0,450.40,29
74,RAIL,KODARMA TPP,500.0,20,9.7,0,0.00,0,*,**,Less Receipt
ORISSA
75,PITHEAD,IB VALLEY TPS,420.0,15,8.6,0,114.75,13
76,PITHEAD,TALCHER (OLD) TPS,470.0,15,9.7,0,139.46,14
77,PITHEAD,TALCHER STPS,3000.0,15,60.7,0,64.94,1,*,**,Less import
78,RAIL,STERLITE TPP,2400.0,20,34.7,0,242.19,7
WEST BENGAL
79,RAIL,DURGAPUR TPS,340.0,20,5.1,0,140.35,27
80,RAIL,MEJIA TPS,2340.0,20,27.7,0,29.99,1,*,**,Less import
81,RAIL,BAKRESWAR TPS,1050.0,25,18.7,0,240.87,13
82,RAIL,BANDEL TPS,450.0,20,5.1,0,106.00,21
83,RAIL,D.P.L. TPS,630.0,25,7.7,0,54.63,7
84,RAIL,KOLAGHAT TPS,1260.0,25,20.8,0,263.57,13
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 04-Feb-2013 ),Page 3 of 3

 REGION/,MODE OF,NAME OF,CAPACITY,NORMAT DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),IVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000 TONNES,IN,COAL STOCK,STOCK
,STATION,Reqd. TONNES,DAY
,(DAYS),S
,Indigenous,<7,< 4 DAYS
,Import,DAYS

85,RAIL,SAGARDIGHI TPS,600.0,20,8.6,0,39.84,5,*,Higher Generation
86,RAIL,SANTALDIH TPS,980.0,20,7.0,0,64.60,9
87,RAIL,BUDGE BUDGE TPS,750.0,20,11.4,0,269.37,24
88,RAIL,NEW COSSIPORE TPS,160.0,20,1.6,0,18.51,12
89,RAIL,SOUTHERN REPL. TPS,135.0,20,2.8,0,58.45,21
90,RAIL,TITAGARH TPS,240.0,20,4.6,0,51.86,11
91,PITHEAD,FARAKKA STPS,2100.0,15,38.1,0,33.86,1,*,**,Inadequate coal
,availability
92,RAIL,DURGAPUR STEEL,1000.0,20,17.3,0,35.78,2,*,**,Coal Sup. for U-2 yet
,to Commenced
TOTAL OF E.R.,25355.0,19,395.7,0,3045.62,8,7,6
ALL INDIA TOTAL,98608.0,22,1724,587,12892.1,8,35,19

(*) Critical i.e. stock less than 7 days in,35,TPSs,Includes super critical also
(**) Super Critical i.e. stock less than 4 days in,19,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT

COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 05-Feb-2013 ),Page 1 of 3

,REGION/,MODE OF,NAME OF,CAPACITY,NORMAT DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),IVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000 TONNES,IN,COAL STOCK,STOCK
,STATION,Reqd. TONNES,DAY
,(DAYS),S
,Indigenous,<7,< 4 DAYS
,Import,DAYS

NORTHERN
DELHI
1,RAIL,RAJGHAT TPS,135.0,20,2.8,0,7.81,3,*,**,Coal Supp. regulated
