,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,01-Mar-2008,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN REGION
DELHI
1,RAIL,I.P.STATION,247.5,25,3.3,57,17
2,RAIL,RAJGHAT,135.0,25,2.3,58,25
3,RAIL,BADARPUR,720.0,30,14.0,237,17
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,3.2,24,8
5,RAIL,PANIPAT,1360.0,25,24.0,218,9
6,RAIL,YAMUNA NAGAR TP,300.0,25,3.3,48,14
PUNJAB
7,RAIL,GHTP (LEH.MOH.),670.0,30,10.0,68,7
8,RAIL,GNDTP(BHATINDA),440.0,30,7.8,82,10
9,RAIL,ROPAR,1260.0,30,19.0,199,10
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.5,126,6,*
11,RAIL,SURATGARH,1250.0,30,23.3,102,4,*

UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,420,17
13,RAIL,HARDUAGANJ B,325.0,25,2.7,23,8
14,RAIL,OBRA,1482.0,20,15.0,161,11
15,RAIL,PANKI,210.0,30,3.2,21,7
16,RAIL,PARICHHA,640.0,30,9.5,52,5,*
17,RAIL,DADRI (NCTPP),840.0,30,13.7,118,9
18,PITHEAD,RIHAND STPS,2000.0,15,32.2,333,10
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.3,418,13
20,RAIL,TANDA,440.0,25,8.0,53,7
21,RAIL,UNCHAHAR,1050.0,25,18.8,173,9
TOTAL OF THE REGION,18224.5,24,290.1,2989,10,3,0
WESTERN REGION
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,5.0,5,1,*,**
23,PITHEAD,KORBA-II,440.0,15,8.3,94,11
24,PITHEAD,KORBA-WEST,840.0,15,14.0,294,21
25,PITHEAD,KORBA STPS,2100.0,15,32.7,394,12
26,RAIL,SIPAT STPS,500.0,20,3.3,258,78
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.7,70,6,*
28,RAIL,SIKKA REP.,240.0,30,3.3,49,15
29,RAIL,UKAI,850.0,30,12.3,177,14
30,RAIL,WANAKBORI,1470.0,30,25.5,94,4,*
31,RAIL,TORR POWER AEC,390.0,30,5.8,33,6,*

MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,300.0,15,3.7,77,21
33,RAIL,SANJAY GANDHI,1340.0,20,17.7,83,5,*
34,PITHEAD,SATPURA,1142.5,20,22.0,126,6,*
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,52.0,451,9
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,9.0,57,6,*
37,RAIL,CHANDRAPUR,2340.0,20,38.3,8,0,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,14.7,223,15
39,RAIL,KORADI,1040.0,25,17.3,177,10
40,RAIL,NASIK,880.0,25,14.8,59,4,*
41,RAIL,PARLI,920.0,25,13.9,19,1,*,**
42,RAIL,PARAS,305.0,20,3.3,36,11
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,01-Mar-2008,)
 REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4
43,RAIL,DAHANU,500.0,25,8.7,19,2,*,**
TOTAL OF THE REGION,21542.5,21,338.3,2807,8,11,4
SOUTHERN REGION
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,21.7,203,9
45,RAIL,KOTHAGUDEM,1180.0,20,20.0,238,12
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,10,12
47,RAIL,RAYALASEEMA,840.0,25,15.0,72,5,*
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,38.3,149,4,*
49,RAIL,SIMHADRI,1000.0,25,18.3,117,6,*

KARNATAKA
50,RAIL,RAICHUR,1470.0,30,28.3,269,9
TAMIL NADU
51,INTER MODAL ENNORE,450.0,30,7.0,21,3,*,**
52,INTER MODAL METTUR,840.0,30,13.3,114,9
53,INTER MODAL NORTH CHENNAI,630.0,30,11.0,62,6,*
54,INTER MODAL TUTICORIN,1050.0,30,19.0,115,6,*
TOTAL OF THE REGION,11382.5,24,192.7,1370,7,6,1
EASTERN REGION
BIHAR
55,RAIL,BARAUNI,320.0,20,1.2,20,17
56,RAIL,MUZAFFARPUR (***),220.0,20,1.5,0,0
57,PITHEAD,KAHALGAON,1340.0,15,31.3,81,3,*,**

JHARKHAND
58,RAIL,BOKARO B,630.0,20,9.3,237,25
59,RAIL,CHANDRAPURA,750.0,20,7.0,57,8
WEST BENGAL
60,RAIL,DURGAPUR,340.0,20,4.5,57,13
61,RAIL,MEJIA,1340.0,20,17.3,2,0,*,**

JHARKHAND
62,RAIL,PATRATU,840.0,20,4.0,36,9
ORISSA
64,PITHEAD,IB VALLEY,420.0,15,7.3,112,15
65,PITHEAD,TALCHER,470.0,15,8.3,152,18
66,PITHEAD,TALCHER STPS,3000.0,15,53.3,514,10
WEST BENGAL
67,RAIL,BAKRESWAR,840.0,25,12.7,185,15
68,RAIL,BANDEL,450.0,20,6.2,30,5,*
69,RAIL,D.P.L.,695.0,20,9.2,58,6,*
70,RAIL,KOLAGHAT,1260.0,25,20.0,247,12
71,RAIL,SAGARDIGHI TPP,300.0,20,1.7,60,36
72,RAIL,SANTALDIH,730.0,20,8.3,73,9
73,RAIL,BUDGE BUDGE,500.0,20,7.3,70,10
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,31,23
75,RAIL,SOUTHERN REPL.,135.0,25,1.8,31,17
76,RAIL,TITAGARH,240.0,20,3.5,54,15
77,PITHEAD,FARAKKA STPS,1600.0,15,34.0,43,1,*,**
TOTAL OF THE REGION,16580.0,18,251.0,2149,9,5,3
ALL INDIA TOTAL,67729.5,22,1072,9315,9,25,8

(*) Critical i.e. stock less than 7 days in,25,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,8,TPSs
(***) Due to long outage,2
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,02-Mar-2008,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN REGION
DELHI
1,RAIL,I.P.STATION,247.5,25,3.3,59,18
2,RAIL,RAJGHAT,135.0,25,2.3,58,25
3,RAIL,BADARPUR,720.0,30,14.0,249,18
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,3.2,22,7
5,RAIL,PANIPAT,1360.0,25,24.0,214,9
6,RAIL,YAMUNA NAGAR TP,300.0,25,3.3,48,14
PUNJAB
7,RAIL,GHTP (LEH.MOH.),670.0,30,10.0,61,6,*
8,RAIL,GNDTP(BHATINDA),440.0,30,7.8,90,11
9,RAIL,ROPAR,1260.0,30,19.0,210,11
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.5,119,6,*
11,RAIL,SURATGARH,1250.0,30,23.3,107,5,*

UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,421,17
13,RAIL,HARDUAGANJ B,325.0,25,2.7,23,9
14,RAIL,OBRA,1482.0,20,15.0,165,11
15,RAIL,PANKI,210.0,30,3.2,24,8
16,RAIL,PARICHHA,640.0,30,9.5,47,5,*
17,RAIL,DADRI (NCTPP),840.0,30,13.7,115,8
18,PITHEAD,RIHAND STPS,2000.0,15,32.2,334,10
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.3,427,14
20,RAIL,TANDA,440.0,25,8.0,58,7
21,RAIL,UNCHAHAR,1050.0,25,18.8,166,9
TOTAL OF THE REGION,18224.5,24,290.1,3018,10,4,0
WESTERN REGION
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,5.0,3,1,*,**
23,PITHEAD,KORBA-II,440.0,15,8.3,91,11
24,PITHEAD,KORBA-WEST,840.0,15,14.0,279,20
25,PITHEAD,KORBA STPS,2100.0,15,32.7,397,12
26,RAIL,SIPAT STPS,500.0,20,3.3,258,78
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.7,62,5,*
28,RAIL,SIKKA REP.,240.0,30,3.3,49,15
29,RAIL,UKAI,850.0,30,12.3,192,16
30,RAIL,WANAKBORI,1470.0,30,25.5,91,4,*
31,RAIL,TORR POWER AEC,390.0,30,5.8,39,7
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,300.0,15,3.7,77,21
33,RAIL,SANJAY GANDHI,1340.0,20,17.7,85,5,*
34,PITHEAD,SATPURA,1142.5,20,22.0,119,5,*
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,52.0,450,9
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,9.0,59,7
37,RAIL,CHANDRAPUR,2340.0,20,38.3,74,2,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,14.7,222,15
39,RAIL,KORADI,1040.0,25,17.3,181,10
40,RAIL,NASIK,880.0,25,14.8,63,4,*
41,RAIL,PARLI,920.0,25,13.9,17,1,*,**
42,RAIL,PARAS,305.0,20,3.3,37,11
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON,02-Mar-2008,)
 REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
