,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Mar-2009,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,45,15
2,RAIL,RAJGHAT TPS,135.0,25,2.1,100,48
3,RAIL,BADARPUR TPS,705.0,30,13.4,56,4,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,1.9,21,11
5,RAIL,PANIPAT TPS,1360.0,25,24.2,13,1,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TPS,600.0,25,9.7,46,5,*,Inadequate linkage
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,14.0,34,2,*,** Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,6.3,84,13
9,RAIL,ROPAR TPS,1260.0,30,20.0,104,5,*,Inadequate linkage
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,19.5,191,10
11,RAIL,SURATGARH TPS,1250.0,30,24.4,109,4,*,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,25.8,163,6,*,Inadequate linkage
13,RAIL,HARDUAGANJ B,225.0,25,2.9,15,5,*,Inadequate linkage
14,RAIL,OBRA TPS,1362.0,20,14.5,214,15
15,RAIL,PANKI TPS,210.0,30,3.9,13,3,*,** Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,11.3,36,3,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,14.5,194,13
18,PITHEAD,RIHAND STPS,2000.0,15,34.5,534,15
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,404,13
20,RAIL,TANDA TPS,440.0,25,8.1,158,20
21,RAIL,UNCHAHAR TPS,1050.0,25,19.4,146,8
TOTAL OF N.R.,18539.5,24,304.5,2681,9,10,4
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,100,12
23,PITHEAD,KORBA-II,440.0,15,7.7,63,8
24,PITHEAD,KORBA-WEST TPS,840.0,15,11.9,270,23
25,PITHEAD,KORBA STPS,2100.0,15,31.0,518,17
26,RAIL,SIPAT STPS,1000.0,20,15.2,28,2,*,** Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,12.3,54,4,*,Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240.0,30,4.2,17,4,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,12.6,93,7
30,RAIL,WANAKBORI TPS,1470.0,30,23.2,46,2,*,** Inadequate linkage
31,RAIL,TORR POWER AEC,390.0,30,4.2,3,1,*,** Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500.0,15,5.7,96,17
33,RAIL,SANJAY GANDHI TPS,1340.0,20,17.7,86,5,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,20.3,48,2,*,** Less Receipt - WCL
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,409,8
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,7.6,46,6,*,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,34.5,70,2,*,** Inadequate linkage
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,14.4,81,6,*,Less Receipt
39,RAIL,KORADI TPS,1040.0,25,17.9,48,3,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,14.0,14,1,*,** Inadequate linkage
41,RAIL,PARLI TPS,920.0,25,14.6,96,7
42,RAIL,PARAS TPS,305.0,20,5.7,20,4,*,Less Receipt
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Mar-2009,Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

43,RAIL,DAHANU TPS,500.0,25,9.4,79,8
TOTAL OF W.R.,22242.5,21,342.8,2285,7,13,7
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260.0,25,19.8,71,4,*,Inadequate linkage
45,RAIL,KOTHAGUDEM TPS,1180.0,20,19.4,154,8
46,ROAD,RAMAGUNDEM - B TPS,62.5,20,0.8,20,24
47,RAIL,RAYALASEEMA TPS,840.0,25,15.3,26,2,*,** Inadequate linkage
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.9,560,15
49,RAIL,SIMHADRI,1000.0,25,18.7,282,15
KARNATAKA
50,RAIL,RAICHUR TPS,1470.0,30,28.0,477,17
TAMIL NADU
51,INTER MODAL ENNORE TPS,450.0,30,7.4,44,6,*,Less Receipt -
,MCL ECL
52,INTER MODAL METTUR TPS,840.0,30,13.6,131,10
53,INTER MODAL NORTH CHENNAI TPS,630.0,30,10.1,91,9
54,INTER MODAL TUTICORIN TPS,1050.0,30,16.9,150,9
TOTAL OF S.R.,11382.5,24,187.9,2006,11,3,1
EASTERN
BIHAR
55,RAIL,BARAUNI TPS,320.0,20,0.7,3,5,*,Inadequate linkage
56,RAIL,MUZAFFARPUR TPS,220.0,20,1.0,2,2,*,** Less Receipt
57,PITHEAD,KAHALGAON TPS,1840.0,15,34.7,29,1,*,** Less Receipt - ECL
JHARKHAND
58,RAIL,PATRATU TPS,840.0,20,4.5,20,4,*,Less Receipt
59,ROAD,TENUGHAT TPS,420.0,20,5.5,0,0,*,** Inadequate linkage
60,RAIL,BOKARO `B` TPS,630.0,20,8.6,159,19
61,RAIL,CHANDRAPURA(DVC),750.0,20,5.7,126,22
,TPS
ORISSA
62,PITHEAD,IB VALLEY TPS,420.0,15,8.6,178,21
63,PITHEAD,TALCHER (OLD) TPS,470.0,15,8.1,68,8
64,PITHEAD,TALCHER STPS,3000.0,15,58.1,181,3,*,** Inadequate linkage
WEST BENGAL
65,RAIL,DURGAPUR TPS,340.0,20,5.2,164,32
66,RAIL,MEJIA TPS,1340.0,20,21.9,0,0,*,** Unloading Constraint
67,RAIL,BAKRESWAR TPS,840.0,25,11.3,269,24
68,RAIL,BANDEL TPS,450.0,20,5.2,8,2,*,** Inadequate linkage
69,RAIL,D.P.L. TPS,695.0,20,9.7,40,4,*,Less receipt - EMTA
70,RAIL,KOLAGHAT TPS,1260.0,25,19.2,245,13
71,RAIL,SAGARDIGHI TPS,600.0,20,7.1,6,1,*,** Unloading Constraint
72,RAIL,SANTALDIH TPS,730.0,20,7.4,124,17
73,RAIL,BUDGE BUDGE TPS,500.0,20,7.1,120,17
74,RAIL,NEW COSSIPORE TPS,160.0,20,1.3,19,15
75,RAIL,SOUTHERN REPL. TPS,135.0,25,2.3,42,19
76,RAIL,TITAGARH TPS,240.0,20,3.6,50,14
77,RAIL,FARAKKA STPS,1600.0,15,33.9,91,3,*,** Less Receipt - ECL
TOTAL OF E.R.,17800.0,18,270.7,1943,7,11,8
ALL INDIA TOTAL,69964.5,22,1106,8915,8,37,20

(*) Critical i.e. stock less than 7 days in,37,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,20,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 02-Mar-2009,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,42,14
2,RAIL,RAJGHAT TPS,135.0,25,2.1,98,47
3,RAIL,BADARPUR TPS,705.0,30,13.4,52,4,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,1.9,19,10
5,RAIL,PANIPAT TPS,1360.0,25,24.2,12,0,*,** Less Receipt - CCL
6,RAIL,YAMUNA NAGAR TPS,600.0,25,9.7,45,5,*,Inadequate linkage
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,14.0,34,2,*,** Inadequate linkage
8,RAIL,GND TPS(BHATINDA),440.0,30,6.3,86,14
9,RAIL,ROPAR TPS,1260.0,30,20.0,123,6,*,Inadequate linkage
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,19.5,187,10
11,RAIL,SURATGARH TPS,1250.0,30,24.4,87,4,*,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,25.8,164,6,*,Inadequate linkage
13,RAIL,HARDUAGANJ B,225.0,25,2.9,15,5,*,Inadequate linkage
14,RAIL,OBRA TPS,1362.0,20,14.5,214,15
15,RAIL,PANKI TPS,210.0,30,3.9,15,4,*,Inadequate linkage
16,RAIL,PARICHHA TPS,640.0,30,11.3,43,4,*,Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,14.5,181,12
18,PITHEAD,RIHAND STPS,2000.0,15,34.5,537,16
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,411,13
20,RAIL,TANDA TPS,440.0,25,8.1,162,20
21,RAIL,UNCHAHAR TPS,1050.0,25,19.4,134,7
TOTAL OF N.R.,18539.5,24,304.5,2660,9,10,2
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,99,11
23,PITHEAD,KORBA-II,440.0,15,7.7,67,9
24,PITHEAD,KORBA-WEST TPS,840.0,15,11.9,268,22
25,PITHEAD,KORBA STPS,2100.0,15,31.0,515,17
26,RAIL,SIPAT STPS,1000.0,20,15.2,22,1,*,** Less Receipt - SECL
GUJARAT
