,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Nov-2010 )
,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,COAL,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,REQUIRE,CRITICAL COAL
,POWER,STOCK,MENT,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,IN '000,TONNES,DAYS
,(DAYS),TONNES,<7,<4

NORTHERN
DELHI
1,RAIL,RAJGHAT TPS,135.0,25,2.3,85,36
2,RAIL,BADARPUR TPS,705.0,30,13.0,493,38
HARYANA
3,RAIL,PANIPAT TPS,1360.0,25,21.7,200,9
4,RAIL,YAMUNA NAGAR TPS,600.0,25,8.3,209,25
5,RAIL,RAJIV GANDHI TPS,1200.0,25,13.3,51,4,*,Less Receipt
PUNJAB
6,RAIL,GH TPS (LEH.MOH.),920.0,30,5.0,282,56
7,RAIL,GND TPS(BHATINDA),440.0,30,5.0,343,69
8,RAIL,ROPAR TPS,1260.0,30,20.0,733,37
RAJASTHAN
9,RAIL,KOTA TPS,1240.0,30,20.0,16,1,*,**,No import
10,RAIL,SURATGARH TPS,1500.0,30,22.3,166,7
11,RAIL,CHHABRA TPP,500.0,30,8.3,59,7
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,23.3,138,6,*,Less Receipt
13,RAIL,HARDUAGANJ TPS,220.0,25,2.7,95,36
14,RAIL,OBRA TPS,1372.0,20,15.0,89,6,*,No import
15,RAIL,PANKI TPS,210.0,30,3.3,168,50
16,RAIL,PARICHHA TPS,640.0,30,11.0,96,9
17,RAIL,DADRI (NCTPP),1820.0,30,26.7,142,5,*,Less Receipt
18,PITHEAD,RIHAND STPS,2000.0,15,34.0,51,1,*,**,Less Receipt - NCL
19,PITHEAD,SINGRAULI STPS,2000.0,15,35.3,14,0,*,**,Higher Generation
20,RAIL,TANDA TPS,440.0,25,8.0,246,31
21,RAIL,UNCHAHAR TPS,1050.0,25,18.3,220,12
22,RAIL,ROSA TPP Ph-I,600.0,25,9.0,52,6,*,Less Receipt
TOTAL OF N.R.,21842.0,24,325.8,3945,12,8,3
WESTERN
CHHATTISGARH
23,RAIL,KORBA EAST V,500.0,15,9.0,57,6,*,Less Receipt
24,PITHEAD,KORBA-II,440.0,15,11.4,102,9
25,PITHEAD,KORBA-WEST TPS,840.0,15,14.7,252,17
26,PITHEAD,KORBA STPS,2100.0,15,36.7,216,6,*,Less Receipt
27,RAIL,SIPAT STPS,1000.0,20,16.7,254,15
28,RAIL,PATHADI TPP,600.0,15,9.7,128,13
29,RAIL,BHILAI TPS,500.0,25,9.0,125,14
GUJARAT
30,RAIL,GANDHI NAGAR TPS,870.0,30,13.3,67,5,*,Less Receipt
31,RAIL,SIKKA REP. TPS,240.0,30,4.0,23,6,*,Less Receipt
32,RAIL,UKAI TPS,850.0,30,10.1,85,8
33,RAIL,WANAKBORI TPS,1470.0,30,23.3,78,3,*,**,Less Receipt - SECL
34,RAIL,SABARMATI (C,400.0,30,6.0,38,6,*,Less Receipt
,STATION)
MADHYA PRADESH
35,PITHEAD,AMARKANTAK EXT TPS,450.0,15,5.2,76,15
36,RAIL,SANJAY GANDHI TPS,1340.0,20,21.3,246,12
37,RAIL,SATPURA TPS,1142.5,20,20.7,241,12
38,PITHEAD,VINDHYACHAL STPS,3260.0,15,56.7,19,0,*,**,Less Receipt - NCL
MAHARASHTRA
39,RAIL,BHUSAWAL TPS,470.0,270,9.0,128,14
40,RAIL,CHANDRAPUR(MAHAR,2340.0,20,40.0,456,11
,ASHTRA) STPS
41,RAIL,KHAPARKHEDA TPS- II,840.0,20,15.1,86,6,*,Less Receipt
,Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,COAL,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,REQUIRE,CRITICAL COAL
,POWER,STOCK,MENT,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,IN '000,TONNES,DAYS
,(DAYS),TONNES,<7,<4

42,RAIL,KORADI TPS,1040.0,25,15.7,226,14
43,RAIL,NASIK TPS,880.0,25,11.6,165,14
44,RAIL,PARLI TPS,1170.0,25,20.0,39,2,*,**,Less Receipt
45,RAIL,PARAS TPS,555.0,20,7.9,24,3,*,**,Less Receipt
46,RAIL,DAHANU TPS,500.0,25,7.7,25,3,*,**,Less Receipt - SECL
TOTAL OF W.R.,23797.5,26,394.8,3154,8,11,5
SOUTHERN
ANDHRA PRADESH
47,RAIL,Dr. N.TATA RAO TPS,1760.0,20,24.0,267,11
48,ROAD,KOTHAGUDEM TPS,1220.0,20,20.0,345,17
49,RAIL,RAMAGUNDEM - B TPS,62.5,20,0.8,30,38
50,RAIL,RAYALASEEMA TPS,840.0,25,14.2,276,19
51,PITHEAD,RAMAGUNDEM STPS,2600.0,15,40.0,261,7
52,RAIL,SIMHADRI,1000.0,25,17.3,184,11
53,RAIL,KAKATIYA TPS,500.0,20,6.7,298,45
KARNATAKA
54,RAIL,RAICHUR TPS,1720.0,30,22.9,322,14
