,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON01-04-2009 ),Page 1 of 2
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATIVE,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR CRITICAL
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd.,LINKAGE,COAL STOCK
,POWER,(DAYS),IN '000,IN DAYS COAL STOCK
,STATION,TONNES
,<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,57,18
2,RAIL,RAJGHAT TPS,135,25,2.1,105,50
3,RAIL,BADARPUR TPS,705,30,13.4,131,10
HARYANA
4,RAIL,FARIDABAD EXT.,180,25,1.9,15,8
5,RAIL,PANIPAT TPS,1360,25,24.2,111,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR,600,25,9.7,60,6,*,Less receipt-CCL
PUNJAB,TPS
7,RAIL,GH TPS (LEH.MOH.),920,30,14,39,3,*,**,Inadequate linkage
8,RAIL,GND,440,30,6.3,83,13
9,RAIL,TPS(BHATINDA)
,ROPAR TPS,1260,30,20,178,9
RAJASTHAN
10,RAIL,KOTA TPS,1045,30,19.5,231,12
11,RAIL,SURATGARH TPS,1250,30,24.4,31,1,*,**,Inadequate linkage
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630,15,25.8,282,11
13,RAIL,HARDUAGANJ B,225,25,2.9,17,6,*,Inadequate linkage
14,RAIL,OBRA TPS,1362,20,14.5,254,18
15,RAIL,PANKI TPS,210,30,3.9,9,2,*,**,Inadequate linkage
16,RAIL,PARICHHA TPS,640,30,11.3,31,3,*,**,Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840,30,14.5,295,20
18,PITHEAD,RIHAND STPS,2000,15,34.5,584,17
19,PITHEAD,SINGRAULI STPS,2000,15,31,709,23
20,RAIL,TANDA TPS,440,25,8.1,205,25
21,RAIL,UNCHAHAR TPS,1050,25,19.4,224,12
TOTAL OF N.R.,18539.5,24,304.5,3651,12,7,4
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500,15,8.7,108,12
23,PITHEAD,KORBA-II,440,15,7.7,69,9
24,PITHEAD,KORBA-WEST TPS,840,15,11.9,224,19
25,PITHEAD,KORBA STPS,2100,15,31,327,11
26,RAIL,SIPAT STPS,1000,20,15.2,5,0,*,**,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR,870,30,12.3,103,8
28,RAIL,TPS
,SIKKA REP. TPS,240,30,4.2,28,7
29,RAIL,UKAI TPS,850,30,12.6,85,7
30,RAIL,WANAKBORI TPS,1470,30,23.2,79,3,*,**,Inadequate linkage
31,RAIL,TORR POWER AEC,390,30,4.2,16,4,*,**,Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,500,15,5.7,109,19
33,RAIL,SANJAY GANDHI,1340,20,17.7,189,11
34,RAIL,TPS
,SATPURA TPS,1142.5,20,20.3,170,8
35,PITHEAD,VINDHYACHAL,3260,15,50,631,13
MAHARASHTRA,STPS
36,RAIL,BHUSAWAL TPS,475,25,7.6,13,2,*,**,Inadequate linkage
37,RAIL,CHANDRAPUR(MA,2340,20,34.5,108,3,*,**,Inadequate linkage
,HARASHTRA) STPS
38,RAIL,KHAPARKHEDA,840,20,14.4,64,4,*,Less Receipt
39,RAIL,TPS- II TPS
,KORADI,1040,25,17.9,40,2,*,**,Less Receipt -SECL MCL

40,RAIL,NASIK TPS,880,25,14,35,3,*,**,Inadequate linkage
41,RAIL,PARLI TPS,920,25,14.6,71,5,*,Inadequate linkage
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-04-2009 )
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-04-2009 ),Page 2 of 2
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATIVE,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR CRITICAL
,STATE,TRANSPORT,THERMAL,(MW),STOCK Reqd.,LINKAGE,COAL STOCK
,POWER,(DAYS),IN '000,IN DAYS COAL STOCK
,STATION,TONNES
,<7,<4

42,RAIL,PARAS TPS,305,20,5.7,61,11
43,RAIL,DAHANU TPS,500,25,9.4,92,10
TOTAL OF W.R.,22242.5,21,342.8,2627,8,9,6
9.402985075
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260,25,19.8,264,13
45,RAIL,TPS
,KOTHAGUDEM,TPS,1180,20,19.4,147,8
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,22,28
47,RAIL,TPS
,RAYALASEEMA,840,25,15.3,91,6,*,Inadequate linkage
48,PITHEAD,TPS
,RAMAGUNDEM,2600,15,37.9,558,15
49,RAIL,STPS
,SIMHADRI,1000,25,18.7,342,18
KARNATAKA
50,RAIL,RAICHUR TPS,1470,30,28,458,16
51,RAIL,BELLARY TPS,500,22,3.2,233,73
TAMIL NADU
52,INTER,ENNORE TPS,450,30,7.4,66,9
53,INTER,METTUR TPS,840,30,13.6,206,15
54,INTER,NORTH CHENNAI,630,30,10.1,131,13
55,INTER,TPS
,TUTICORIN TPS,1050,30,16.9,213,13
TOTAL OF S.R.,11882.5,24,191.1,2731,14,1,0
EASTERN
BIHAR
