,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,01-Oct-,)
,REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.2,50.96,16
2,RAIL,RAJGHAT,135.0,25,2.1,33.26,16
3,RAIL,BADARPUR,705.0,30,12.3,64.70,5,*
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.6,34.40,13
5,RAIL,PANIPAT,1360.0,25,23.9,80.49,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,9.7,26.91,3,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,11.6,140.16,12
8,RAIL,GNDTP(BHATINDA),440.0,30,6.5,34.70,5,*
9,RAIL,ROPAR,1260.0,30,19.4,125.47,6,*
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.0,139.37,7
11,RAIL,SURATGARH,1250.0,30,19.7,76.32,4,*
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,24.2,64.84,3,*,**
13,RAIL,HARDUAGANJ B,225.0,25,2.9,36.84,13
14,RAIL,OBRA,1482.0,20,12.9,23.90,2,*,**
15,RAIL,PANKI,210.0,30,3.2,7.44,2,*,**
16,RAIL,PARICHHA,640.0,30,10.0,52.86,5,*
17,RAIL,DADRI (NCTPP),840.0,30,12.9,142.84,11
18,PITHEAD,RIHAND STPS,2000.0,15,29.0,1.39,0,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,29.0,23.64,1,*,**
20,RAIL,TANDA,440.0,25,6.1,19.45,3,*,**
21,RAIL,UNCHAHAR,1050.0,25,19.4,17.97,1,*,**
TOTAL OF THE REGION,18659.5,23.82,279.6,1197.9,4,14,9
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,44.11,5,*
23,PITHEAD,KORBA-II,440.0,15,8.1,63.35,8
24,PITHEAD,KORBA-WEST,840.0,15,11.3,344.61,31
25,PITHEAD,KORBA STPS,2100.0,15,28.1,695.94,25
26,RAIL,SIPAT STPS,1000.0,20,6.8,77.46,11
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.3,137.37,11
28,RAIL,SIKKA REP.,240.0,30,3.2,78.91,24
29,RAIL,UKAI,850.0,30,9.7,109.10,11
30,RAIL,WANAKBORI,1470.0,30,22.6,159.66,7
31,RAIL,TORR POWER AEC,390.0,30,5.5,14.23,3,*,**
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,5.7,108.09,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,66.36,3,*,**
34,PITHEAD,SATPURA,1142.5,20,21.0,166.34,8
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,45.2,57.10,1,*,**
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.1,35.51,5,*
37,RAIL,CHANDRAPUR,2340.0,20,36.6,87.25,2,*,**
38,RAIL,KHAPARKHEDA II,840.0,20,16.1,29.98,2,*,**
39,RAIL,KORADI,1040.0,25,16.3,83.29,5,*
40,RAIL,NASIK,880.0,25,12.9,13.29,1,*,**
41,RAIL,PARLI,920.0,25,14.5,77.27,5,*
42,RAIL,PARAS,305.0,20,6.0,120.06,20
43,RAIL,DAHANU,500.0,25,9.7,84.45,9
TOTAL OF THE REGION,22252.5,41.23,328.4,2653.7,8,10,6
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,01-Oct-,)
 REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,19.4,22.59,1,*,**
45,RAIL,KOTHAGUDEM,1180.0,20,13.5,88.40,7
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,23.43,29
47,RAIL,RAYALASEEMA,840.0,25,12.9,33.14,3,*,**
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.6,98.11,3,*,**
49,RAIL,SIMHADRI,1000.0,25,16.1,23.94,1,*,**
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,27.4,117.49,4,*
TAMIL NADU
51,INTER MODAL,ENNORE,450.0,30,7.1,24.74,3,*,**
52,INTER MODAL,METTUR,840.0,30,13.4,44.06,3,*,**
53,INTER MODAL,NORTH CHENNAI,630.0,30,9.8,85.77,9
54,INTER MODAL,TUTICORIN,1050.0,30,17.4,102.84,6,*
TOTAL OF THE REGION,11382.5,101.54,175.4,664.49,4,8,6
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.1,18.20,16
56,RAIL,MUZAFFARPUR,220.0,20,1.0,27.36,28
57,PITHEAD,KAHALGAON,1840.0,15,28.5,30.70,1,*,**
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,8.1,26.66,3,*,**
59,PITHEAD,TALCHER,470.0,15,6.5,64.89,10
60,PITHEAD,TALCHER STPS,3000.0,15,54.8,68.70,1,*,**
JHARKHAND
61,RAIL,PATRATU,840.0,20,5.5,16.05,3,*,**
62,ROAD,TENUGHAT,420.0,20,4.8,8.84,2,*,**
63,RAIL,BOKARO B,630.0,20,8.7,270.00,31
64,RAIL,CHANDRAPURA,750.0,20,5.8,88.86,15
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,4.8,20.80,4,*
66,RAIL,MEJIA,1340.0,20,21.3,14.60,1,*,**
67,RAIL,BAKRESWAR,840.0,25,12.9,40.57,3,*,**
68,RAIL,BANDEL,450.0,20,4.8,8.17,2,*,**
69,RAIL,D.P.L.,695.0,20,10.3,33.90,3,*,**
70,RAIL,KOLAGHAT,1260.0,25,18.7,28.14,2,*,**
71,RAIL,SAGARDIGHI TPP,600.0,20,6.5,37.12,6,*
72,RAIL,SANTALDIH,730.0,20,7.4,36.77,5,*
73,RAIL,BUDGE BUDGE,500.0,20,7.1,35.26,5,*
74,RAIL,NEWCOSSIPORE,160.0,20,1.3,5.03,4,*
75,RAIL,SOUTHERN REPL.,135.0,25,2.3,16.33,7
76,RAIL,TITAGARH,240.0,20,3.6,12.82,4,*
77,PITHEAD,FARAKKA STPS,1600.0,15,26.7,7.37,0,*,**
TOTAL OF THE REGION,17800.0,88.63,252.5,917.12,4,17,11
NORTH EASTERN
ASSAM
79,RAIL,BONGAIGAON,-1.0,0,0.0,0.00
TOTAL OF THE REGION,-1.0,0.00,0.0,0.00,0,0,0
ALL INDIA TOTAL,70093.5,1750,1036,5433.2,5,49,32

(*) Critical i.e. stock less than 7 days in,49,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,32,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,02-Oct-,)
,REGION/,MODE OF,NAME OF,CAPACITY,NORMATI,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),VE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.2,53.41,17
2,RAIL,RAJGHAT,135.0,25,2.1,34.10,16
3,RAIL,BADARPUR,705.0,30,12.3,61.10,5,*
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,2.6,35.97,14
5,RAIL,PANIPAT,1360.0,25,23.9,67.45,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,9.7,21.66,2,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,11.6,141.83,12
8,RAIL,GNDTP(BHATINDA),440.0,30,6.5,29.10,5,*
9,RAIL,ROPAR,1260.0,30,19.4,124.51,6,*
RAJASTHAN
10,RAIL,KOTA,1045.0,30,19.0,129.62,7
11,RAIL,SURATGARH,1250.0,30,19.7,73.71,4,*
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,24.2,59.25,2,*,**
13,RAIL,HARDUAGANJ B,225.0,25,2.9,39.40,14
14,RAIL,OBRA,1482.0,20,12.9,28.80,2,*,**
15,RAIL,PANKI,210.0,30,3.2,8.73,3,*,**
16,RAIL,PARICHHA,640.0,30,10.0,51.40,5,*
17,RAIL,DADRI (NCTPP),840.0,30,12.9,136.31,11
18,PITHEAD,RIHAND STPS,2000.0,15,29.0,6.36,0,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,29.0,20.53,1,*,**
20,RAIL,TANDA,440.0,25,6.1,24.28,4,*
21,RAIL,UNCHAHAR,1050.0,25,19.4,19.02,1,*,**
TOTAL OF THE REGION,18659.5,23.82,279.6,1166.5,4,14,8
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,43.51,5,*
23,PITHEAD,KORBA-II,440.0,15,8.1,62.56,8
24,PITHEAD,KORBA-WEST,840.0,15,11.3,345.51,31
25,PITHEAD,KORBA STPS,2100.0,15,28.1,701.59,25
26,RAIL,SIPAT STPS,1000.0,20,6.8,78.86,12
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,12.3,142.47,12
28,RAIL,SIKKA REP.,240.0,30,3.2,79.76,25
29,RAIL,UKAI,850.0,30,9.7,106.40,11
30,RAIL,WANAKBORI,1470.0,30,22.6,156.81,7
31,RAIL,TORR POWER AEC,390.0,30,5.5,19.26,4,*
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,5.7,107.82,19
33,RAIL,SANJAY GANDHI,1340.0,20,21.0,62.98,3,*,**
34,PITHEAD,SATPURA,1142.5,20,21.0,169.19,8
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,45.2,49.96,1,*,**
MAHARASHTRA
