,No.CEA/Plg/OM/1/42/2008
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION


,******* DAILY COAL REPORT

COAL STOCK POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY AS ON 3.8.2008
REGION /,SL. MODE NAME OF,CAPACITY NORMATIVE DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER IN MW,STOCK Reqd. AGE IN '000 IN 000,IN COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
NORTHEN REGION
DELHI,1 RAIL I.P. STATION,248,25,3.3,9,3,*,**,Less receipt-NCL
,2 RAIL RAJGHAT,135,25,2.2,25,12
,3 RAIL BADARPUR($),720,30,12.7,75,6,*,Less receipt -CCL
HARYANA,4 RAIL FARIDABAD EXT,180,25,2.7,54,20
,5 RAIL PANIPAT,1360,25,24.7,142,6,*,Less receipt-CCL BCCL
,6 RAIL YAMUNA NAGAR,600,25,10.0,37,4,*,Less receipt -CCL
PUNJAB,7 RAIL GHTP(LEH.MOH.),670,30,12.0,53,4,*,Less receipt -CCL
,8 RAIL GNDTP(BATHINDA),440,30,6.7,63,9
,9 RAIL ROPAR,1260,30,20.0,279,14
RAJASTHAN,10 RAIL KOTA,1045,30,19.7,256,13
,11 RAIL SURATGARH,1250,30,20.3,182,9
U . P.,12 P.H.,ANPARA,1630,15,25.0,46,2,*,**,Less receipt-NCL
,13 RAIL HARDUAGANJ"B",325,25,3.0,23,8
,14 RAIL OBRA,1482,20,13.3,86,6,*,Less receipt-CCL NCL
,15 RAIL PANKI,210,30,3.3,26,8
,16 RAIL PARICHHA,640,30,10.3,154,15
,17 RAIL DADRI(NCPP)($),840,30,13.3,72,5,*,Less receipt -CCL
,18 P.H.,RIHAND STPS($),2000,15,30.0,21,1,*,**,Less receipt-NCL
,19 P.H.,SINGRAULI STPS($),2000,15,30.0,0,0,*,**,Linkage < Demand
,20 RAIL TANDA($),440,25,6.3,12,2,*,**,Less receipt -CCL
,21 RAIL UNCHAHAR($),1050,25,20.0,61,3,*,**,Less receipt-CCL BCCL
TOTAL OF THE REGION,18525,24,288.8,1676,6,12,6
WESTERN REGION
CHHATTISGARH,22 RAIL KORBA EAST V,500,15,9.0,62,7
,23 P.H.,KORBA (East),440,15,8.3,124,15
,24 P.H.,KORBA WEST,840,15,11.7,193,17
,25 P.H.,KORBA STPS($),2100,15,29.0,515,18
,26 P.H.,SIPAT STPS,500,15,7.0,111,16
GUJARAT,27 RAIL GANDHI NAGAR,870,30,12.7,87,7
,28 RAIL SIKKA REP,240,30,3.3,49,15
,29 RAIL UKAI,850,30,10.0,175,18
,30 RAIL WANAKBORI,1470,30,23.3,221,9
,31 RAIL TORR POWER,390,30,5.7,28,5,*,Less receipt-SECL
M. P.,32 P.H.,AMARKANTAK,300,15,5.8,66,11
,33 RAIL SANJAY GANDHI,1340,20,21.7,112,5,*,Less receipt-SECL
,34 P.H.,SATPURA,1143,20,21.7,150,7
,35 P.H.,VINDHYACHAL STP(,3260,15,46.7,100,2,*,**,Less receipt-CCL NCL
MAHARASHTRA 36 RAIL BHUSAWAL,475,25,7.3,24,3,*,**,Linkage < Demand
,37 RAIL CHANDRAPUR,2340,20,37.8,178,5,*,Unloading Constraint
,38 RAIL KHAPARKHEDA II,840,20,16.7,68,4,*,Less receipt
,39 RAIL KORADIH,1040,25,16.8,181,11
,40 RAIL NASIK,880,25,13.3,79,6,*,Less receipt
,41 RAIL PARLI,920,25,15.0,102,7
,42 RAIL PARAS,305,20,6.2,95,15
,43 RAIL DAHANU,500,25,10.0,57,6,*,Less receipt-SECL
TOTAL OF THE REGION,21543,21,339.0,2777,8,8,2
siyaram/8/5/2008,1
REGION /,SL. MODE,NAME OF,CAPACITY,NORMATIVE,DAILY LINK-,ACTUAL STOCK,CRITICAL,REASONS FOR
STATE,NO. OF TRAN THERMAL POWER,IN MW,STOCK Reqd. AGE IN '000,IN 000,IN,COAL STOCK CRITICAL COAL
,PORT,STATION,(Days),TONNES,TONNES,DAYS <7days <4days STOCK
SOUTHERN REGION
A. P.,44 RAIL Dr. N. TATA RAO,1260,25,20.0,30,2,*,**,Less receipt-SCCL
,45 RAIL KOTHAGUDEM,1180,20,13.9,31,2,*,**,Linkage < Demand
,46 ROAD RAMAGUNDEM"B",63,20,0.8,26,31
,47 RAIL RAYALASEEMA,840,25,13.3,0,0,*,**,Less receipt
,48 P.H.,RAMAGUNDAM($),2600,15,38.8,4,0,*,**,Linkage < Demand
,49 RAIL SIMHADRI($),1000,25,16.7,65,4,*,Less receipt
KARNATAKA,50 RAIL RAICHUR,1470,30,28.3,73,3,*,**,Less receipt
TAMIL NADU,51 I.M.,ENNORE,450,30,7.3,36,5,*,Less receipt- MCL,ECL
,52 I.M.,METTUR,840,30,13.8,130,9
,53 I.M.,NORTH CHENNAI,630,30,10.2,95,9
,54 I.M.,TUTICORIN,1050,30,18.0,117,7
TOTAL OF THE REGION,11383,25,181.2,607,3,7,5
EASTERN REGION
BIHAR,55 RAIL BARAUNI,320,20,1.2,18,15
,56 RAIL MUZAFFARPUR,220,20,1.0,0
,57 P.H.,KAHALGAON($),1840,15,29.4,67,2,*,**,Less receipt-ECL
ORISSA,58 P.H.,IB VALLEY TPS,420,15,8.3,17,2,*,**,Less receipt-MCL Ib
,59 P.H.,TALCHER TPS($),470,15,6.7,139,21
,60 P.H.,TALCHER STPS($),3000,15,56.7,43,1,*,**,Linkage < Demand
JHARKHAND,61 RAIL PATRATU,840,20,5.7,10,2,*,**,Less receipt-CCL
,62 ROAD TENUGHAT,420,20,5.0,18,4,*,Less receipt-CCL
,63 RAIL BOKARO"B" (DVC),630,20,9.0,295,33
,64 RAIL CHANDRAPURA(DVC,750,20,6.0,166,28
WEST BENGAL 65 RAIL DURGAPUR (DVC),340,20,5.0,0,0,*,**,Less receipt-BCCL
,66 RAIL MEJIA,(DVC),1340,20,22.0,45,2,*,**,Unloading Constraint
,67 RAIL BAKRESHWAR,840,25,13.3,38,3,*,**,Less receipt-ECL
