,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON01-06-2009),Page 1 of 2
REGION/ MODE OF,NAME OF,CAPACITY NORMATI DAILY ACTUAL STOCK,CRITICAL REASONS FOR CRITICAL
 STATE TRANSPOR,THERMAL,(MW),VE,LINKA IN '000,IN,COAL STOCK,COAL STOCK
,T,POWER,STOCK,GE TONNES DAYS
,STATION,Reqd. IN '000,<7,<4

NORTHERN,(DAYS) TONN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,41,13
2,RAIL,RAJGHAT TPS,135,25,2.1,72,34
3,RAIL,BADARPUR TPS,705,30,13.4,73,5,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,110,25,1.9,22,12
5,RAIL,PANIPAT TPS,1360,25,24.2,132,5,*,inadiquate linkage
6,RAIL,YAMUNA NAGAR TPS,600,25,9.7,107,11
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920,30,14,60,4,*,less receipt -CCL
8,RAIL,GND TPS(BHATINDA),440,30,6.3,92,15
9,RAIL,ROPAR TPS,1260,30,20,133,7
RAJASTHAN
10,RAIL,KOTA TPS,1045,30,19.5,168,9
11,RAIL,SURATGARH TPS,1250,30,24.4,68,3,* **,Unloading Constraint
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630,15,25.8,188,7
13,RAIL,HARDUAGANJ B,225,25,2.9,9,3,* **,Inadequate linkage
14,RAIL,OBRA TPS,1362,20,14.5,152,10
15,RAIL,PANKI TPS,210,30,3.9,46,12
16,RAIL,PARICHHA TPS,640,30,11.3,7,1,* **,Less receipt-CCL BCCL
17,RAIL,DADRI (NCTPP),840,30,14.5,283,20
18,PITHEAD,RIHAND STPS,2000,15,34.5,598,17
19,PITHEAD,SINGRAULI STPS,2000,15,31,689,22
20,RAIL,TANDA TPS,440,25,8.1,189,23
21,RAIL,UNCHAHAR TPS,1050,25,19.4,320,16
TOTAL OF N.R.,18469.5,24 304.5,3449,8,6,3
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500,15,8.7,75,9
23,PITHEAD,KORBA-II,440,15,7.7,82,11
24,PITHEAD,KORBA-WEST TPS,840,15,11.9,100,8
25,PITHEAD,KORBA STPS,2100,15,31,61,2,* **,Inadequate linkage
26,RAIL,SIPAT STPS,1000,20,15.2,81,5,*,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870,30,12.3,28,2,*,**,Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240,30,4.2,21,5,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850,30,12.6,30,2,*,**,Less Receipt - SECL
30,RAIL,WANAKBORI TPS,1470,30,23.2,64,3,*,**,Inadequate linkage
31,RAIL,TORR POWER AEC,390,30,4.2,13,3,*,**,Inadequate linkage
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,450,15,5.7,37,6,*,Less Receipt
33,RAIL,SANJAY GANDHI TPS,1340,20,17.7,77,4,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,20.3,286,14
35,PITHEAD,VINDHYACHAL STPS,3260,15,50,741,15
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475,25,7.6,22,3,* **,Inadequate linkage
37,RAIL,CHANDRAPUR TPS,2340,20,34.5,235,7,Inadequate linkage
38,RAIL,KHAPARKHEDA TPS-,840,20,14.4,24,2,* **,Less Receipt
39,RAIL,KORADI TPS,1040,25,17.9,18,1,* **,Less Receipt -SECL MCL

40,RAIL,NASIK TPS,880,25,14,120,9
41,RAIL,PARLI TPS,920,25,16.6,109,7
42,RAIL,PARAS TPS,305,20,5.7,11,2,* **,Less Receipt
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-,Page 2 2
,06-2009)
REGION,MODE OF,NAME OF,CAPACITY NORMAT DAILY,ACTUAL,CRITICAL,of FOR
,REASONS
,/,TRANSPO,THERMAL,(MW),IVE,LINKA IN '000
,STOCKIN,COAL,CRITICAL COAL
 STATE,RT,POWER,STOCK,GE TONNE DAYS,STOCK
,<7,<4
,STATION,Reqd.,IN S
43,RAIL,DAHANU TPS,500,25,9.4,66,8
TOTAL OF W.R.,22192.5,21 344.8,2301,6 14,9
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260,25,19.8,173,9
45,RAIL,KOTHAGUDEM TPS,1180,20,19.4,303,16
46,ROAD,RAMAGUNDEM - B,62.5,20,0.8,24,30
47,RAIL,RAYALASEEMA TPS,840,25,15.3,89,6,*,Less Receipt
48,PITHEAD,RAMAGUNDEM STPS,2600,15,37.9,523,14
49,RAIL,SIMHADRI,1000,25,18.7,181,10
KARNATAKA
50,RAIL,RAICHUR TPS,1470,30,28,364,13
,BELLARY TPS,500,22,7.7,234,30
TAMIL NADU
51,INTER,ENNORE TPS,450,30,7.4,102,14
,MODAL
52,INTER,METTUR TPS,840,30,13.6,270,20
53,INTER,NORTH CHENNAI TPS,630,30,10.8,184,17
54,INTER,TUTICORIN TPS,1050,30,16.9,422,25
TOTAL OF S.R.,11882.5,24 196.3,2869,9,1,0
EASTERN
BIHAR
55,RAIL,BARAUNI TPS,320,20,0.7,3,4,*,Inadequate linkage
56,RAIL,MUZAFFARPUR TPS,220,20,1,0,0,* **,Less Receipt
57,PITHEAD,KAHALGAON TPS,1840,15,34.7,163,5,*,Less Receipt - ECL
JHARKHAND
58,RAIL,PATRATU TPS,840,20,4.5,10,2,* **,Less Receipt
59,ROAD,TENUGHAT TPS,420,20,5.5,47,9
60,RAIL,BOKARO `B` TPS,630,20,8.6,285,33
61,RAIL,CHANDRAPURA TPS,750,20,5.7,235,41
ORISSA
62,PITHEAD IB VALLEY TPS,420,15,8.6,150,17
63,PITHEAD TALCHER (OLD) TPS,470,15,8.1,144,18
64,PITHEAD TALCHER STPS,3000,15,58.1,25,0,* **,Inadequate linkage
WEST BENGAL
65,RAIL,DURGAPUR TPS,340,20,5.2,113,22
66,RAIL,MEJIA TPS,1340,20,21.9,0,0,* **,Unloading Constraint
67,RAIL,BAKRESWAR TPS,840,25,11.3,53,5,*,Less receipt
68,RAIL,BANDEL TPS,450,20,5.2,10,2,* **,Inadequate linkage
69,RAIL,D.P.L. TPS,695,20,9.7,17,2,* **,Less receipt
70,RAIL,KOLAGHAT TPS,1260,25,19.2,102,5,*,Less receipt
71,RAIL,SAGARDIGHI TPS,600,20,7.1,144,20,Unloading Constraint
72,RAIL,SANTALDIH TPS,730,20,7.4,97,13
73,RAIL,BUDGE BUDGE TPS,500,20,7.1,127,18
74,RAIL,NEW COSSIPORE TPS,160,20,1.3,11,8
75,RAIL,SOUTHERN REPL. TPS,135,25,2.3,25,11
76,RAIL,TITAGARH TPS,240,20,3.6,20,6,*,Inadequate linkage
77,RAIL,FARAKKA STPS,1600,15,33.9,320,9
