,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Jul-2009 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,32,11
2,RAIL,RAJGHAT TPS,135.0,25,2.1,64,30
3,RAIL,BADARPUR TPS,705.0,30,13.4,82,6,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,110.0,25,1.9,15,8
5,RAIL,PANIPAT TPS,1360.0,25,24.2,132,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR TPS,600.0,25,9.7,121,13
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,14.0,59,4,*,Less Receipt - CCL
8,RAIL,GND TPS(BHATINDA),440.0,30,6.3,81,13
9,RAIL,ROPAR TPS,1260.0,30,20.0,121,6,*,Less Receipt - CCL
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,19.5,65,3,*,** Less Receipt - SECL
11,RAIL,SURATGARH TPS,1250.0,30,24.4,114,5,*,Less Receipt - SECL
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,25.8,112,4,*,Inadequate linkage
13,RAIL,HARDUAGANJ,225.0,25,2.9,29,10
14,RAIL,OBRA TPS,1362.0,20,14.5,99,7
15,RAIL,PANKI TPS,210.0,30,3.9,52,14
16,RAIL,PARICHHA TPS,640.0,30,11.3,39,3,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,14.5,118,8
18,PITHEAD,RIHAND STPS,2000.0,15,34.5,493,14
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,715,23
20,RAIL,TANDA TPS,440.0,25,8.1,170,21
21,RAIL,UNCHAHAR TPS,1050.0,25,19.4,186,10
TOTAL OF N.R.,18469.5,24,304.5,2899,10,8,2
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,70,8
23,PITHEAD,KORBA-II,440.0,15,7.7,161,21
24,PITHEAD,KORBA-WEST TPS,840.0,15,11.9,112,9
25,PITHEAD,KORBA STPS,2100.0,15,31.0,185,6,*,Inadequate linkage
26,PITHEAD,SIPAT STPS,1000.0,20,15.2,90,6,*,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,12.3,68,6,*,Less Receipt - SECL
28,RAIL,SIKKA REP. TPS,240.0,30,4.2,26,6,*,Less Receipt - SECL
29,RAIL,UKAI TPS,850.0,30,12.6,96,8
30,RAIL,WANAKBORI TPS,1470.0,30,23.2,60,3,*,** Less Receipt - SECL
31,RAIL,TORR POWER AEC,390.0,30,4.2,37,9
MADHYA PRADESH
32,PITHEAD,AMARKANTAK EXT TPS,450.0,15,5.7,25,4,*,Less Receipt
33,RAIL,SANJAY GANDHI TPS,1340.0,20,17.7,63,4,*,Inadequate linkage
34,RAIL,SATPURA TPS,1142.5,20,20.3,482,24
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,50.0,755,15
MAHARASHTRA
36,RAIL,BHUSAWAL TPS,475.0,25,7.6,35,5,*,Inadequate linkage
37,RAIL,CHANDRAPUR(MAHAR,2340.0,20,34.5,323,9
,ASHTRA) STPS
38,RAIL,KHAPARKHEDA TPS- II,840.0,20,14.4,43,3,*,** Less Receipt
39,RAIL,KORADI TPS,1040.0,25,17.9,48,3,*,** Less Receipt -
,SECL MCL
40,RAIL,NASIK TPS,880.0,25,14.0,212,15
41,RAIL,PARLI TPS,920.0,25,14.6,142,10
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Jul-2009 ),Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

42,RAIL,PARAS TPS,305.0,20,5.7,3,0,*,** Less Receipt
43,RAIL,DAHANU TPS,500.0,25,9.4,76,8
TOTAL OF W.R.,22192.5,21,342.8,3112,9,11,4
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO TPS,1260.0,25,19.8,223,11
45,RAIL,KOTHAGUDEM TPS,1180.0,20,19.4,448,23
46,ROAD,RAMAGUNDEM - B TPS,62.5,20,0.8,27,33
47,RAIL,RAYALASEEMA TPS,840.0,25,15.3,106,7
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,37.9,624,16
49,RAIL,SIMHADRI,1000.0,25,18.7,178,10
KARNATAKA
50,RAIL,RAICHUR TPS,1470.0,30,28.0,272,10
51,RAIL,BELLARY TPS,500.0,22,7.7,200,26
TAMIL NADU
52,INTER MODAL,ENNORE TPS,450.0,30,7.4,102,14
53,INTER MODAL,METTUR TPS,840.0,30,13.6,251,18
54,INTER MODAL,NORTH CHENNAI TPS,630.0,30,10.1,125,12
55,INTER MODAL,TUTICORIN TPS,1050.0,30,16.9,469,28
TOTAL OF S.R.,11882.5,24,195.6,3025,15,0,0
EASTERN
BIHAR
56,RAIL,BARAUNI TPS,320.0,20,0.7,12,18
57,RAIL,MUZAFFARPUR TPS,220.0,20,1.0,0,0,*,** Less Receipt - ECL
58,PITHEAD,KAHALGAON TPS,1840.0,15,34.7,103,3,*,** Less Receipt - ECL
JHARKHAND
59,RAIL,PATRATU TPS,840.0,20,4.5,10,2,*,** Less Receipt - CCL
60,ROAD,TENUGHAT TPS,420.0,20,5.5,31,6,*,Inadequate linkage
61,RAIL,BOKARO `B` TPS,630.0,20,8.6,304,36
62,RAIL,CHANDRAPURA(DVC),750.0,20,5.7,282,50
,TPS
ORISSA
63,PITHEAD,IB VALLEY TPS,420.0,15,8.6,188,22
64,PITHEAD,TALCHER (OLD) TPS,470.0,15,8.1,155,19
65,PITHEAD,TALCHER STPS,3000.0,15,58.1,22,0,*,** Inadequate linkage
WEST BENGAL
66,RAIL,DURGAPUR TPS,340.0,20,5.2,121,23
67,RAIL,MEJIA TPS,1340.0,20,21.9,0,0,*,** Unloading Constraint
68,RAIL,BAKRESWAR TPS,1050.0,25,11.3,53,5,*,Less Receipt - ECL
69,RAIL,BANDEL TPS,450.0,20,5.2,23,4,*,Inadequate linkage
70,RAIL,D.P.L. TPS,695.0,20,9.7,65,7
71,RAIL,KOLAGHAT TPS,1260.0,25,19.2,96,5,*,Less Receipt
72,RAIL,SAGARDIGHI TPS,600.0,20,7.1,81,11
73,RAIL,SANTALDIH TPS,730.0,20,7.4,120,16
74,RAIL,BUDGE BUDGE TPS,500.0,20,7.1,119,17
75,RAIL,NEW COSSIPORE TPS,160.0,20,1.3,9,7
76,RAIL,SOUTHERN REPL. TPS,135.0,25,2.3,32,14
77,RAIL,TITAGARH TPS,240.0,20,3.6,9,2,*,** Inadequate linkage
78,PITHEAD,FARAKKA STPS,1600.0,15,33.9,142,4,*,Inadequate linkage
TOTAL OF E.R.,18010.0,18,270.7,1975,7,11,6
ALL INDIA TOTAL,70554.5,22,1114,11011,10,30,12

(*) Critical i.e. stock less than 7 days in,30,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,12,TPSs
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 02-Jul-2009 ),Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES,TONNES,DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P. T.P.S.,247.5,25,3.1,32,10
2,RAIL,RAJGHAT TPS,135.0,25,2.1,64,30
3,RAIL,BADARPUR TPS,705.0,30,13.4,81,6,*,Less Receipt - CCL
HARYANA
4,RAIL,FARIDABAD EXT.,110.0,25,1.9,14,7
5,RAIL,PANIPAT TPS,1360.0,25,24.2,128,5,*,Inadequate linkage
6,RAIL,YAMUNA NAGAR TPS,600.0,25,9.7,116,12
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),0.0,30,14.0,64,5,*,Less Receipt - CCL
8,RAIL,GND TPS(BHATINDA),440.0,30,6.3,75,12
9,RAIL,ROPAR TPS,1260.0,30,20.0,121,6,*,Less Receipt - CCL
RAJASTHAN
10,RAIL,KOTA TPS,1045.0,30,19.5,65,3,*,** Less Receipt - SECL
11,RAIL,SURATGARH TPS,1250.0,30,24.4,114,5,*,Less Receipt - SECL
UTTAR PRADESH
12,PITHEAD,ANPARA TPS,1630.0,15,25.8,115,4,*,Inadequate linkage
13,RAIL,HARDUAGANJ,225.0,25,2.9,28,10
14,RAIL,OBRA TPS,1362.0,20,14.5,98,7
15,RAIL,PANKI TPS,210.0,30,3.9,54,14
16,RAIL,PARICHHA TPS,640.0,30,11.3,38,3,*,** Less receipt-CCL BCCL

17,RAIL,DADRI (NCTPP),840.0,30,14.5,119,8
18,PITHEAD,RIHAND STPS,2000.0,15,34.5,492,14
19,PITHEAD,SINGRAULI STPS,2000.0,15,31.0,722,23
20,RAIL,TANDA TPS,440.0,25,8.1,171,21
21,RAIL,UNCHAHAR TPS,1050.0,25,19.4,189,10
TOTAL OF N.R.,17549.5,24,304.5,2898,10,8,2
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,8.7,71,8
23,PITHEAD,KORBA-II,440.0,15,7.7,155,20
24,PITHEAD,KORBA-WEST TPS,840.0,15,11.9,115,10
25,PITHEAD,KORBA STPS,2100.0,15,31.0,180,6,*,Inadequate linkage
26,PITHEAD,SIPAT STPS,1000.0,20,15.2,84,6,*,Less Receipt - SECL
GUJARAT
27,RAIL,GANDHI NAGAR TPS,870.0,30,12.3,77,6,*,Less Receipt - SECL
