,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION
,DAILY COAL REPORT
,Figures in 000 tonnes
COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 01-Jun-2011 )
,Page 1 of2

,REGION/,MODE OF,NAME OF,CAPACITY,NORMA,COAL,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,REQUIRE,CRITICAL COAL
,POWER,STOCK,MENT,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,IN '000,TONNES,DAYS
,(DAYS),TONNES,<7,<4

NORTHERN
DELHI
1,RAIL,RAJGHAT TPS,135.0,20,2.5,7,3,*,**,Less Receipt
2,RAIL,BADARPUR TPS,705.0,30,12.7,150,12
HARYANA
3,RAIL,PANIPAT TPS,1360.0,25,21.7,280,13
4,RAIL,YAMUNA NAGAR TPS,600.0,25,8.1,241,30
5,RAIL,RAJIV GANDHI TPS,1200.0,25,15.6,172,11
6,RAIL,INDIRA GANDHI STPP,500.0,25,6.9,215,31
PUNJAB
7,RAIL,GH TPS (LEH.MOH.),920.0,30,13.0,357,27
8,RAIL,ROPAR TPS,1260.0,25,20.2,497,25
9,RAIL,GND TPS(BHATINDA),440.0,30,5.2,194,37
RAJASTHAN
10,RAIL,KOTA TPS,1240.0,30,18.6,162,9
11,RAIL,SURATGARH TPS,1500.0,30,20.8,262,13
12,RAIL,CHHABRA TPP,500.0,30,6.4,117,18
UTTAR PRADESH
13,PITHEAD,ANPARA TPS,1630.0,15,25.4,265,10
14,RAIL,HARDUAGANJ TPS,220.0,25,2.8,95,34
15,RAIL,OBRA TPS,1372.0,20,13.9,219,16
16,RAIL,PANKI TPS,210.0,30,3.5,95,27
17,RAIL,PARICHHA TPS,640.0,30,9.2,235,25
18,RAIL,DADRI (NCTPP),1820.0,30,26.6,120,5,*,Less Receipt - CCL
19,PITHEAD,RIHAND STPS,2000.0,15,32.1,630,20
20,PITHEAD,SINGRAULI STPS,2000.0,15,32.6,620,19
21,RAIL,TANDA TPS,440.0,25,7.8,333,43
22,RAIL,UNCHAHAR TPS,1050.0,25,17.6,481,27
23,RAIL,ROSA TPP Ph-I,600.0,25,8.7,68,8
TOTAL OF N.R.,22342.0,24,331.9,5814,18,2,1
WESTERN
CHHATTISGARH
24,RAIL,DSPM TPS,500.0,15,8.7,86,10
25,PITHEAD,KORBA-II,440.0,15,8.7,176,20
26,PITHEAD,KORBA-WEST TPS,840.0,15,14.4,369,26
27,PITHEAD,KORBA STPS,2600.0,15,37.6,634,17
28,PITHEAD,SIPAT STPS,1000.0,20,17.3,611,35
29,RAIL,PATHADI TPP,600.0,15,8.7,5,1,*,**,Less Availability of Coal

30,RAIL,BHILAI TPS,500.0,25,7.8,0,0,*,**,Less Receipt
GUJARAT
31,RAIL,GANDHI NAGAR TPS,870.0,30,14.2,20,1,*,**,No import
32,RAIL,UKAI TPS,850.0,30,12.1,42,3,*,**,Less import
33,RAIL,SIKKA REP. TPS,240.0,30,3.8,21,6,*,Less Receipt
34,RAIL,WANAKBORI TPS,1470.0,30,22.5,159,7
35,RAIL,SABARMATI (C,400.0,30,6.4,25,4,*,Less Receipt
,STATION)
MADHYA PRADESH
36,PITHEAD,AMARKANTAK EXT TPS,450.0,15,5.2,113,22
37,RAIL,SANJAY GANDHI TPS,1340.0,20,18.5,41,2,*,**,No import
38,RAIL,SATPURA TPS,1142.5,20,17.9,81,5,*,Less Receipt
39,PITHEAD,VINDHYACHAL STPS,3260.0,15,54.0,584,11
MAHARASHTRA
40,RAIL,BHUSAWAL TPS,470.0,20,7.5,267,36
41,RAIL,CHANDRAPUR(MAHAR,2340.0,20,39.0,420,11
,ASHTRA) STPS
42,RAIL,KHAPARKHEDA TPS- II,840.0,25,15.6,58,4,*,Less Receipt
,Page 2 of2

 REGION/,MODE OF,NAME OF,CAPACITY,NORMA,COAL,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),TIVE,REQUIRE,CRITICAL COAL
,POWER,STOCK,MENT,IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,IN '000,TONNES,DAYS
,(DAYS),TONNES,<7,<4

43,RAIL,KORADI TPS,1040.0,25,13.9,287,21
44,RAIL,NASIK TPS,880.0,25,13.6,143,11
45,RAIL,PARLI TPS,1170.0,25,16.7,39,2,*,**,Less Receipt
46,RAIL,PARAS TPS,555.0,25,7.5,97,13
47,RAIL,DAHANU TPS,500.0,25,9.2,13,1,*,**,Less Receipt - SECL
48,RAIL,WARDHA WARORA,540.0,20,6.6,69,10
TOTAL OF W.R.,24837.5,21,387.4,4360,11,11,7
SOUTHERN
ANDHRA PRADESH
49,RAIL,Dr. N.TATA RAO TPS,1760.0,20,26.0,72,3,*,**,Less Receipt
50,RAIL,KOTHAGUDEM TPS,1220.0,20,18.9,102,5,*,Less Receipt
51,ROAD,RAMAGUNDEM - B TPS,62.5,20,1.0,8,8
52,RAIL,RAYALASEEMA TPS,1050.0,25,16.5,18,1,*,**,Less Receipt
53,PITHEAD,RAMAGUNDEM STPS,2600.0,15,38.1,285,7
54,RAIL,SIMHADRI,1500.0,25,23.1,208,9
55,PITHEAD,KAKATIYA TPS,500.0,15,5.8,116,20
