,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,01-Sep-,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.0,24.635,7
2,RAIL,RAJGHAT,135.0,25,2.0,17.91,8
3,RAIL,BADARPUR,705.0,30,13.0,21.852,2,*,**
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,3.0,42.94,16
5,RAIL,PANIPAT,1360.0,25,25.0,71.943,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,10.0,26.216,3,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,12.0,48.487,4,*
8,RAIL,GNDTP(BHATINDA),440.0,30,7.0,41.947,6,*
9,RAIL,ROPAR,1260.0,30,20.0,205.85,10
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.0,180.707,9
11,RAIL,SURATGARH,1250.0,30,20.0,150.722,7
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,20.408,1,*,**
13,RAIL,HARDUAGANJ B,225.0,25,3.0,35.85,12
14,RAIL,OBRA,1482.0,20,13.0,54.992,4,*
15,RAIL,PANKI,210.0,30,3.0,20.006,6,*
16,RAIL,PARICHHA,640.0,30,10.0,124.332,12
17,RAIL,DADRI (NCTPP),840.0,30,13.0,62.503,5,*
18,PITHEAD,RIHAND STPS,2000.0,15,30.0,88.961,3,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,30.0,101.507,3,*,**
20,RAIL,TANDA,440.0,25,6.0,13.571,2,*,**
21,RAIL,UNCHAHAR,1050.0,25,20.0,37.101,2,*,**
TOTAL OF THE REGION,18659.5,24,288.0,1392,5,13,8
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.0,51.607,6,*
23,PITHEAD,KORBA-II,440.0,15,8.0,80.173,10
24,PITHEAD,KORBA-WEST,840.0,15,12.0,307.034,26
25,PITHEAD,KORBA STPS,2100.0,15,29.0,604.04,21
26,RAIL,SIPAT STPS,1000.0,20,7.0,127.95,18
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,13.0,121.598,10
28,RAIL,SIKKA REP.,240.0,30,3.0,67.451,20
29,RAIL,UKAI,850.0,30,10.0,127.249,13
30,RAIL,WANAKBORI,1470.0,30,23.0,267.335,11
31,RAIL,TORR POWER AEC,390.0,30,6.0,20.032,4,*
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,6.0,75.267,13
33,RAIL,SANJAY GANDHI,1340.0,20,22.0,101.73,5,*
34,PITHEAD,SATPURA,1142.5,20,22.0,152.733,7
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,47.0,78.153,2,*,**
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.0,67.424,9
37,RAIL,CHANDRAPUR,2340.0,20,38.0,185.485,5,*
38,RAIL,KHAPARKHEDA II,840.0,20,17.0,59.981,4,*
39,RAIL,KORADI,1040.0,25,17.0,142.617,8
40,RAIL,NASIK,880.0,25,13.0,30.81,2,*,**
41,RAIL,PARLI,920.0,25,15.0,82.161,5,*
42,RAIL,PARAS,305.0,20,6.0,97.612,16
,Page 2 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,01-Sep-,)
 REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

43,RAIL,DAHANU,500.0,25,10.0,59.253,6,*
TOTAL OF THE REGION,22252.5,21,340.0,2908,9,9,2
SOUTHERN
ANDHRA PRADESH
44,RAIL,Dr. N.TATA RAO,1260.0,25,20.0,22.129,1,*,**
45,RAIL,KOTHAGUDEM,1180.0,20,14.0,90.74,7
46,ROAD,RAMAGUNDEM - B,62.5,20,1.0,22.036,26
47,RAIL,RAYALASEEMA,840.0,25,13.0,7.18,1,*,**
48,PITHEAD,RAMAGUNDEM STPS,2600.0,15,39.0,72.867,2,*,**
49,RAIL,SIMHADRI,1000.0,25,17.0,59.576,4,*
KARNATAKA
50,RAIL,RAICHUR,1470.0,30,28.0,98.727,3,*,**
TAMIL NADU
51,INTER MODAL,ENNORE,450.0,30,7.0,56.372,8
52,INTER MODAL,METTUR,840.0,30,14.0,129.071,9
53,INTER MODAL,NORTH CHENNAI,630.0,30,10.0,65.253,6,*
54,INTER MODAL,TUTICORIN,1050.0,30,18.0,123.043,7
TOTAL OF THE REGION,11382.5,25,181.0,747,4,6,4
EASTERN
BIHAR
55,RAIL,BARAUNI,320.0,20,1.0,18.195,16
56,RAIL,MUZAFFARPUR,220.0,20,1.0,26.856,27
57,PITHEAD,KAHALGAON,1840.0,15,29.0,62.546,2,*,**
ORISSA
58,PITHEAD,IB VALLEY,420.0,15,8.0,50.084,6,*
59,PITHEAD,TALCHER,470.0,15,7.0,84.691,13
60,PITHEAD,TALCHER STPS,3000.0,15,57.0,-3.087,0,*,**
JHARKHAND
61,RAIL,PATRATU,840.0,20,6.0,14.141,2,*,**
62,ROAD,TENUGHAT,420.0,20,5.0,0,0,*,**
63,RAIL,BOKARO B,630.0,20,9.0,295.098,33
64,RAIL,CHANDRAPURA,750.0,20,6.0,141.628,24
WEST BENGAL
65,RAIL,DURGAPUR,340.0,20,5.0,0,0,*,**
66,RAIL,MEJIA,1340.0,20,22.0,28.688,1,*,**
67,RAIL,BAKRESWAR,840.0,25,13.0,97.458,7
68,RAIL,BANDEL,450.0,20,5.0,5.319,1,*,**
69,RAIL,D.P.L.,695.0,20,11.0,22.808,2,*,**
70,RAIL,KOLAGHAT,1260.0,25,19.0,27.812,1,*,**
71,RAIL,SAGARDIGHI TPP,600.0,20,7.0,37.261,6,*
72,RAIL,SANTALDIH,730.0,20,8.0,31.071,4,*
73,RAIL,BUDGE BUDGE,500.0,20,7.0,42.805,6,*
74,RAIL,NEWCOSSIPORE,160.0,20,1.0,1.577,1,*,**
75,RAIL,SOUTHERN REPL.,135.0,25,2.0,14.42,6,*
76,RAIL,TITAGARH,240.0,20,4.0,5.117,1,*,**
77,PITHEAD,FARAKKA STPS,1600.0,15,28.0,22.199,1,*,**
TOTAL OF THE REGION,17800.0,18,261.0,1027,4,17,12
ALL INDIA TOTAL,70094.5,22,1070,6074,6,45,26

(*) Critical i.e. stock less than 7 days in,45,TPSs,{Includes super critical also}
(**) Super Critical i.e. stock less than 4 days in,26,TPSs
,2
,CENTRAL ELECTRICITY AUTHORITY
,OPERATION MONITORING DIVISION

,***,DAILY COAL REPORT
,Page 1 of2
,COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS,02-Sep-,)
,REGION/,MODE OF,NAME OF,CAPACITY NORMATIV,DAILY,ACTUAL STOCK,CRITICAL,REASONS FOR
,STATE,TRANSPORT,THERMAL,(MW),E,LINKAGE,CRITICAL COAL
,POWER,STOCK,IN '000 IN,000,IN,COAL STOCK,STOCK
,STATION,Reqd.,TONNES TONNES DAYS
,(DAYS),<7,<4

NORTHERN
DELHI
1,RAIL,I.P.STATION,247.5,25,3.0,23.975,7
2,RAIL,RAJGHAT,135.0,25,2.0,17.74,8
3,RAIL,BADARPUR,705.0,30,13.0,18.169,1,*,**
HARYANA
4,RAIL,FARIDABAD EXT.,180.0,25,3.0,42.94,16
5,RAIL,PANIPAT,1360.0,25,25.0,65.37,3,*,**
6,RAIL,YAMUNA NAGAR TP,600.0,25,10.0,23.495,2,*,**
PUNJAB
7,RAIL,GHTP (LEH.MOH.),920.0,30,12.0,50.628,4,*
8,RAIL,GNDTP(BHATINDA),440.0,30,7.0,42.289,6,*
9,RAIL,ROPAR,1260.0,30,20.0,204.282,10
RAJASTHAN
10,RAIL,KOTA,1045.0,30,20.0,171.006,9
11,RAIL,SURATGARH,1250.0,30,20.0,146.615,7
UTTAR PRADESH
12,PITHEAD,ANPARA,1630.0,15,25.0,20.188,1,*,**
13,RAIL,HARDUAGANJ B,225.0,25,3.0,36.868,12
14,RAIL,OBRA,1482.0,20,13.0,56.514,4,*
15,RAIL,PANKI,210.0,30,3.0,21.19,6,*
16,RAIL,PARICHHA,640.0,30,10.0,127.313,12
17,RAIL,DADRI (NCTPP),840.0,30,13.0,74.414,6,*
18,PITHEAD,RIHAND STPS,2000.0,15,30.0,86.311,3,*,**
19,PITHEAD,SINGRAULI STPS,2000.0,15,30.0,105.472,4,*
20,RAIL,TANDA,440.0,25,6.0,12.614,2,*,**
21,RAIL,UNCHAHAR,1050.0,25,20.0,37.739,2,*,**
TOTAL OF THE REGION,18659.5,24,288.0,1385,5,13,7
WESTERN
CHHATTISGARH
22,RAIL,KORBA EAST V,500.0,15,9.0,52.935,6,*
23,PITHEAD,KORBA-II,440.0,15,8.0,75.994,9
24,PITHEAD,KORBA-WEST,840.0,15,12.0,305.911,26
25,PITHEAD,KORBA STPS,2100.0,15,29.0,602.696,21
26,RAIL,SIPAT STPS,1000.0,20,7.0,127.888,18
GUJARAT
27,RAIL,GANDHI NAGAR,870.0,30,13.0,121.598,10
28,RAIL,SIKKA REP.,240.0,30,3.0,67.451,20
29,RAIL,UKAI,850.0,30,10.0,127.249,13
30,RAIL,WANAKBORI,1470.0,30,23.0,267.335,11
31,RAIL,TORR POWER AEC,390.0,30,6.0,21.427,4,*
MADHYA PRADESH
32,PITHEAD,AMAR KANTAK,510.0,15,6.0,74.592,13
33,RAIL,SANJAY GANDHI,1340.0,20,22.0,104.717,5,*
34,PITHEAD,SATPURA,1142.5,20,22.0,150.749,7
35,PITHEAD,VINDHYACHAL STPS,3260.0,15,47.0,76.745,2,*,**
MAHARASHTRA
36,RAIL,BHUSAWAL,475.0,25,7.0,67.424,9
37,RAIL,CHANDRAPUR,2340.0,20,38.0,185.485,5,*
38,RAIL,KHAPARKHEDA II,840.0,20,17.0,59.981,4,*
39,RAIL,KORADI,1040.0,25,17.0,142.617,8
