,"DAILY REPORT OF HYDRO RESERVOIRS FOR","01-Apr-2008",1,,,,,,,,,,,,,,
,"FULL","PRESENT","RESERVIOR","MIN. DRAW","ANNUAL","ENERGY ENERGY","EFF.","EFF. CAP","COMMULATIVE",,,,,,,,
,"RESERVOIR","RESERVOIR","LEVEL ON","DOWN","DESIGN","CONTANT CONTANT","CAP.","AT","ENERGY",,,,,,,,
,"LEVEL","LEVEL","THE SAME","LEVEL","POTEN-","AT","AT","AT","PRESENT","GEN. FROM",,,,,,,
,"RESERVOIR","STATE",,,,,,,,,,,,,,,
,"DAY LAST","TIAL","F.R.L. PRESENT","F.R.L.","LEVEL","1ST. OF",,,,,,,,,,,
,"YEAR","LEVEL","THE MONTH",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"M","FT","M","FT","M","FT","M","FT","MU","MU","MU","MCM","MAFT","MCM","MAFT",,
"PONG","PUNJAB",426.72,1400,393.61,1291.37,411.02,1348.49,384.05,1260.01,1123,1084,93.92,6946,5.63,782.36,0.63,0
,,,,,,,,,,,,,,,,,
"RANJIT SAGAR","PUNJAB",527.91,1731.99,496.51,1628.97,511.78,1679.07,487.91,1600.75,1507,390.3,67.84,7199.17,5.84,331.52,0.27,0
,,,,,,,,,,,,,,,,,
"BHAKRA","PUNJAB",513.59,1685.01,463.3,1520.01,484.53,1589.67,445.62,1462.01,5282,1728.8,174.74,6516.07,5.28,830.25,0.67,0.21
,,,,,,,,,,,,,,,,,
"R.P. SAGAR","RAJASTHAN",352.81,1157.51,351.2,1152.22,352.44,1156.3,343.81,1127.99,459,175.66,134.95,1568.98,1.27,1256.1,1.02,0
,,,,,,,,,,,,,,,,,
"RIHAND","UTTAR PRADESH",268.22,879.99,256.12,840.3,256.25,840.72,252.98,829.99,920,860.5,121.25,5845.5,4.74,884.62,0.72,0
,,,,,,,,,,,,,,,,,
"RAM GANGA","UTTARAKHAND",366,1200.79,343.36,1126.51,334.91,1098.79,323,1059.71,164,480.8,131.29,2109.25,1.71,758.06,0.61,0
,,,,,,,,,,,,,,,,,
"TEHRI","UTTARAKHAND",829.79,2722.41,757.75,2486.06,744.15,2441.44,740.04,2427.95,309,1291.49,127.49,2615,2.12,341.67,0.28,1.28
,,,,,,,,,,,,,,,,,
"UKAI","GUJARAT",105.16,345.01,97.92,321.25,97.75,320.7,82.3,270.01,1080,813.08,395.51,6619.15,5.37,3644.93,2.95,0.73
,,,,,,,,,,,,,,,,,
"SARDAR SAROVAR","GUJARAT",138.68,454.99,119.44,391.86,117.15,384.35,110.84,363.65,5469,1817.55,295.67,5760,4.67,1138.07,0.92,0
,,,,,,,,,,,,,,,,,
"GANDHI SAGAR","MADHYA PRADESH",399.9,1312.01,387.13,1270.1,392.7,1288.39,381,1250,420.48,725,108.7,6911.19,5.6,1242.12,1.01,0
,,,,,,,,,,,,,,,,,
"INDIRA SAGAR","MADHYA PRADESH",262.14,860.04,247.9,813.32,248.47,815.19,243.24,798.03,2628,1316.12,159.04,9706,7.87,1263.85,1.02,0
,,,,,,,,,,,,,,,,,
"BHIRA","MAHARASHTRA",606.03,1988.29,598.12,1962.34,595.85,1954.89,590.09,1935.99,790,618.8,274.11,522.76,0.42,231.57,0.19,0
,,,,,,,,,,,,,,,,,
"KOYNA","MAHARASHTRA",657.91,2158.5,646.66,2121.6,642.77,2108.83,609.6,2000,3130,3126.1,1893.8,2677.14,2.17,1606.8,1.3,0
,,,,,,,,,,,,,,,,,
"SRISAILAM","ANDHRA PRADESH",269.75,885.01,262.46,861.09,253.01,830.09,243.84,800,4300,1391.84,706.33,7105.96,5.76,3636.58,2.95,0
,,,,,,,,,,,,,,,,,
"NAGARJUN SAGAR","ANDHRA PRADESH",179.83,589.99,157.22,515.81,160.38,526.18,150.88,495.01,2237,1398.13,209.59,6537.8,5.3,1140.32,0.92,0
,,,,,,,,,,,,,,,,,
"MACHKUND","ANDHRA PRADESH",838.2,2750,836.52,2744.49,830.88,2725.98,513.59,1685.01,670,551.6,468.47,892.55,0.72,758.04,0.61,0
,,,,,,,,,,,,,,,,,
"KALINDI SUPA","KARNATAKA",563.88,1850,539.06,1768.57,539.76,1770.87,513.52,1684.78,542,2885,"1024.81 133260.00",108.04,47131.9,38.21,1.3,
,,,,,,,,,,,,,,,,,
"ALMATTI","KARNATAKA",519.62,1704.79,508.8,1669.29,508.95,1669.78,505.97,1660.01,483,175.35,7.67,2631.5,2.13,142.63,0.12,0
,,,,,,,,,,,,,,,,,
"SHARAVATHY","KARNATAKA",554.43,1819,543.87,1784.35,542.73,1780.61,522.73,1714.99,5564,4557.03,1869.6,4297.08,3.48,1762.95,1.43,0
,,,,,,,,,,,,,,,,,
"SABRIGRI","KERALA",981.46,3220.01,966.75,3171.75,960.93,3152.66,908.3,2979.99,1338,764,407.05,446.26,0.36,252.83,0.2,0
,,,,,,,,,,,,,,,,,
"MADUPATTY","KERALA",1599.38,5247.31,1593.25,5227.2,1587.8,5209.32,1554.48,5100,6.4,77.4,54.73,55.32,0.04,38.81,0.03,0
,,,,,,,,,,,,,,,,,
