,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Oct-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

METTUR,TAMIL NADU,240.79,789.99,234.57,769.59,229.05,751.48,211.23,693.01,790.00,204.00,122.76,2504.70,2.03,1676.57,1.36,54.74


PERIYAR,TAMIL NADU,46.33,152.00,36.48,119.69,36.91,121.10,33.53,110.01,409.00,216.00,38.74,273.51,0.22,47.01,0.04,142.11


BALIMELA,ORISSA,462.08,1516.01,446.47,1464.80,450.28,1477.30,438.91,1439.99,1183.00,897.75,198.93,2675.96,2.17,592.96,0.48,551.41


HIRAKUD,ORISSA,192.02,629.99,189.90,623.02,191.85,629.43,179.83,589.99,1174.00,372.28,253.84,4709.43,3.82,3405.30,2.76,464.29


INDRAVATI,ORISSA,641.84,2105.77,637.90,2092.85,640.85,2102.53,625.00,2050.52,1962.00,1213.13,383.80,1485.50,1.20,1044.56,0.85,864.23


RENGALI,ORISSA,123.44,404.99,119.98,393.64,123.44,404.99,109.72,359.97,525.00,275.00,154.81,3167.81,2.57,1971.89,1.60,398.84


UPPER KOLAB,ORISSA,857.78,2814.24,849.81,2788.09,853.15,2799.05,843.78,2768.31,832.00,540.00,141.11,935.00,0.76,283.26,0.23,277.19


LOKTAK,MANIPUR,768.50,2521.33,768.46,2521.19,768.5,2521.33,766.01,2513.16,450.00,250.00,250.00,0.00,0.00,125.41


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Oct-2009,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,499.66,1639.32,511.85,1679.30,445.62,1462.01,5282.00,1728.80,1096.05,6516.07,5.28,4381.18,3.55,2537.51


PONG,PUNJAB,426.72,1400.00,407.86,1338.13,423.56,1389.63,384.05,1260.01,1123.00,1084.00,375.87,6946.00,5.63,2774.00,2.25,514.73


RANJIT SAGAR,PUNJAB,527.91,1731.99,498.22,1634.58,514.34,1687.47,487.91,1600.75,1507.00,390.30,83.92,7199.17,5.84,396.65,0.32,800.68


R.P. SAGAR,RAJASTHAN,352.81,1157.51,348.39,1143.01,352.68,1157.09,343.81,1127.99,459.00,175.66,77.80,1568.98,1.27,768.97,0.62,3.96


RIHAND,UTTAR PRADESH,268.22,879.99,259.17,850.30,262.01,859.61,252.98,829.99,920.00,860.50,260.38,5845.50,4.74,1961.49,1.59,216.26


RAM GANGA,UTTARAKHAND,366.00,1200.79,337.79,1108.22,355.83,1167.42,323.00,1059.71,164.00,480.80,79.60,2109.25,1.71,485.59,0.39,96.10


TEHRI,UTTARAKHAND,829.79,2722.41,820.00,2690.29,819.2,2687.66,740.04,2427.95,309.00,1291.49,1061.74,2615.00,2.12,2225.10,1.80,874.40


SARDAR SAROVAR,GUJARAT,138.68,454.99,120.00,393.70,120.86,396.52,110.84,363.65,5469.00,1817.55,318.93,5760.00,4.67,1218.06,0.99,1080.29


UKAI,GUJARAT,105.16,345.01,98.84,324.28,102.11,335.01,82.30,270.01,1080.00,813.08,431.63,6619.15,5.37,3985.95,3.23,168.54


GANDHI SAGAR,MADHYA PRADESH,399.90,1312.01,388.06,1273.16,387.21,1270.37,381.00,1250.00,420.48,725.00,132.28,6911.19,5.60,1499.17,1.22,39.54


INDIRA SAGAR,MADHYA PRADESH,262.14,860.04,259.38,850.98,255.32,837.66,243.24,798.03,2628.00,1316.12,976.78,9706.00,7.87,7261.90,5.89,911.98


BHIRA,MAHARASHTRA,606.03,1988.29,604.81,1984.28,606.02,1988.25,590.09,1935.99,790.00,618.80,560.07,522.76,0.42,473.15,0.38,184.48


