,DAILY REPORT OF HYDRO RESERVOIRS FOR,01-Apr-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

PERIYAR,TAMIL NADU,46.33,152.00,33.53,110.01,33.53,110.01,33.53,110.01,409.00,216.00,273.51,0.22,0.03,0.00,0.00


BALIMELA,ORISSA,462.08,1516.01,446.96,1466.40,441.32,1447.90,438.91,1439.99,1183.00,897.75,214.34,2675.96,2.17,638.89,0.52,2.05


HIRAKUD,ORISSA,192.02,629.99,186.83,612.95,185.17,607.51,179.83,589.99,1174.00,372.28,134.73,4709.43,3.82,1915.54,1.55,1.20


INDRAVATI,ORISSA,641.84,2105.77,633.71,2079.10,629.86,2066.47,625.00,2050.52,1962.00,1213.13,247.32,1485.50,1.20,653.22,0.53,7.43


RENGALI,ORISSA,123.44,404.99,117.20,384.51,114.53,375.75,109.72,359.97,525.00,275.00,98.83,3167.81,2.57,1243.19,1.01,1.18


UPPER KOLAB,ORISSA,857.78,2814.24,848.23,2782.91,857.78,2814.24,843.78,2768.31,832.00,540.00,100.92,935.00,0.76,217.30,0.18,0.73


LOKTAK,MANIPUR,768.50,2521.33,767.41,2517.75,768.5,2521.33,766.01,2513.16,450.00,250.00,57.31,0.00,0.00,0.73


** BHAKRA - POTENTIAL OF 5282 MU INCLUDES THOSE OF GANGWAL AND KOTLA STATIONS AND CORRESPONDS TO A DRY YEAR. THE POTENTIAL FOR A DEPENDABLE YEAR IS 6057 MU.
*** INCLUDES GANGUWAL & KOTLA.
$ UKAI - THE POTENTIAL FOR DEPENDABLE YEAR DURING THE INITIAL YEAR IS 1080 MU AND WOULD REDUCE TO 605 MU AS AND WHEN UPSTREAM IRRIGATION DEVELOPS.
$$ ENERGY CONTENT AT GANDHI SAGAR INCLUDES FOR GENERATION AT R.P.SAGAR AND JAWAHAR SAGAR.
@ KOYNA - POTENTIAL OF 3523 MU IS CORRESPONDING TO 87 TMC OF WATER AVAILABLE FOR POWER GENERATION AS PER KRISHNA WATER DISPUTE TRIBUNAL AWARD FOR KOYNA I,II,III & IV.
* RANJIT SAGAR - ENERGY CONTENT AT F.R.L. WORKED OUT CONSIDERING NIL INFLOW IN THE RESERVIOR.
,DAILY REPORT OF HYDRO RESERVOIRS FOR,02-Apr-2010,1
,FULL,PRESENT,RESERVIOR,MIN. DRAW,ANNUAL,ENERGY ENERGY,EFF.,EFF. CAP,CUMMULATIVE
,RESERVOIR,RESERVOIR,LEVEL ON,DOWN,DESIGN,CONTENT CONTENT,CAP.,AT,ENERGY
,RESERVOIR,STATE,LEVEL,LEVEL,THE SAME,LEVEL,POTEN-,AT,AT,AT,PRESENT,GEN. FROM
,DAY LAST,TIAL,F.R.L. PRESENT,F.R.L.,LEVEL,1ST. OF
,YEAR,LEVEL,THE MONTH

,M,FT,M,FT,M,FT,M,FT,MU,MU,MU,MCM,MAFT,MCM,MAFT

BHAKRA,PUNJAB,513.59,1685.01,462.53,1517.48,479.23,1572.28,445.62,1462.01,5282.00,1728.80,165.83,6516.07,5.28,791.09,0.64,9.99


PONG,PUNJAB,426.72,1400.00,395.46,1297.44,404.45,1326.94,384.05,1260.01,1123.00,1084.00,120.45,6946.00,5.63,982.48,0.80,0.64


RANJIT SAGAR,PUNJAB,527.91,1731.99,497.67,1632.78,496.32,1628.35,487.91,1600.75,1507.00,390.30,78.75,7199.17,5.84,375.70,0.30,5.84


R.P. SAGAR,RAJASTHAN,352.81,1157.51,345.90,1134.85,345.16,1132.41,343.81,1127.99,459.00,175.66,32.89,1568.98,1.27,410.25,0.33,0.00


RIHAND,UTTAR PRADESH,268.22,879.99,255.54,838.40,257.68,845.41,252.98,829.99,920.00,860.50,97.90,5845.50,4.74,711.85,0.58,3.35


RAM GANGA,UTTARAKHAND,366.00,1200.79,328.11,1076.48,339.55,1114.01,323.00,1059.71,164.00,480.80,20.58,2109.25,1.71,139.92,0.11,0.00


TEHRI,UTTARAKHAND,829.79,2722.41,763.20,2503.94,777.6,2551.18,740.04,2427.95,309.00,1291.49,177.84,2615.00,2.12,465.26,0.38,12.37


