"","Date","Forecast"
"1",2015-01-01,1101.98107891266
"2",2015-01-02,1103.5271760389
"3",2015-01-03,1105.07327316513
"4",2015-01-04,1106.61937029136
"5",2015-01-05,1108.1654674176
"6",2015-01-06,1109.71156454383
"7",2015-01-07,1111.25766167007
"8",2015-01-08,1112.8037587963
"9",2015-01-09,1114.34985592254
"10",2015-01-10,1115.89595304877
"11",2015-01-11,1117.44205017501
"12",2015-01-12,1118.98814730124
"13",2015-01-13,1120.53424442747
"14",2015-01-14,1122.08034155371
"15",2015-01-15,1123.62643867994
"16",2015-01-16,1125.17253580618
"17",2015-01-17,1126.71863293241
"18",2015-01-18,1128.26473005865
"19",2015-01-19,1129.81082718488
"20",2015-01-20,1131.35692431112
"21",2015-01-21,1132.90302143735
"22",2015-01-22,1134.44911856359
"23",2015-01-23,1135.99521568982
"24",2015-01-24,1137.54131281605
"25",2015-01-25,1139.08740994229
"26",2015-01-26,1140.63350706852
"27",2015-01-27,1142.17960419476
"28",2015-01-28,1143.72570132099
"29",2015-01-29,1145.27179844723
"30",2015-01-30,1146.81789557346
"31",2015-01-31,1148.3639926997
"32",2015-02-01,1149.91008982593
"33",2015-02-02,1151.45618695217
"34",2015-02-03,1153.0022840784
"35",2015-02-04,1154.54838120464
"36",2015-02-05,1156.09447833087
"37",2015-02-06,1157.6405754571
"38",2015-02-07,1159.18667258334
"39",2015-02-08,1160.73276970957
"40",2015-02-09,1162.27886683581
"41",2015-02-10,1163.82496396204
"42",2015-02-11,1165.37106108828
"43",2015-02-12,1166.91715821451
"44",2015-02-13,1168.46325534075
"45",2015-02-14,1170.00935246698
"46",2015-02-15,1171.55544959321
"47",2015-02-16,1173.10154671945
"48",2015-02-17,1174.64764384568
"49",2015-02-18,1176.19374097192
"50",2015-02-19,1177.73983809815
"51",2015-02-20,1179.28593522439
"52",2015-02-21,1180.83203235062
"53",2015-02-22,1182.37812947686
"54",2015-02-23,1183.92422660309
"55",2015-02-24,1185.47032372933
"56",2015-02-25,1187.01642085556
"57",2015-02-26,1188.56251798179
"58",2015-02-27,1190.10861510803
"59",2015-02-28,1191.65471223426
"60",2015-03-01,1193.2008093605
"61",2015-03-02,1194.74690648673
"62",2015-03-03,1196.29300361297
"63",2015-03-04,1197.8391007392
"64",2015-03-05,1199.38519786544
"65",2015-03-06,1200.93129499167
"66",2015-03-07,1202.47739211791
"67",2015-03-08,1204.02348924414
"68",2015-03-09,1205.56958637037
"69",2015-03-10,1207.11568349661
"70",2015-03-11,1208.66178062284
"71",2015-03-12,1210.20787774908
"72",2015-03-13,1211.75397487531
"73",2015-03-14,1213.30007200155
"74",2015-03-15,1214.84616912778
"75",2015-03-16,1216.39226625402
"76",2015-03-17,1217.93836338025
"77",2015-03-18,1219.48446050649
"78",2015-03-19,1221.03055763272
"79",2015-03-20,1222.57665475895
"80",2015-03-21,1224.12275188519
"81",2015-03-22,1225.66884901142
"82",2015-03-23,1227.21494613766
"83",2015-03-24,1228.76104326389
"84",2015-03-25,1230.30714039013
"85",2015-03-26,1231.85323751636
"86",2015-03-27,1233.3993346426
"87",2015-03-28,1234.94543176883
"88",2015-03-29,1236.49152889507
"89",2015-03-30,1238.0376260213
"90",2015-03-31,1239.58372314753
