"","Date","Forecast"
"1",2014-01-01,479.355136245599
"2",2014-01-02,479.464997376974
"3",2014-01-03,479.574858508348
"4",2014-01-04,479.684719639723
"5",2014-01-05,479.794580771097
"6",2014-01-06,479.904441902472
"7",2014-01-07,480.014303033847
"8",2014-01-08,480.124164165221
"9",2014-01-09,480.234025296596
"10",2014-01-10,480.34388642797
"11",2014-01-11,480.453747559345
"12",2014-01-12,480.563608690719
"13",2014-01-13,480.673469822094
"14",2014-01-14,480.783330953469
"15",2014-01-15,480.893192084843
"16",2014-01-16,481.003053216218
"17",2014-01-17,481.112914347592
"18",2014-01-18,481.222775478967
"19",2014-01-19,481.332636610342
"20",2014-01-20,481.442497741716
"21",2014-01-21,481.552358873091
"22",2014-01-22,481.662220004465
"23",2014-01-23,481.77208113584
"24",2014-01-24,481.881942267214
"25",2014-01-25,481.991803398589
"26",2014-01-26,482.101664529964
"27",2014-01-27,482.211525661338
"28",2014-01-28,482.321386792713
"29",2014-01-29,482.431247924087
"30",2014-01-30,482.541109055462
"31",2014-01-31,482.650970186837
"32",2014-02-01,482.760831318211
"33",2014-02-02,482.870692449586
"34",2014-02-03,482.98055358096
"35",2014-02-04,483.090414712335
"36",2014-02-05,483.200275843709
"37",2014-02-06,483.310136975084
"38",2014-02-07,483.419998106459
"39",2014-02-08,483.529859237833
"40",2014-02-09,483.639720369208
"41",2014-02-10,483.749581500582
"42",2014-02-11,483.859442631957
"43",2014-02-12,483.969303763332
"44",2014-02-13,484.079164894706
"45",2014-02-14,484.189026026081
"46",2014-02-15,484.298887157455
"47",2014-02-16,484.40874828883
"48",2014-02-17,484.518609420204
"49",2014-02-18,484.628470551579
"50",2014-02-19,484.738331682954
"51",2014-02-20,484.848192814328
"52",2014-02-21,484.958053945703
"53",2014-02-22,485.067915077077
"54",2014-02-23,485.177776208452
"55",2014-02-24,485.287637339827
"56",2014-02-25,485.397498471201
"57",2014-02-26,485.507359602576
"58",2014-02-27,485.61722073395
"59",2014-02-28,485.727081865325
"60",2014-03-01,485.836942996699
"61",2014-03-02,485.946804128074
"62",2014-03-03,486.056665259449
"63",2014-03-04,486.166526390823
"64",2014-03-05,486.276387522198
"65",2014-03-06,486.386248653572
"66",2014-03-07,486.496109784947
"67",2014-03-08,486.605970916322
"68",2014-03-09,486.715832047696
"69",2014-03-10,486.825693179071
"70",2014-03-11,486.935554310445
"71",2014-03-12,487.04541544182
"72",2014-03-13,487.155276573194
"73",2014-03-14,487.265137704569
"74",2014-03-15,487.374998835944
"75",2014-03-16,487.484859967318
"76",2014-03-17,487.594721098693
"77",2014-03-18,487.704582230067
"78",2014-03-19,487.814443361442
"79",2014-03-20,487.924304492817
"80",2014-03-21,488.034165624191
"81",2014-03-22,488.144026755566
"82",2014-03-23,488.25388788694
"83",2014-03-24,488.363749018315
"84",2014-03-25,488.473610149689
"85",2014-03-26,488.583471281064
"86",2014-03-27,488.693332412439
"87",2014-03-28,488.803193543813
"88",2014-03-29,488.913054675188
"89",2014-03-30,489.022915806562
"90",2014-03-31,489.132776937937
