"","Date","Forecast"
"1",2015-01-01,309.363356807594
"2",2015-01-02,308.364892923977
"3",2015-01-03,307.366429040359
"4",2015-01-04,306.367965156741
"5",2015-01-05,305.369501273124
"6",2015-01-06,304.371037389506
"7",2015-01-07,303.372573505889
"8",2015-01-08,302.374109622271
"9",2015-01-09,301.375645738653
"10",2015-01-10,300.377181855036
"11",2015-01-11,299.378717971418
"12",2015-01-12,298.3802540878
"13",2015-01-13,297.381790204183
"14",2015-01-14,296.383326320565
"15",2015-01-15,295.384862436947
"16",2015-01-16,294.38639855333
"17",2015-01-17,293.387934669712
"18",2015-01-18,292.389470786094
"19",2015-01-19,291.391006902477
"20",2015-01-20,290.392543018859
"21",2015-01-21,289.394079135241
"22",2015-01-22,288.395615251624
"23",2015-01-23,287.397151368006
"24",2015-01-24,286.398687484389
"25",2015-01-25,285.400223600771
"26",2015-01-26,284.401759717153
"27",2015-01-27,283.403295833536
"28",2015-01-28,282.404831949918
"29",2015-01-29,281.4063680663
"30",2015-01-30,280.407904182683
"31",2015-01-31,279.409440299065
"32",2015-02-01,278.410976415447
"33",2015-02-02,277.41251253183
"34",2015-02-03,276.414048648212
"35",2015-02-04,275.415584764594
"36",2015-02-05,274.417120880977
"37",2015-02-06,273.418656997359
"38",2015-02-07,272.420193113742
"39",2015-02-08,271.421729230124
"40",2015-02-09,270.423265346506
"41",2015-02-10,269.424801462889
"42",2015-02-11,268.426337579271
"43",2015-02-12,267.427873695653
"44",2015-02-13,266.429409812036
"45",2015-02-14,265.430945928418
"46",2015-02-15,264.4324820448
"47",2015-02-16,263.434018161183
"48",2015-02-17,262.435554277565
"49",2015-02-18,261.437090393947
"50",2015-02-19,260.43862651033
"51",2015-02-20,259.440162626712
"52",2015-02-21,258.441698743095
"53",2015-02-22,257.443234859477
"54",2015-02-23,256.444770975859
"55",2015-02-24,255.446307092242
"56",2015-02-25,254.447843208624
"57",2015-02-26,253.449379325006
"58",2015-02-27,252.450915441389
"59",2015-02-28,251.452451557771
"60",2015-03-01,250.453987674153
"61",2015-03-02,249.455523790536
"62",2015-03-03,248.457059906918
"63",2015-03-04,247.4585960233
"64",2015-03-05,246.460132139683
"65",2015-03-06,245.461668256065
"66",2015-03-07,244.463204372448
"67",2015-03-08,243.46474048883
"68",2015-03-09,242.466276605212
"69",2015-03-10,241.467812721595
"70",2015-03-11,240.469348837977
"71",2015-03-12,239.470884954359
"72",2015-03-13,238.472421070742
"73",2015-03-14,237.473957187124
"74",2015-03-15,236.475493303506
"75",2015-03-16,235.477029419889
"76",2015-03-17,234.478565536271
"77",2015-03-18,233.480101652653
"78",2015-03-19,232.481637769036
"79",2015-03-20,231.483173885418
"80",2015-03-21,230.484710001801
"81",2015-03-22,229.486246118183
"82",2015-03-23,228.487782234565
"83",2015-03-24,227.489318350948
"84",2015-03-25,226.49085446733
"85",2015-03-26,225.492390583712
"86",2015-03-27,224.493926700095
"87",2015-03-28,223.495462816477
"88",2015-03-29,222.496998932859
"89",2015-03-30,221.498535049242
"90",2015-03-31,220.500071165624
