"city","YR","M","D","HR","MW"
"Dakar",2014,1,6,7,261.502655740643
"Dakar",2014,1,6,8,262.521638384129
"Dakar",2014,1,6,9,287.628331148888
"Dakar",2014,1,6,10,291.292882380153
"Dakar",2014,1,6,11,310.514858086968
"Dakar",2014,1,6,12,317.786070080663
"Dakar",2014,1,6,13,325.880707139636
"Dakar",2014,1,6,14,323.027649698878
"Dakar",2014,1,6,15,320.395707232381
"Dakar",2014,1,6,16,320.263656554664
"Dakar",2014,1,6,17,323.869155712093
"Dakar",2014,1,6,18,317.927032499517
"Dakar",2014,1,6,19,354.041522940838
"Dakar",2014,1,6,20,403.993198345387
"Dakar",2014,1,6,21,400.344319735492
"Dakar",2014,1,6,22,396.63169401666
"Dakar",2014,1,6,23,348.694022309507
"Dakar",2014,1,7,0,295.80215498277
"Dakar",2014,1,7,1,265.183690255875
"Dakar",2014,1,7,2,246.935670398796
"Dakar",2014,1,7,3,234.895714461411
"Dakar",2014,1,7,4,232.221214806641
"Dakar",2014,1,7,5,228.731717972661
"Dakar",2014,1,7,6,261.226431704427
"Dakar",2014,1,7,7,290.102655740643
"Dakar",2014,1,7,8,300.381638384129
"Dakar",2014,1,7,9,301.353331148888
"Dakar",2014,1,7,10,302.967882380153
"Dakar",2014,1,7,11,312.619858086968
"Dakar",2014,1,7,12,323.071070080663
"Dakar",2014,1,7,13,320.925707139636
"Dakar",2014,1,7,14,308.850149698878
"Dakar",2014,1,7,15,312.141207232381
"Dakar",2014,1,7,16,322.947656554664
"Dakar",2014,1,7,17,323.580655712093
"Dakar",2014,1,7,18,322.115032499517
"Dakar",2014,1,7,19,320.189522940839
"Dakar",2014,1,7,20,393.480198345387
"Dakar",2014,1,7,21,402.562819735492
"Dakar",2014,1,7,22,384.36119401666
"Dakar",2014,1,7,23,354.494522309507
"Dakar",2014,1,8,0,298.72965498277
"Dakar",2014,1,8,1,262.306190255875
"Dakar",2014,1,8,2,247.339170398796
"Dakar",2014,1,8,3,244.389714461411
"Dakar",2014,1,8,4,240.842214806641
"Dakar",2014,1,8,5,236.172717972661
"Dakar",2014,1,8,6,244.110431704427
"Dakar",2014,1,8,7,282.859155740643
"Dakar",2014,1,8,8,295.140138384129
"Dakar",2014,1,8,9,304.368831148888
"Dakar",2014,1,8,10,308.439382380153
"Dakar",2014,1,8,11,313.293858086968
"Dakar",2014,1,8,12,316.924070080663
"Dakar",2014,1,8,13,315.341207139636
"Dakar",2014,1,8,14,313.793149698878
"Dakar",2014,1,8,15,316.273707232381
"Dakar",2014,1,8,16,317.917156554664
"Dakar",2014,1,8,17,325.236655712093
"Dakar",2014,1,8,18,321.944532499517
"Dakar",2014,1,8,19,365.036022940839
"Dakar",2014,1,8,20,389.075198345387
"Dakar",2014,1,8,21,401.926319735492
"Dakar",2014,1,8,22,389.20169401666
"Dakar",2014,1,8,23,361.799522309507
"Dakar",2014,1,9,0,330.63365498277
"Dakar",2014,1,9,1,307.830190255875
"Dakar",2014,1,9,2,254.117670398796
"Dakar",2014,1,9,3,237.613714461411
"Dakar",2014,1,9,4,237.579714806641
"Dakar",2014,1,9,5,236.112217972661
"Dakar",2014,1,9,6,249.201431704427
"Dakar",2014,1,9,7,281.507655740643
"Dakar",2014,1,9,8,308.036638384129
"Dakar",2014,1,9,9,315.238331148888
"Dakar",2014,1,9,10,301.002882380153
"Dakar",2014,1,9,11,309.074858086968
"Dakar",2014,1,9,12,319.346070080663
"Dakar",2014,1,9,13,318.155707139636
"Dakar",2014,1,9,14,313.751149698878
"Dakar",2014,1,9,15,308.875707232381
"Dakar",2014,1,9,16,312.640156554664
"Dakar",2014,1,9,17,319.478655712093
"Dakar",2014,1,9,18,323.197532499517
"Dakar",2014,1,9,19,360.186022940838
"Dakar",2014,1,9,20,400.307698345387
"Dakar",2014,1,9,21,397.190319735492
"Dakar",2014,1,9,22,375.01319401666
"Dakar",2014,1,9,23,343.186022309507
"Dakar",2014,1,10,0,297.46115498277
"Dakar",2014,1,10,1,250.465190255875
"Dakar",2014,1,10,2,231.884170398796
"Dakar",2014,1,10,3,215.062714461411
"Dakar",2014,1,10,4,218.818214806641
"Dakar",2014,1,10,5,223.519217972661
"Dakar",2014,1,10,6,268.491931704427
"Dakar",2014,1,10,7,284.216655740643
"Dakar",2014,1,10,8,286.417638384129
"Dakar",2014,1,10,9,303.005831148888
"Dakar",2014,1,10,10,305.529882380153
"Dakar",2014,1,10,11,315.321858086968
"Dakar",2014,1,10,12,307.965070080663
"Dakar",2014,1,10,13,296.783207139636
"Dakar",2014,1,10,14,282.425149698878
"Dakar",2014,1,10,15,287.223207232381
"Dakar",2014,1,10,16,298.324656554664
"Dakar",2014,1,10,17,295.346655712093
"Dakar",2014,1,10,18,295.660032499517
"Dakar",2014,1,10,19,340.315022940838
"Dakar",2014,1,10,20,385.306198345387
"Dakar",2014,1,10,21,378.206819735492
"Dakar",2014,1,10,22,371.85719401666
"Dakar",2014,1,10,23,322.881522309507
"Dakar",2014,1,11,0,278.32665498277
"Dakar",2014,1,11,1,251.947690255875
"Dakar",2014,1,11,2,221.426170398796
"Dakar",2014,1,11,3,218.649714461411
"Dakar",2014,1,11,4,211.988714806641
"Dakar",2014,1,11,5,211.391217972661
"Dakar",2014,1,11,6,220.226931704427
"Dakar",2014,1,11,7,218.932655740643
"Dakar",2014,1,11,8,232.031638384129
"Dakar",2014,1,11,9,257.395331148888
"Dakar",2014,1,11,10,262.951882380153
"Dakar",2014,1,11,11,273.102358086968
"Dakar",2014,1,11,12,272.876570080663
"Dakar",2014,1,11,13,282.040207139636
