"city","YR","MWh"
"Tampa",2013,19184900
"Tucson",2006,12288427
"Tucson",2007,12931935
"Tucson",2008,14210856
"Tucson",2009,13732189
"Tucson",2010,13986629
"Tucson",2011,14118949
"Tucson",2012,14371157
"Tucson",2013,15125376
"Isla Sao Nicolau",2013,5525.435
"Kano",2014,38976
"Kupang",2013,97273.443
"Kupang",2014,337047.9765
"Mbabane",2012,32964.5742
"Mbabane",2013,108745.1226
"Mbabane",2014,34752.72016
"Mindelo",2013,62966.451
"Nairobi",2011,4073357.84785095
"Nairobi",2012,4225601.81085585
"Nairobi",2013,4529086.14726643
"New South Wales",2000,68878241.4576
"New South Wales",2001,69707982.98537
"New South Wales",2002,71313255.08385
"New South Wales",2003,72249430.87681
"New South Wales",2004,74245640.217475
"New South Wales",2005,75141263.131555
"New South Wales",2006,77822973.624985
"New South Wales",2007,7228.86
"New York City",2006,53098886.3
"New York City",2007,54749741.15
"New York City",2008,54836425.25
"New York City",2009,53104026.4
"New York City",2010,55113936.55
"New York City",2011,54059472.7
"New York City",2012,53486979.5
"Philadelphia",2009,14618547.26141
"Philadelphia",2010,15453494.84002
"Philadelphia",2011,15016786.44613
"Queensland",2000,42242616.10814
"Queensland",2001,44060863.24515
"Queensland",2002,45798401.360055
"Queensland",2003,46951487.31818
"Queensland",2004,48901851.080745
"Queensland",2005,50377842.04192
"Queensland",2006,51065646.65746
"Queensland",2007,5183.85
"Singapore",2012,121517.655
"Singapore",2013,47643102.96
"Singapore",2014,621005.17
"Snowy",2000,170797.15955
"Snowy",2001,295081.370955
"Snowy",2002,264586.3665
"Snowy",2003,170855.41347
"Snowy",2004,428205.39073
"Snowy",2005,407443.84352
"Snowy",2006,42.90833
"South Australia",2000,12780799.5179
"South Australia",2001,12888448.76887
"South Australia",2002,12909540.80682
"South Australia",2003,12821200.223325
"South Australia",2004,12889970.064815
"South Australia",2005,12563415.580775
"South Australia",2006,13096235.1683
"South Australia",2007,1455.63
"Tema",2014,1113871.54
"Tokyo",2008,321309020
"Tokyo",2009,302202780
"Tokyo",2010,319655860
"Tokyo",2011,290825770
"Tokyo",2012,294592900
"Tokyo",2013,286644870
"Tokyo",2014,269564040
"Victoria",2000,46376322.045
"Victoria",2001,47034311.859665
"Victoria",2002,47510611.5121
"Victoria",2003,48710936.548335
"Victoria",2004,49580943.119055
"Victoria",2005,49667864.666325
"Victoria",2006,51209725.800705
"Victoria",2007,5006.43
