"USAFID","WBAN","YR","M","D","HR","MIN","LAT","LONG","ELEV","WIND.DIR","WIND.SPD","TEMP","DEW.POINT","ATM.PRES"
724080,13739,2005,1,1,0,0,39.883,-75.25,9,200,4.1,10.6,3.9,1025.2
724080,13739,2005,1,1,0,54,39.868,-75.231,9,200,4.6,10,4.4,1025.3
724080,13739,2005,1,1,1,54,39.868,-75.231,9,210,5.1,10,4.4,1025
724080,13739,2005,1,1,2,54,39.868,-75.231,9,240,2.1,8.3,4.4,1025
724080,13739,2005,1,1,3,54,39.868,-75.231,9,220,2.6,7.2,3.9,1025.2
724080,13739,2005,1,1,4,54,39.868,-75.231,9,250,2.6,6.7,3.9,1025.4
724080,13739,2005,1,1,4,59,39.868,-75.231,9,999,999.9,999.9,999.9,9999.9
724080,13739,2005,1,1,4,59,39.868,-75.231,9,999,999.9,999.9,999.9,9999.9
724080,13739,2005,1,1,5,54,39.868,-75.231,9,190,3.6,5.6,3.3,1024.7
724080,13739,2005,1,1,6,0,39.883,-75.25,9,190,3.6,5.6,3.3,1024.7
724080,13739,2005,1,1,6,54,39.868,-75.231,9,210,1.5,5,3.3,1024.3
724080,13739,2005,1,1,7,54,39.868,-75.231,9,230,4.1,6.1,3.9,1024.5
724080,13739,2005,1,1,8,54,39.868,-75.231,9,230,3.1,4.4,2.8,1024.5
724080,13739,2005,1,1,9,54,39.868,-75.231,9,230,3.6,5,3.3,1024.5
724080,13739,2005,1,1,10,54,39.868,-75.231,9,230,4.6,5,3.3,1024.7
724080,13739,2005,1,1,11,54,39.868,-75.231,9,230,4.6,5,3.3,1025.4
724080,13739,2005,1,1,12,0,39.883,-75.25,9,230,4.6,5,3.3,1025.4
724080,13739,2005,1,1,12,54,39.868,-75.231,9,240,5.1,5.6,3.9,1025.7
724080,13739,2005,1,1,13,54,39.868,-75.231,9,240,2.6,6.7,4.4,1026.3
724080,13739,2005,1,1,14,54,39.868,-75.231,9,170,1.5,10,6.1,1027.1
724080,13739,2005,1,1,15,54,39.868,-75.231,9,290,2.1,13.9,6.7,1027.1
724080,13739,2005,1,1,16,54,39.868,-75.231,9,280,8.8,17.2,5,1026.6
724080,13739,2005,1,1,17,54,39.868,-75.231,9,290,7.2,17.2,4.4,1026.5
