,Date,Forecast,Actual,Lo80,Hi80,Lo95,Hi95
116,26/4/06,NA,3636,NA,NA,NA,NA
117,27/4/06,NA,3667.125,NA,NA,NA,NA
118,28/4/06,NA,3659.125,NA,NA,NA,NA
119,29/4/06,NA,3190.916667,NA,NA,NA,NA
120,30/4/06,NA,3032.833333,NA,NA,NA,NA
121,1/5/06,NA,3634.875,NA,NA,NA,NA
122,2/5/06,NA,3730.916667,NA,NA,NA,NA
123,3/5/06,NA,3864.708333,NA,NA,NA,NA
124,4/5/06,NA,3988.791667,NA,NA,NA,NA
125,5/5/06,NA,3758.25,NA,NA,NA,NA
126,6/5/06,NA,3134.666667,NA,NA,NA,NA
127,7/5/06,NA,3010.708333,NA,NA,NA,NA
128,8/5/06,NA,3635.833333,NA,NA,NA,NA
129,9/5/06,NA,3814.833333,NA,NA,NA,NA
130,10/5/06,NA,3820.708333,NA,NA,NA,NA
131,11/5/06,NA,3674.291667,NA,NA,NA,NA
132,12/5/06,NA,3633.75,NA,NA,NA,NA
133,13/5/06,NA,3214,NA,NA,NA,NA
134,14/5/06,NA,3016.625,NA,NA,NA,NA
135,15/5/06,NA,3657.166667,NA,NA,NA,NA
136,16/5/06,NA,3670.666667,NA,NA,NA,NA
137,17/5/06,NA,3683.583333,NA,NA,NA,NA
138,18/5/06,NA,3667.083333,NA,NA,NA,NA
139,19/5/06,NA,3662.083333,NA,NA,NA,NA
140,20/5/06,NA,3257.125,NA,NA,NA,NA
141,21/5/06,NA,3169.75,NA,NA,NA,NA
142,22/5/06,NA,3711.791667,NA,NA,NA,NA
143,23/5/06,NA,3756.541667,NA,NA,NA,NA
144,24/5/06,NA,3944.416667,NA,NA,NA,NA
145,25/5/06,NA,4310.833333,NA,NA,NA,NA
146,26/5/06,NA,4350.583333,NA,NA,NA,NA
147,27/5/06,NA,4082.791667,NA,NA,NA,NA
148,28/5/06,NA,4102.666667,NA,NA,NA,NA
149,29/5/06,NA,4290.958333,NA,NA,NA,NA
150,30/5/06,NA,4942.25,NA,NA,NA,NA
151,31/5/06,NA,4909.333333,NA,NA,NA,NA
152,1/6/06,NA,4617.958333,NA,NA,NA,NA
153,2/6/06,NA,4119.375,NA,NA,NA,NA
154,3/6/06,NA,3750.708333,NA,NA,NA,NA
155,4/6/06,NA,3462.583333,NA,NA,NA,NA
156,5/6/06,NA,4034.25,NA,NA,NA,NA
157,6/6/06,NA,4209.958333,NA,NA,NA,NA
158,7/6/06,NA,4124.458333,NA,NA,NA,NA
159,8/6/06,NA,4260.375,NA,NA,NA,NA
160,9/6/06,NA,4414.75,NA,NA,NA,NA
161,10/6/06,NA,3917.541667,NA,NA,NA,NA
162,11/6/06,NA,3523.958333,NA,NA,NA,NA
163,12/6/06,NA,4044.083333,NA,NA,NA,NA
164,13/6/06,NA,4121,NA,NA,NA,NA
165,14/6/06,NA,4333.583333,NA,NA,NA,NA
166,15/6/06,NA,4548.458333,NA,NA,NA,NA
167,16/6/06,NA,4602.416667,NA,NA,NA,NA
168,17/6/06,NA,4368.208333,NA,NA,NA,NA
169,18/6/06,NA,3895.166667,NA,NA,NA,NA
170,19/6/06,NA,4579.625,NA,NA,NA,NA
171,20/6/06,NA,4897.666667,NA,NA,NA,NA
172,21/6/06,NA,5326.041667,NA,NA,NA,NA
173,22/6/06,NA,5417.416667,NA,NA,NA,NA
174,23/6/06,NA,4710.083333,NA,NA,NA,NA
175,24/6/06,NA,4170.083333,NA,NA,NA,NA
176,25/6/06,NA,4001.583333,NA,NA,NA,NA
177,26/6/06,NA,4574.583333,NA,NA,NA,NA
178,27/6/06,NA,4626.833333,NA,NA,NA,NA
179,28/6/06,NA,4664.041667,NA,NA,NA,NA
180,29/6/06,NA,4568.125,NA,NA,NA,NA
181,30/6/06,NA,4425.125,NA,NA,NA,NA
182,1/7/06,NA,4360.25,NA,NA,NA,NA
183,2/7/06,NA,4537.083333,NA,NA,NA,NA
184,3/7/06,NA,4889.083333,NA,NA,NA,NA
185,4/7/06,NA,4392.458333,NA,NA,NA,NA
186,5/7/06,NA,4327.125,NA,NA,NA,NA
187,6/7/06,NA,4064.666667,NA,NA,NA,NA
188,7/7/06,NA,4109.666667,NA,NA,NA,NA
189,8/7/06,NA,3894.333333,NA,NA,NA,NA
190,9/7/06,NA,3818.416667,NA,NA,NA,NA
191,10/7/06,NA,4826.333333,NA,NA,NA,NA
192,11/7/06,NA,4833.666667,NA,NA,NA,NA
193,12/7/06,NA,4766.125,NA,NA,NA,NA
194,13/7/06,NA,4988.291667,NA,NA,NA,NA
195,14/7/06,NA,5213.166667,NA,NA,NA,NA
196,15/7/06,NA,4790.583333,NA,NA,NA,NA
197,16/7/06,NA,4799.125,NA,NA,NA,NA
198,17/7/06,NA,5432.583333,NA,NA,NA,NA
199,18/7/06,NA,5562.375,NA,NA,NA,NA
200,19/7/06,NA,5610.666667,NA,NA,NA,NA
201,20/7/06,NA,5428.333333,NA,NA,NA,NA
202,21/7/06,NA,5076.666667,NA,NA,NA,NA
203,22/7/06,NA,4080.666667,NA,NA,NA,NA
204,23/7/06,NA,4022.166667,NA,NA,NA,NA
205,24/7/06,NA,4758.208333,NA,NA,NA,NA
206,25/7/06,NA,5014.583333,NA,NA,NA,NA
207,26/7/06,NA,5247.541667,NA,NA,NA,NA
208,27/7/06,NA,5377.333333,NA,NA,NA,NA
209,28/7/06,NA,4933,NA,NA,NA,NA
210,29/7/06,NA,4458.75,NA,NA,NA,NA
211,30/7/06,NA,4683.166667,NA,NA,NA,NA
212,31/7/06,NA,5599.125,NA,NA,NA,NA
213,1/8/06,NA,5835.291667,NA,NA,NA,NA
214,2/8/06,NA,5925.583333,NA,NA,NA,NA
215,3/8/06,NA,5977.666667,NA,NA,NA,NA
216,4/8/06,NA,5421.166667,NA,NA,NA,NA
217,5/8/06,NA,4729.583333,NA,NA,NA,NA
218,6/8/06,NA,4950.375,NA,NA,NA,NA
219,7/8/06,NA,5804.416667,NA,NA,NA,NA
220,8/8/06,NA,5395.916667,NA,NA,NA,NA
221,9/8/06,NA,5140.541667,NA,NA,NA,NA
222,10/8/06,NA,5281.916667,NA,NA,NA,NA
223,11/8/06,NA,4619.833333,NA,NA,NA,NA
224,12/8/06,NA,4295.25,NA,NA,NA,NA
225,13/8/06,NA,4291.625,NA,NA,NA,NA
226,14/8/06,NA,5112.083333,NA,NA,NA,NA
227,15/8/06,NA,4918.75,NA,NA,NA,NA
228,16/8/06,NA,4810.875,NA,NA,NA,NA
229,17/8/06,NA,5147.041667,NA,NA,NA,NA
230,18/8/06,NA,5328.125,NA,NA,NA,NA
231,19/8/06,NA,4769.25,NA,NA,NA,NA
232,20/8/06,NA,4248.75,NA,NA,NA,NA
233,21/8/06,NA,4703.166667,NA,NA,NA,NA
234,22/8/06,NA,4786.666667,NA,NA,NA,NA
235,23/8/06,NA,4788.5,NA,NA,NA,NA
236,24/8/06,NA,4877.833333,NA,NA,NA,NA
237,25/8/06,NA,5033,NA,NA,NA,NA
238,26/8/06,NA,4781.083333,NA,NA,NA,NA
239,27/8/06,NA,4806.541667,NA,NA,NA,NA
240,28/8/06,NA,5106.083333,NA,NA,NA,NA
241,29/8/06,NA,5051.916667,NA,NA,NA,NA
242,30/8/06,NA,4592.833333,NA,NA,NA,NA
243,31/8/06,NA,4462.375,NA,NA,NA,NA
244,1/9/06,NA,4104.25,NA,NA,NA,NA
245,2/9/06,NA,3238.375,NA,NA,NA,NA
246,3/9/06,NA,3239.291667,NA,NA,NA,NA
247,4/9/06,NA,3252.291667,NA,NA,NA,NA
248,5/9/06,NA,3990.583333,NA,NA,NA,NA
249,6/9/06,NA,4163.791667,NA,NA,NA,NA
250,7/9/06,NA,4228.125,NA,NA,NA,NA
251,8/9/06,NA,4297.708333,NA,NA,NA,NA
252,9/9/06,NA,3994.291667,NA,NA,NA,NA
253,10/9/06,NA,3848.5,NA,NA,NA,NA
254,11/9/06,NA,4232.583333,NA,NA,NA,NA
255,12/9/06,NA,4085.416667,NA,NA,NA,NA
256,13/9/06,NA,3957.083333,NA,NA,NA,NA
257,14/9/06,NA,3954.375,NA,NA,NA,NA
258,15/9/06,NA,4062.083333,NA,NA,NA,NA
259,16/9/06,NA,3754.958333,NA,NA,NA,NA
260,17/9/06,NA,3764.5,NA,NA,NA,NA
261,18/9/06,NA,4189.541667,NA,NA,NA,NA
262,19/9/06,NA,3807.875,NA,NA,NA,NA
263,20/9/06,NA,3656.25,NA,NA,NA,NA
264,21/9/06,NA,3700.083333,NA,NA,NA,NA
265,22/9/06,NA,3717,NA,NA,NA,NA
266,23/9/06,NA,3427.25,NA,NA,NA,NA
267,24/9/06,NA,3268.875,NA,NA,NA,NA
268,25/9/06,NA,3724.583333,NA,NA,NA,NA
269,26/9/06,NA,3797.875,NA,NA,NA,NA
270,27/9/06,NA,3952.916667,NA,NA,NA,NA
271,28/9/06,NA,3746.75,NA,NA,NA,NA
272,29/9/06,NA,3610.333333,NA,NA,NA,NA
273,30/9/06,NA,3165.041667,NA,NA,NA,NA
274,1/10/06,NA,3113.375,NA,NA,NA,NA
275,2/10/06,NA,3844.958333,NA,NA,NA,NA
276,3/10/06,NA,4121.083333,NA,NA,NA,NA
277,4/10/06,NA,4409.833333,NA,NA,NA,NA
278,5/10/06,NA,3995.916667,NA,NA,NA,NA
279,6/10/06,NA,3592.5,NA,NA,NA,NA
280,7/10/06,NA,3169.333333,NA,NA,NA,NA
281,8/10/06,NA,3150.541667,NA,NA,NA,NA
282,9/10/06,NA,3808.458333,NA,NA,NA,NA
283,10/10/06,NA,3884.458333,NA,NA,NA,NA
284,11/10/06,NA,3802.75,NA,NA,NA,NA
285,12/10/06,NA,3809.625,NA,NA,NA,NA
286,13/10/06,NA,3943.291667,NA,NA,NA,NA
287,14/10/06,NA,3486,NA,NA,NA,NA
288,15/10/06,NA,3364.416667,NA,NA,NA,NA
289,16/10/06,NA,3818.125,NA,NA,NA,NA
