01-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Maximum Interchange (MW),Maximum Interchange (MW),Energy (MU),Energy (MU),Net Energy MU
01-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Import,Export,Import,Export,Net Energy MU
01-01-2011,,Magnum Diesel (IPP),,25,0,0,0.00,0,
01-01-2011,,Jhajjar(CLP),,1320,567,371,10.45,436,
01-01-2011,,Thermal (Total),,4944,1413,1111,29.47,1228,
01-01-2011,,Total Hydro,,62,25,24,0.60,25,
01-01-2011,,Total Haryana,,5006,1438,1135,30.07,1253,
01-01-2011,Rajasthan,kota TPS,,1240,1088,1000,25.46,1061,
01-01-2011,,suratgarh TPS,,1500,1208,1114,28.51,1188,
01-01-2011,,Chabra TPS,,750,604,555,14.70,612,
01-01-2011,,Dholpur GPS,,330,85,105,2.33,97,
01-01-2011,,Ramgarh GPS,,221,116,116,2.85,119,
01-01-2011,,RAPS A (NPC),,300,175,175,4.11,171,
01-01-2011,,Barsingsar (NLC),,250,199,197,4.73,197,
01-01-2011,,Giral  LTPS,,250,71,44,1.32,55,
01-01-2011,,Rajwest LTPS (IPP),,1080,165,212,4.75,198,
01-01-2011,,VSLP  LTPS (IPP),,135,0,0,0.00,0,
01-01-2011,,Kalisindh Thermal,,600,0,0,0.00,0,
02-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Maximum Interchange (MW),Maximum Interchange (MW),Energy (MU),Energy (MU),Net Energy MU
02-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Import,Export,Import,Export,Net Energy MU
02-01-2011,,Magnum Diesel (IPP),,25,0,0,0.00,0,
02-01-2011,,Jhajjar(CLP),,1320,567,371,10.45,436,
02-01-2011,,Thermal (Total),,4944,1413,1111,29.47,1228,
02-01-2011,,Total Hydro,,62,25,24,0.60,25,
02-01-2011,,Total Haryana,,5006,1438,1135,30.07,1253,
02-01-2011,Rajasthan,kota TPS,,1240,1088,1000,25.46,1061,
02-01-2011,,suratgarh TPS,,1500,1208,1114,28.51,1188,
02-01-2011,,Chabra TPS,,750,604,555,14.70,612,
02-01-2011,,Dholpur GPS,,330,85,105,2.33,97,
02-01-2011,,Ramgarh GPS,,221,116,116,2.85,119,
02-01-2011,,RAPS A (NPC),,300,175,175,4.11,171,
02-01-2011,,Barsingsar (NLC),,250,199,197,4.73,197,
02-01-2011,,Giral  LTPS,,250,71,44,1.32,55,
02-01-2011,,Rajwest LTPS (IPP),,1080,165,212,4.75,198,
02-01-2011,,VSLP  LTPS (IPP),,135,0,0,0.00,0,
02-01-2011,,Kalisindh Thermal,,600,0,0,0.00,0,
03-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Maximum Interchange (MW),Maximum Interchange (MW),Energy (MU),Energy (MU),Net Energy MU
03-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Import,Export,Import,Export,Net Energy MU
03-01-2011,,Magnum Diesel (IPP),,25,0,0,0.00,0,
03-01-2011,,Jhajjar(CLP),,1320,567,371,10.45,436,
03-01-2011,,Thermal (Total),,4944,1413,1111,29.47,1228,
03-01-2011,,Total Hydro,,62,25,24,0.60,25,
03-01-2011,,Total Haryana,,5006,1438,1135,30.07,1253,
03-01-2011,Rajasthan,kota TPS,,1240,1088,1000,25.46,1061,
03-01-2011,,suratgarh TPS,,1500,1208,1114,28.51,1188,
03-01-2011,,Chabra TPS,,750,604,555,14.70,612,
03-01-2011,,Dholpur GPS,,330,85,105,2.33,97,
03-01-2011,,Ramgarh GPS,,221,116,116,2.85,119,
03-01-2011,,RAPS A (NPC),,300,175,175,4.11,171,
03-01-2011,,Barsingsar (NLC),,250,199,197,4.73,197,
03-01-2011,,Giral  LTPS,,250,71,44,1.32,55,
03-01-2011,,Rajwest LTPS (IPP),,1080,165,212,4.75,198,
03-01-2011,,VSLP  LTPS (IPP),,135,0,0,0.00,0,
03-01-2011,,Kalisindh Thermal,,600,0,0,0.00,0,
04-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Maximum Interchange (MW),Maximum Interchange (MW),Energy (MU),Energy (MU),Net Energy MU
04-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Import,Export,Import,Export,Net Energy MU
04-01-2011,,Magnum Diesel (IPP),,25,0,0,0.00,0,
04-01-2011,,Jhajjar(CLP),,1320,567,371,10.45,436,
04-01-2011,,Thermal (Total),,4944,1413,1111,29.47,1228,
04-01-2011,,Total Hydro,,62,25,24,0.60,25,
04-01-2011,,Total Haryana,,5006,1438,1135,30.07,1253,
04-01-2011,Rajasthan,kota TPS,,1240,1088,1000,25.46,1061,
04-01-2011,,suratgarh TPS,,1500,1208,1114,28.51,1188,
04-01-2011,,Chabra TPS,,750,604,555,14.70,612,
04-01-2011,,Dholpur GPS,,330,85,105,2.33,97,
04-01-2011,,Ramgarh GPS,,221,116,116,2.85,119,
04-01-2011,,RAPS A (NPC),,300,175,175,4.11,171,
04-01-2011,,Barsingsar (NLC),,250,199,197,4.73,197,
04-01-2011,,Giral  LTPS,,250,71,44,1.32,55,
04-01-2011,,Rajwest LTPS (IPP),,1080,165,212,4.75,198,
04-01-2011,,VSLP  LTPS (IPP),,135,0,0,0.00,0,
04-01-2011,,Kalisindh Thermal,,600,0,0,0.00,0,
05-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Maximum Interchange (MW),Maximum Interchange (MW),Energy (MU),Energy (MU),Net Energy MU
05-01-2011,Element,Element,Peak(20:00Hrs) MW,Off Peak(03:00Hrs) MW,Import,Export,Import,Export,Net Energy MU
05-01-2011,,Magnum Diesel (IPP),,25,0,0,0.00,0,
05-01-2011,,Jhajjar(CLP),,1320,567,371,10.45,436,
