13-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
13-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
13-01-2011,,Other Hydro,,323,73,132,2.30,96,
13-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
13-01-2011,,Total J & K,,956,371,422,7.80,325,
13-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
13-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
13-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
14-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
14-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
14-01-2011,,Other Hydro,,323,73,132,2.30,96,
14-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
14-01-2011,,Total J & K,,956,371,422,7.80,325,
14-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
14-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
14-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
15-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
15-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
15-01-2011,,Other Hydro,,323,73,132,2.30,96,
15-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
15-01-2011,,Total J & K,,956,371,422,7.80,325,
15-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
15-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
15-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
16-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
16-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
16-01-2011,,Other Hydro,,323,73,132,2.30,96,
16-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
16-01-2011,,Total J & K,,956,371,422,7.80,325,
16-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
16-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
16-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
17-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
17-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
17-01-2011,,Other Hydro,,323,73,132,2.30,96,
17-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
17-01-2011,,Total J & K,,956,371,422,7.80,325,
17-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
17-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
17-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
18-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
18-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
18-01-2011,,Other Hydro,,323,73,132,2.30,96,
18-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
18-01-2011,,Total J & K,,956,371,422,7.80,325,
18-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
18-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
18-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
19-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
19-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
19-01-2011,,Other Hydro,,323,73,132,2.30,96,
19-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
19-01-2011,,Total J & K,,956,371,422,7.80,325,
19-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
19-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
19-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
20-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
20-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
20-01-2011,,Other Hydro,,323,73,132,2.30,96,
20-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
20-01-2011,,Total J & K,,956,371,422,7.80,325,
20-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
20-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
20-01-2011,Total Regional Availability(Gross),,,60823,35705,27887,761.37,31724,
21-01-2011,Name of Reservior,Parameters,Parameters,Present Parameters,Present Parameters,Last Year,Last Year,Last Day,Last Day
21-01-2011,Name of Reservior,FRL(m),MDDL(m),Level(m),Energy(MU),Level(m),Energy(MU),Inflow(m3/sec),Usage(m3/sec)
21-01-2011,,Other Hydro,,323,73,132,2.30,96,
21-01-2011,,Gas/Diesel/Others,,183,0,0,0.00,0,
21-01-2011,,Total J & K,,956,371,422,7.80,325,
21-01-2011,Total State Control Area Generation,,,36770,16904,15655,386.92,16122,
21-01-2011,J. Net Inter Regional Exchange [Import (+ve)/Export (-ve)],,,,3794,2832,101.68,4237,
