01-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
01-01-2011,,Wind power,,2191,39,98,2.31,96,
01-01-2011,,Biomass,,91,25,25,0.60,25,
01-01-2011,,Solar,,201,8,0,0.66,27,
01-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
01-01-2011,,Total Rajasthan,,11009,5110,4943,125.58,5232,
01-01-2011,UP,Anpara TPS,,1630,999,998,23.10,963,
02-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
02-01-2011,,Wind power,,2191,39,98,2.31,96,
02-01-2011,,Biomass,,91,25,25,0.60,25,
02-01-2011,,Solar,,201,8,0,0.66,27,
02-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
02-01-2011,,Total Rajasthan,,11009,5110,4943,125.58,5232,
02-01-2011,UP,Anpara TPS,,1630,999,998,23.10,963,
03-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
03-01-2011,,Wind power,,2191,39,98,2.31,96,
03-01-2011,,Biomass,,91,25,25,0.60,25,
03-01-2011,,Solar,,201,8,0,0.66,27,
03-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
03-01-2011,,Total Rajasthan,,11009,5110,4943,125.58,5232,
03-01-2011,UP,Anpara TPS,,1630,999,998,23.10,963,
04-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
04-01-2011,,Wind power,,2191,39,98,2.31,96,
04-01-2011,,Biomass,,91,25,25,0.60,25,
04-01-2011,,Solar,,201,8,0,0.66,27,
04-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
04-01-2011,,Total Rajasthan,,11009,5110,4943,125.58,5232,
04-01-2011,UP,Anpara TPS,,1630,999,998,23.10,963,
05-01-2011,ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),ISGS/LT  Schedule(MU),Bilateral Schedule(MU),Bilateral Schedule(MU),Power Exchange Shdl(MU),Power Exchange Shdl(MU),Wheeling(MU),Wheeling(MU)
05-01-2011,,Wind power,,2191,39,98,2.31,96,
05-01-2011,,Biomass,,91,25,25,0.60,25,
05-01-2011,,Solar,,201,8,0,0.66,27,
05-01-2011,IR Total Schedule(MU),IR Total Schedule(MU),IR Total Schedule(MU),Total IR Actual(MU),Total IR Actual(MU),Total IR Actual(MU),Net IR UI(MU),Net IR UI(MU),Net IR UI(MU)
05-01-2011,,Total Rajasthan,,11009,5110,4943,125.58,5232,
