06-01-2011,,Pragati Gas Turbine,,330,264,269,6.57,274,,
06-01-2011,,Rithala GPS,,95,0,0,0.00,0,,
06-01-2011,,Bawana GPS,,686,0,0,0.00,0,,
06-01-2011,,Badarpur TPS (NTPC),,705,340,350,7.51,313,,
06-01-2011,,Thermal (Total),,2232,737,755,17.38,724,,
06-01-2011,,Total Delhi,,2232,737,755,17.38,724,,
07-01-2011,Station,Voltage Level(KV),Maximum,Maximum,Minimum,Minimum,Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time)
07-01-2011,Station,Voltage Level(KV),Voltage(kv),Time,Voltage(kv),Time,< 380 KV,< 390 KV,> 420 KV,> 430 KV
07-01-2011,Uttarakhand,Total Hydro,,1303,435,304,9.04,377,,
07-01-2011,,Total Uttarakhand,,1303,435,304,9.04,377,,
07-01-2011,Delhi,Rajghat TPS,,135,52,52,1.39,58,,
07-01-2011,,Delhi Gas Turbine,,282,81,84,1.92,80,,
07-01-2011,,Pragati Gas Turbine,,330,264,269,6.57,274,,
07-01-2011,,Rithala GPS,,95,0,0,0.00,0,,
07-01-2011,,Bawana GPS,,686,0,0,0.00,0,,
07-01-2011,,Badarpur TPS (NTPC),,705,340,350,7.51,313,,
07-01-2011,,Thermal (Total),,2232,737,755,17.38,724,,
07-01-2011,,Total Delhi,,2232,737,755,17.38,724,,
08-01-2011,Station,Voltage Level(KV),Maximum,Maximum,Minimum,Minimum,Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time)
08-01-2011,Station,Voltage Level(KV),Voltage(kv),Time,Voltage(kv),Time,< 380 KV,< 390 KV,> 420 KV,> 430 KV
08-01-2011,Uttarakhand,Total Hydro,,1303,435,304,9.04,377,,
08-01-2011,,Total Uttarakhand,,1303,435,304,9.04,377,,
08-01-2011,Delhi,Rajghat TPS,,135,52,52,1.39,58,,
08-01-2011,,Delhi Gas Turbine,,282,81,84,1.92,80,,
08-01-2011,,Pragati Gas Turbine,,330,264,269,6.57,274,,
08-01-2011,,Rithala GPS,,95,0,0,0.00,0,,
08-01-2011,,Bawana GPS,,686,0,0,0.00,0,,
08-01-2011,,Badarpur TPS (NTPC),,705,340,350,7.51,313,,
08-01-2011,,Thermal (Total),,2232,737,755,17.38,724,,
08-01-2011,,Total Delhi,,2232,737,755,17.38,724,,
09-01-2011,Station,Voltage Level(KV),Maximum,Maximum,Minimum,Minimum,Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time)
09-01-2011,Station,Voltage Level(KV),Voltage(kv),Time,Voltage(kv),Time,< 380 KV,< 390 KV,> 420 KV,> 430 KV
09-01-2011,Uttarakhand,Total Hydro,,1303,435,304,9.04,377,,
09-01-2011,,Total Uttarakhand,,1303,435,304,9.04,377,,
09-01-2011,Delhi,Rajghat TPS,,135,52,52,1.39,58,,
09-01-2011,,Delhi Gas Turbine,,282,81,84,1.92,80,,
09-01-2011,,Pragati Gas Turbine,,330,264,269,6.57,274,,
09-01-2011,,Rithala GPS,,95,0,0,0.00,0,,
09-01-2011,,Bawana GPS,,686,0,0,0.00,0,,
09-01-2011,,Badarpur TPS (NTPC),,705,340,350,7.51,313,,
09-01-2011,,Thermal (Total),,2232,737,755,17.38,724,,
09-01-2011,,Total Delhi,,2232,737,755,17.38,724,,
10-01-2011,Station,Voltage Level(KV),Maximum,Maximum,Minimum,Minimum,Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time),Voltage(in % of Time)
10-01-2011,Station,Voltage Level(KV),Voltage(kv),Time,Voltage(kv),Time,< 380 KV,< 390 KV,> 420 KV,> 430 KV
10-01-2011,Uttarakhand,Total Hydro,,1303,435,304,9.04,377,,
10-01-2011,,Total Uttarakhand,,1303,435,304,9.04,377,,
10-01-2011,Delhi,Rajghat TPS,,135,52,52,1.39,58,,
10-01-2011,,Delhi Gas Turbine,,282,81,84,1.92,80,,
10-01-2011,,Pragati Gas Turbine,,330,264,269,6.57,274,,
