01-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
01-01-2011,Bhakra HPS,1497,633,1139,371,15.96,665
01-01-2011,Dehar HPS,990,138,330,0,3.84,160
01-01-2011,Pong HPS,396,178,244,120,4.39,183
01-01-2011,Sub Total (F ),2883,949,1713,491,24.19,1008
01-01-2011,ADHPL HPS(IPP),192,0,0,0,0.35,14
01-01-2011,KWHEP  HPS(IPP),1000,0,300,0,3.49,145
01-01-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
01-01-2011,Shree Cement TPS,300,0,257,225,6.12,255
01-01-2011,Budhil HPS(IPP),70,0,0,0,0.02,1
01-01-2011,Sub Total (G ),1662,0,557,225,9.97,416
01-01-2011,,24052,17135,15007,9400,272.77,11365
01-01-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
01-01-2011,Guru Gobind Singh TPS (Ropar),,1260,840,680,17.12,714
01-01-2011,Guru Nanak Dev TPS(Bhatinda),,440,110,90,1.71,71
01-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],685,580,14.53,605
01-01-2011,Grand Total Generation,Grand Total Generation,,0,0,0.00,0
02-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
02-01-2011,Bhakra HPS,1497,633,1139,371,15.96,665
02-01-2011,Dehar HPS,990,138,330,0,3.84,160
02-01-2011,Pong HPS,396,178,244,120,4.39,183
02-01-2011,Sub Total (F ),2883,949,1713,491,24.19,1008
02-01-2011,ADHPL HPS(IPP),192,0,0,0,0.35,14
02-01-2011,KWHEP  HPS(IPP),1000,0,300,0,3.49,145
02-01-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
02-01-2011,Shree Cement TPS,300,0,257,225,6.12,255
02-01-2011,Budhil HPS(IPP),70,0,0,0,0.02,1
02-01-2011,Sub Total (G ),1662,0,557,225,9.97,416
02-01-2011,,24052,17135,15007,9400,272.77,11365
02-01-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
02-01-2011,Guru Gobind Singh TPS (Ropar),,1260,840,680,17.12,714
02-01-2011,Guru Nanak Dev TPS(Bhatinda),,440,110,90,1.71,71
02-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],685,580,14.53,605
02-01-2011,Grand Total Generation,Grand Total Generation,,0,0,0.00,0
03-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
03-01-2011,Bhakra HPS,1497,633,1139,371,15.96,665
03-01-2011,Dehar HPS,990,138,330,0,3.84,160
03-01-2011,Pong HPS,396,178,244,120,4.39,183
03-01-2011,Sub Total (F ),2883,949,1713,491,24.19,1008
03-01-2011,ADHPL HPS(IPP),192,0,0,0,0.35,14
03-01-2011,KWHEP  HPS(IPP),1000,0,300,0,3.49,145
03-01-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
03-01-2011,Shree Cement TPS,300,0,257,225,6.12,255
03-01-2011,Budhil HPS(IPP),70,0,0,0,0.02,1
03-01-2011,Sub Total (G ),1662,0,557,225,9.97,416
03-01-2011,,24052,17135,15007,9400,272.77,11365
03-01-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
03-01-2011,Guru Gobind Singh TPS (Ropar),,1260,840,680,17.12,714
03-01-2011,Guru Nanak Dev TPS(Bhatinda),,440,110,90,1.71,71
03-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],685,580,14.53,605
03-01-2011,Grand Total Generation,Grand Total Generation,,0,0,0.00,0
04-01-2011,J. Station/Constituents,,Installed Capacity,Peak MW,Off Peak MW,Energy (MU),Average (Sentout MW)
04-01-2011,Bhakra HPS,1497,633,1139,371,15.96,665
04-01-2011,Dehar HPS,990,138,330,0,3.84,160
04-01-2011,Pong HPS,396,178,244,120,4.39,183
04-01-2011,Sub Total (F ),2883,949,1713,491,24.19,1008
04-01-2011,ADHPL HPS(IPP),192,0,0,0,0.35,14
04-01-2011,KWHEP  HPS(IPP),1000,0,300,0,3.49,145
04-01-2011,Malana Stg-II HPS,100,0,0,0,0.00,0
04-01-2011,Shree Cement TPS,300,0,257,225,6.12,255
04-01-2011,Budhil HPS(IPP),70,0,0,0,0.02,1
04-01-2011,Sub Total (G ),1662,0,557,225,9.97,416
04-01-2011,,24052,17135,15007,9400,272.77,11365
04-01-2011,Station,,"Effective Installed Capacity(MW)",Peak MW,Off Peak MW,Energy(MU),Average(Sentout MW)
04-01-2011,Guru Gobind Singh TPS (Ropar),,1260,840,680,17.12,714
04-01-2011,Guru Nanak Dev TPS(Bhatinda),,440,110,90,1.71,71
04-01-2011,K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],K. Net Inter Regional Exchange[Export:(-ve);Import:(+ve)],685,580,14.53,605
04-01-2011,Grand Total Generation,Grand Total Generation,,0,0,0.00,0
